Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,ESR(est.) 20°C@120Hz,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 85°C@100kHz,Ripple Current 85°C@10kHz,Ripple Current 85°C@120Hz,Ripple Current 85°C@1kHz,Ripple Current 85°C@300Hz,Ripple Current 85°C@50Hz,Status,VC,Vibration resistant,Weight (g)
6.3,470,0.226,0.226,10,12.5,-40,85,0.18,0.508,2000,6,2000,UKL0J471KPD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,585,585,390,522.6,479.7,312,LTB,2961,Normal,1.49
6.3,470,0.226,0.226,10,12.5,-40,85,0.18,0.508,2000,6,2000,UKL0J471MPD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,585,585,390,522.6,479.7,312,LTB,2961,Normal,1.49
6.3,680,0.182,0.182,10,16,-40,85,0.21,0.41,2000,9,1800,UKL0J681KPD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,720,720,480,643.2,590.4,384,LTB,4284,Normal,1.77
6.3,680,0.182,0.182,10,16,-40,85,0.21,0.41,2000,9,1800,UKL0J681MPD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,720,720,480,643.2,590.4,384,LTB,4284,Normal,1.77
6.3,1000,0.231,0.231,10,20,-40,85,0.21,0.305,2000,13,1400,UKL0J102KPD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,747.5,747.5,650,734.5,715,552.5,LTB,6300,Normal,2.34
6.3,1000,0.231,0.231,10,20,-40,85,0.21,0.305,2000,13,1400,UKL0J102MPD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,747.5,747.5,650,734.5,715,552.5,LTB,6300,Normal,2.34
6.3,1500,0.154,0.154,12.5,25,-40,85,0.21,0.203,2000,19,800,UKL0J152KHD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,1046.5,1046.5,910,1028.3,1001,773.5,LTB,9450,Normal,4.56
6.3,1500,0.154,0.154,12.5,25,-40,85,0.21,0.203,2000,19,800,UKL0J152MHD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,1046.5,1046.5,910,1028.3,1001,773.5,LTB,9450,Normal,4.56
6.3,2200,0.123,0.123,12.5,25,-40,85,0.23,0.163,2000,28,800,UKL0J222KHD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,1219,1219,1060,1197.8,1166,901,LTB,13860,Normal,4.56
6.3,2200,0.123,0.123,12.5,25,-40,85,0.23,0.163,2000,28,800,UKL0J222MHD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,1219,1219,1060,1197.8,1166,901,LTB,13860,Normal,4.56
6.3,3300,0.094,0.094,16,25,-40,85,0.25,0.125,2000,42,400,UKL0J332KHD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,1460.5,1460.5,1270,1435.1,1397,1079.5,LTB,20790,Normal,8.2
6.3,3300,0.094,0.094,16,25,-40,85,0.25,0.125,2000,42,400,UKL0J332MHD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,1460.5,1460.5,1270,1435.1,1397,1079.5,LTB,20790,Normal,8.2
6.3,4700,0.075,0.075,16,30.5,-40,85,0.27,0.099,2000,59,300,UKL0J472KHD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,1725,1725,1500,1695,1650,1275,LTB,29610,Normal,9.6
6.3,4700,0.075,0.075,16,30.5,-40,85,0.27,0.099,2000,59,300,UKL0J472MHD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,1725,1725,1500,1695,1650,1275,LTB,29610,Normal,9.6
6.3,6800,0.063,0.063,18,35.5,-40,85,0.31,0.084,2000,86,250,UKL0J682KHD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,2024,2024,1760,1988.8,1936,1496,LTB,42840,Normal,14.2
6.3,6800,0.063,0.063,18,35.5,-40,85,0.31,0.084,2000,86,250,UKL0J682MHD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,2024,2024,1760,1988.8,1936,1496,LTB,42840,Normal,14.2
6.3,10000,0.059,0.059,18,40,-40,85,0.39,0.078,2000,126,200,UKL0J103KHD,Uni-Polar,Radial Lead,Lo-Leakage Cur.,2185,2185,1900,2147,2090,1615,LTB,63000,Normal,17.7
