Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Dissipation Factor,Endurance,Lead Diameter,Lead Space,Lead Space Taping,Min Packaging Qty Straight,Min Packaging Qty Taping,Part Number,Ripple Current 105°C
160,22,9.043,10,20,0.15,8000,0.6,5.0,5.0,200,500,EEUEE2C220( ),700
160,33,6.029,10,20,0.15,8000,0.6,5.0,5.0,200,500,EEUEE2C330( ),810
160,47,4.233,10,20,0.15,8000,0.6,5.0,5.0,200,500,EEUEE2C470( ),1065
160,68,2.926,12.5,20,0.15,10000,0.6,5.0,5.0,200,500,EEUEE2C680( ),1350
160,82,2.426,12.5,25,0.15,10000,0.6,5.0,5.0,200,500,EEUEE2C820( ),1480
160,100,1.989,12.5,25,0.15,10000,0.6,5.0,5.0,200,500,EEUEE2C101( ),1660
160,100,1.989,16,20,0.15,10000,0.8,7.5,7.5,100,250,EEUEE2C101S( ),1700
160,150,1.326,16,25,0.15,10000,0.8,7.5,7.5,100,250,EEUEE2C151( ),1890
160,150,1.326,18,20,0.15,10000,0.8,7.5,7.5,100,250,EEUEE2C151S( ),1820
160,220,0.904,16,31.5,0.15,10000,0.8,7.5,,100,,EEUEE2C221,2280
160,220,0.904,18,25,0.15,10000,0.8,7.5,7.5,100,250,EEUEE2C221S( ),1950
160,330,0.603,18,31.5,0.15,10000,0.8,7.5,,50,,EEUEE2C331,2600
200,22,9.043,10,20,0.15,8000,0.6,5.0,5.0,200,500,EEUEE2D220( ),850
200,33,6.029,10,20,0.15,8000,0.6,5.0,5.0,200,500,EEUEE2D330( ),920
200,47,4.233,12.5,20,0.15,10000,0.6,5.0,5.0,200,500,EEUEE2D470( ),1100
200,68,2.926,12.5,25,0.15,10000,0.6,5.0,5.0,200,500,EEUEE2D680( ),1330
200,82,2.426,16,20,0.15,10000,0.8,7.5,7.5,100,250,EEUEE2D820S( ),1460
200,100,1.989,16,25,0.15,10000,0.8,7.5,7.5,100,250,EEUEE2D101( ),1730
200,150,1.326,16,25,0.15,10000,0.8,7.5,7.5,100,250,EEUEE2D151( ),1860
200,220,0.904,18,31.5,0.15,10000,0.8,7.5,,50,,EEUEE2D221,2600
200,330,0.603,18,40,0.15,10000,0.8,7.5,,50,,EEUEE2D331,3120
250,22,9.043,10,20,0.15,8000,0.6,5.0,5.0,200,500,EEUEE2E220( ),785
250,33,6.029,12.5,20,0.15,10000,0.6,5.0,5.0,200,500,EEUEE2E330( ),995
250,47,4.233,12.5,25,0.15,10000,0.6,5.0,5.0,200,500,EEUEE2E470( ),1290
250,68,2.926,16,20,0.15,10000,0.8,7.5,7.5,100,250,EEUEE2E680S( ),1400
250,82,2.426,16,25,0.15,10000,0.8,7.5,7.5,100,250,EEUEE2E820( ),1680
250,100,1.989,16,31.5,0.15,10000,0.8,7.5,,100,,EEUEE2E101,2100
250,100,1.989,18,25,0.15,10000,0.8,7.5,7.5,100,250,EEUEE2E101S( ),2100
250,150,1.326,18,31.5,0.15,10000,0.8,7.5,,50,,EEUEE2E151,2520
250,220,0.904,18,40,0.15,10000,0.8,7.5,,50,,EEUEE2E221,2940
350,15,17.684,10,20,0.2,8000,0.6,5.0,5.0,200,500,EEUEE2V150( ),480
350,22,12.057,12.5,20,0.2,10000,0.6,5.0,5.0,200,500,EEUEE2V220( ),660
350,33,8.038,12.5,25,0.2,10000,0.6,5.0,5.0,200,500,EEUEE2V330( ),790
350,47,5.644,16,25,0.2,10000,0.8,7.5,7.5,100,250,EEUEE2V470( ),1070
350,68,3.901,16,31.5,0.2,10000,0.8,7.5,,100,,EEUEE2V680,1530
350,82,3.235,18,25,0.2,10000,0.8,7.5,7.5,100,250,EEUEE2V820S( ),1530
400,10,31.831,10,20,0.24,8000,0.6,5.0,5.0,200,500,EEUEE2G100( ),430
400,15,21.221,12.5,20,0.24,10000,0.6,5.0,5.0,200,500,EEUEE2G150( ),590
400,22,14.469,12.5,25,0.24,10000,0.6,5.0,5.0,200,500,EEUEE2G220( ),760
400,33,9.646,16,20,0.24,10000,0.8,7.5,7.5,100,250,EEUEE2G330S( ),1020
400,47,6.773,16,25,0.24,10000,0.8,7.5,7.5,100,250,EEUEE2G470( ),1180
400,68,4.681,18,25,0.24,10000,0.8,7.5,7.5,100,250,EEUEE2G680( ),1470
400,82,3.882,18,31.5,0.24,10000,0.8,7.5,,50,,EEUEE2G820,1645
400,100,3.183,18,40,0.24,10000,0.8,7.5,,50,,EEUEE2G101,2060
450,10,31.831,10,20,0.24,8000,0.6,5.0,5.0,200,500,EEUEE2W100U( ),330
450,15,21.221,12.5,25,0.24,10000,0.6,5.0,5.0,200,500,EEUEE2W150( ),780
450,22,14.469,16,20,0.24,10000,0.8,7.5,7.5,100,250,EEUEE2W220S( ),945
450,33,9.646,16,25,0.24,10000,0.8,7.5,7.5,100,250,EEUEE2W330( ),1000
450,47,6.773,16,31.5,0.24,10000,0.8,7.5,,100,,EEUEE2W470,1200
450,56,5.684,18,31.5,0.24,10000,0.8,7.5,,50,,EEUEE2W560,1380
450,68,4.681,18,40,0.24,10000,0.8,7.5,,50,,EEUEE2W680,1800
