Voltage,Capacitance,Dissipation Factor,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),ESR(est.) 20°C@120Hz,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@300Hz,Ripple Current 105°C@50Hz,Status,V,VC,Vibration resistant,Weight (g)
16,330,0.2,6.3,11,-55,105,0.804,1000,158,4000,UVY1C331MED,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,258.75,225,254.25,247.5,202.5,EOL,160 to 450,5280,Normal,0.59
16,470,0.2,8,11.5,-55,105,0.564,1000,226,3000,UVY1C471MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,472.5,315,422.1,387.45,252,MP,6.3 to 100,7520,Normal,1.19
16,470,0.2,8,11.5,-55,105,0.564,1000,226,3000,UVY1C471MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,362.25,315,355.95,346.5,283.5,MP,160 to 450,7520,Normal,1.19
16,1000,0.2,10,12.5,-55,105,0.292,2000,480,2000,UVY1C102MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,575,500,565,550,425,MP,6.3 to 100,16000,Normal,1.49
16,2200,0.22,10,20,-55,105,0.157,2000,1056,1400,UVY1C222MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,816.5,710,802.3,781,603.5,MP,6.3 to 100,35200,Normal,2.34
16,3300,0.24,12.5,25,-55,105,0.121,2000,1584,800,UVY1C332MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,1345.5,1170,1322.1,1287,994.5,MP,6.3 to 100,52800,Normal,4.56
16,4700,0.26,16,25,-55,105,0.096,2000,2256,400,UVY1C472MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,1725,1500,1695,1650,1275,MP,6.3 to 100,75200,Normal,8.2
16,6800,0.3,16,25,-55,105,0.082,2000,3264,400,UVY1C682MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,1840,1600,1808,1760,1360,MP,6.3 to 100,108800,Normal,8.2
16,10000,0.38,16,35.5,-55,105,0.077,2000,4800,300,UVY1C103MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,2219.5,1930,2180.9,2123,1640.5,MP,6.3 to 100,160000,Normal,11.8
16,15000,0.48,18,40,-55,105,0.069,2000,7200,200,UVY1C153MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,2541.5,2210,2497.3,2431,1878.5,MP,6.3 to 100,240000,Normal,17.7
16,22000,0.62,22,40,-55,105,0.064,2000,10560,250,UVY1C223MRD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,3116.5,2710,3062.3,2981,2303.5,EOL,6.3 to 100,352000,Normal,23.8
16,33000,0.84,25,50,-55,105,0.06,2000,15840,140,UVY1C333MRD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,,3450,,,,EOL,,528000,Normal,38.8
25,100,0.16,5,11,-55,105,2.122,1000,75,6000,UVY1E101MDD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,187.5,125,167.5,153.75,100,EOL,6.3 to 100,2500,Normal,0.44
25,100,0.16,5,11,-55,105,2.122,1000,75,6000,UVY1E101MDD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,200,125,175,156.25,100,EOL,160 to 450,2500,Normal,0.44
25,220,0.16,6.3,11,-55,105,0.965,1000,165,4000,UVY1E221MED,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,300,200,268,246,160,EOL,6.3 to 100,5500,Normal,0.59
25,220,0.16,6.3,11,-55,105,0.965,1000,165,4000,UVY1E221MED,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,320,200,280,250,160,EOL,160 to 450,5500,Normal,0.59
25,330,0.16,8,11.5,-55,105,0.643,1000,248,3000,UVY1E331MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,412.5,275,368.5,338.25,220,MP,6.3 to 100,8250,Normal,1.19
25,330,0.16,8,11.5,-55,105,0.643,1000,248,3000,UVY1E331MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,316.25,275,310.75,302.5,247.5,MP,160 to 450,8250,Normal,1.19
25,470,0.16,10,12.5,-55,105,0.452,2000,353,2000,UVY1E471MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,570,380,509.2,467.4,304,MP,6.3 to 100,11750,Normal,1.49
25,470,0.16,10,12.5,-55,105,0.452,2000,353,2000,UVY1E471MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,437,380,429.4,418,342,MP,160 to 450,11750,Normal,1.49
25,1000,0.16,10,16,-55,105,0.239,2000,750,1800,UVY1E102MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,701.5,610,689.3,671,518.5,MP,6.3 to 100,25000,Normal,1.77
25,2200,0.18,12.5,25,-55,105,0.133,2000,1650,800,UVY1E222MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,1253.5,1090,1231.7,1199,926.5,MP,6.3 to 100,55000,Normal,4.56
25,3300,0.2,16,25,-55,105,0.104,2000,2475,400,UVY1E332MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,1610,1400,1582,1540,1190,MP,6.3 to 100,82500,Normal,8.2
25,4700,0.22,16,25,-55,105,0.085,2000,3525,400,UVY1E472MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,1805.5,1570,1774.1,1727,1334.5,MP,6.3 to 100,117500,Normal,8.2
25,6800,0.26,16,35.5,-55,105,0.074,2000,5100,300,UVY1E682MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,2127.5,1850,2090.5,2035,1572.5,MP,6.3 to 100,170000,Normal,11.8
25,10000,0.34,18,40,-55,105,0.072,2000,7500,200,UVY1E103MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,2300,2000,2260,2200,1700,MP,6.3 to 100,250000,Normal,17.7
25,15000,0.44,22,50,-55,105,0.065,2000,11250,250,UVY1E153MRD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,3162.5,2750,3107.5,3025,2337.5,EOL,6.3 to 100,375000,Normal,27.4
25,22000,0.58,25,50,-55,105,0.061,2000,16500,140,UVY1E223MRD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,3737.5,3250,3672.5,3575,2762.5,EOL,6.3 to 100,550000,Normal,38.8
35,47,0.14,5,11,-55,105,3.951,1000,49,6000,UVY1V470MDD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,186,93,146.01,125.55,69.75,EOL,6.3 to 100,1645,Normal,0.44
35,47,0.14,5,11,-55,105,3.951,1000,49,6000,UVY1V470MDD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,148.8,93,130.2,116.25,74.4,EOL,160 to 450,1645,Normal,0.44
35,68,0.14,6.3,11,-55,105,2.731,1000,71,4000,UVY1V680MED,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,220,110,172.7,148.5,82.5,EOL,6.3 to 100,2380,Normal,0.59
35,68,0.14,6.3,11,-55,105,2.731,1000,71,4000,UVY1V680MED,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,176,110,154,137.5,88,EOL,160 to 450,2380,Normal,0.59
35,100,0.14,6.3,11,-55,105,1.857,1000,105,4000,UVY1V101MED,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,225,150,201,184.5,120,EOL,6.3 to 100,3500,Normal,0.59
35,100,0.14,6.3,11,-55,105,1.857,1000,105,4000,UVY1V101MED,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,240,150,210,187.5,120,EOL,160 to 450,3500,Normal,0.59
35,220,0.14,8,11.5,-55,105,0.844,1000,231,3000,UVY1V221MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,375,250,335,307.5,200,MP,6.3 to 100,7700,Normal,1.19
35,220,0.14,8,11.5,-55,105,0.844,1000,231,3000,UVY1V221MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,400,250,350,312.5,200,MP,160 to 450,7700,Normal,1.19
35,330,0.14,10,12.5,-55,105,0.563,2000,347,2000,UVY1V331MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,525,350,469,430.5,280,MP,6.3 to 100,11550,Normal,1.49
35,330,0.14,10,12.5,-55,105,0.563,2000,347,2000,UVY1V331MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,402.5,350,395.5,385,315,MP,160 to 450,11550,Normal,1.49
35,470,0.14,10,16,-55,105,0.395,2000,494,1800,UVY1V471MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,690,460,616.4,565.8,368,MP,6.3 to 100,16450,Normal,1.77
35,470,0.14,10,16,-55,105,0.395,2000,494,1800,UVY1V471MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,529,460,519.8,506,414,MP,160 to 450,16450,Normal,1.77
35,1000,0.14,12.5,20,-55,105,0.212,2000,1050,1000,UVY1V102MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,931.5,810,915.3,891,688.5,MP,6.3 to 100,35000,Normal,3.43
35,2200,0.16,16,25,-55,105,0.121,2000,2310,400,UVY1V222MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,1449,1260,1423.8,1386,1071,MP,6.3 to 100,77000,Normal,8.2
35,3300,0.18,16,30.5,-55,105,0.096,2000,3465,300,UVY1V332MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,1725,1500,1695,1650,1275,MP,6.3 to 100,115500,Normal,9.6
35,4700,0.2,16,35.5,-55,105,0.079,2000,4935,300,UVY1V472MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,2047,1780,2011.4,1958,1513,MP,6.3 to 100,164500,Normal,11.8
35,6800,0.24,18,40,-55,105,0.07,2000,7140,200,UVY1V682MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,2300,2000,2260,2200,1700,MP,6.3 to 100,238000,Normal,17.7
35,10000,0.32,22,50,-55,105,0.069,2000,10500,250,UVY1V103MRD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,3047.5,2650,2994.5,2915,2252.5,EOL,6.3 to 100,350000,Normal,27.4
35,15000,0.42,25,50,-55,105,0.064,2000,15750,140,UVY1V153MRD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,3565,3100,3503,3410,2635,EOL,6.3 to 100,525000,Normal,38.8
50,2.2,0.12,5,11,-55,105,72.343,1000,4,6000,UVY1H2R2MDD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,32,20,28,25,16,EOL,160 to 450,110.00000000000001,Normal,0.44
50,3.3,0.12,5,11,-55,105,48.229,1000,5,6000,UVY1H3R3MDD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,40,25,35,31.25,20,EOL,160 to 450,165,Normal,0.44
50,4.7,0.12,5,11,-55,105,33.863,1000,7,6000,UVY1H4R7MDD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,48,30,42,37.5,24,EOL,160 to 450,235,Normal,0.44
