Voltage,Capacitance,Dissipation Factor,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),ESR(est.) 20°C@120Hz,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@300Hz,Ripple Current 105°C@50Hz,Status,V,VC,Vibration resistant,Weight (g)
100,2.2,0.08,5,11,-55,105,48.229,1000,7,6000,UVY2A2R2MDD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,33.6,21,29.4,26.25,16.8,EOL,160 to 450,220.00000000000003,Normal,0.44
100,3.3,0.08,5,11,-55,105,32.153,1000,10,6000,UVY2A3R3MDD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,46.4,29,40.6,36.25,23.2,EOL,160 to 450,330,Normal,0.44
100,4.7,0.08,5,11,-55,105,22.575,1000,14,6000,UVY2A4R7MDD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,51.2,32,44.8,40,25.6,EOL,160 to 450,470,Normal,0.44
100,10,0.08,5,11,-55,105,10.61,1000,30,6000,UVY2A100MDD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,80,50,70,62.5,40,EOL,160 to 450,1000,Normal,0.44
100,22,0.08,6.3,11,-55,105,4.823,1000,66,4000,UVY2A220MED,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,148.8,93,130.2,116.25,74.4,EOL,160 to 450,2200,Normal,0.59
100,33,0.08,8,11.5,-55,105,3.215,1000,99,3000,UVY2A330MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,260,130,204.1,175.5,97.5,MP,6.3 to 100,3300,Normal,1.19
100,33,0.08,8,11.5,-55,105,3.215,1000,99,3000,UVY2A330MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,208,130,182,162.5,104,MP,160 to 450,3300,Normal,1.19
100,47,0.08,8,11.5,-55,105,2.258,1000,141,3000,UVY2A470MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,280,140,219.8,189,105,MP,6.3 to 100,4700,Normal,1.19
100,47,0.08,8,11.5,-55,105,2.258,1000,141,3000,UVY2A470MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,224,140,196,175,112,MP,160 to 450,4700,Normal,1.19
100,68,0.08,10,12.5,-55,105,1.56,2000,204,2000,UVY2A680MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,380,190,298.3,256.5,142.5,MP,6.3 to 100,6800,Normal,1.49
100,68,0.08,10,12.5,-55,105,1.56,2000,204,2000,UVY2A680MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,304,190,266,237.5,152,MP,160 to 450,6800,Normal,1.49
100,100,0.08,10,16,-55,105,1.061,2000,300,1800,UVY2A101MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,360,240,321.6,295.2,192,MP,6.3 to 100,10000,Normal,1.77
100,100,0.08,10,16,-55,105,1.061,2000,300,1800,UVY2A101MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,384,240,336,300,192,MP,160 to 450,10000,Normal,1.77
100,220,0.08,12.5,20,-55,105,0.482,2000,660,1000,UVY2A221MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,585,390,522.6,479.7,312,MP,6.3 to 100,22000,Normal,3.43
100,220,0.08,12.5,20,-55,105,0.482,2000,660,1000,UVY2A221MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,624,390,546,487.5,312,MP,160 to 450,22000,Normal,3.43
100,330,0.08,12.5,25,-55,105,0.322,2000,990,800,UVY2A331MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,810,540,723.6,664.2,432,MP,6.3 to 100,33000,Normal,4.56
100,330,0.08,12.5,25,-55,105,0.322,2000,990,800,UVY2A331MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,621,540,610.2,594,486,MP,160 to 450,33000,Normal,4.56
100,470,0.08,16,25,-55,105,0.226,2000,1410,400,UVY2A471MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,1072.5,715,958.1,879.45,572,MP,6.3 to 100,47000,Normal,8.2
100,470,0.08,16,25,-55,105,0.226,2000,1410,400,UVY2A471MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,822.25,715,807.95,786.5,643.5,MP,160 to 450,47000,Normal,8.2
100,1000,0.08,18,35.5,-55,105,0.133,2000,3000,250,UVY2A102MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,1104,960,1084.8,1056,816,MP,6.3 to 100,100000,Normal,14.2
100,2200,0.1,22,50,-55,105,0.084,2000,6600,250,UVY2A222MRD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,2012.5,1750,1977.5,1925,1487.5,EOL,6.3 to 100,220000,Normal,27.4
100,3300,0.12,25,50,-55,105,0.072,2000,9900,140,UVY2A332MRD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,2380.5,2070,2339.1,2277,1759.5,EOL,6.3 to 100,330000,Normal,38.8
160,10,0.2,8,11.5,-40,105,26.526,1000,164,3000,UVY2C100MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,65.6,41,57.4,51.25,32.8,MP,160 to 450,1600,Normal,1.19
160,22,0.2,10,12.5,-40,105,12.057,2000,241,2000,UVY2C220MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,147.2,92,128.8,115,73.6,MP,160 to 450,3520,Normal,1.49
160,33,0.2,10,16,-40,105,8.038,2000,311,1800,UVY2C330MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,250,125,196.25,168.75,93.75,MP,6.3 to 100,5280,Normal,1.77
160,33,0.2,10,16,-40,105,8.038,2000,311,1800,UVY2C330MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,200,125,175,156.25,100,MP,160 to 450,5280,Normal,1.77
160,47,0.2,10,20,-40,105,5.644,2000,401,1400,UVY2C470MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,300,150,235.5,202.5,112.5,MP,6.3 to 100,7520,Normal,2.34
160,47,0.2,10,20,-40,105,5.644,2000,401,1400,UVY2C470MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,240,150,210,187.5,120,MP,160 to 450,7520,Normal,2.34
160,68,0.2,12.5,20,-40,105,3.901,2000,535,1000,UVY2C680MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,500,250,392.5,337.5,187.5,MP,6.3 to 100,10880,Normal,3.43
160,68,0.2,12.5,20,-40,105,3.901,2000,535,1000,UVY2C680MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,400,250,350,312.5,200,MP,160 to 450,10880,Normal,3.43
160,100,0.2,12.5,25,-40,105,2.653,2000,740,800,UVY2C101MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,465,310,415.4,381.3,248,MP,6.3 to 100,16000,Normal,4.56
160,100,0.2,12.5,25,-40,105,2.653,2000,740,800,UVY2C101MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,496,310,434,387.5,248,MP,160 to 450,16000,Normal,4.56
160,220,0.2,16,30.5,-40,105,1.206,2000,1508,300,UVY2C221MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,615,410,549.4,504.3,328,MP,6.3 to 100,35200,Normal,9.6
160,220,0.2,16,30.5,-40,105,1.206,2000,1508,300,UVY2C221MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,656,410,574,512.5,328,MP,160 to 450,35200,Normal,9.6
160,330,0.2,18,35.5,-40,105,0.804,2000,2212,250,UVY2C331MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,855,570,763.8,701.1,456,MP,6.3 to 100,52800,Normal,14.2
160,330,0.2,18,35.5,-40,105,0.804,2000,2212,250,UVY2C331MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,655.5,570,644.1,627,513,MP,160 to 450,52800,Normal,14.2
160,470,0.2,18,40,-40,105,0.564,2000,3108,200,UVY2C471MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,1282.5,855,1145.7,1051.65,684,MP,6.3 to 100,75200,Normal,17.7
160,470,0.2,18,40,-40,105,0.564,2000,3108,200,UVY2C471MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,983.25,855,966.15,940.5,769.5,MP,160 to 450,75200,Normal,17.7
160,1000,0.2,25,50,-40,105,0.292,2000,6500,140,UVY2C102MRD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,1552.5,1350,1525.5,1485,1147.5,EOL,6.3 to 100,160000,Normal,38.8
200,0.47,0.2,6.3,11,-40,105,564.38,1000,49,4000,UVY2DR47MED,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,,11,,,,EOL,,94,Normal,0.59
200,1,0.2,6.3,11,-40,105,265.258,1000,60,4000,UVY2D010MED,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,,16,,,,EOL,,200,Normal,0.59
200,2.2,0.2,6.3,11,-40,105,120.572,1000,84,4000,UVY2D2R2MED,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,40,25,35,31.25,20,EOL,160 to 450,440.00000000000006,Normal,0.59
200,3.3,0.2,6.3,11,-40,105,80.381,1000,106,4000,UVY2D3R3MED,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,48,30,42,37.5,24,EOL,160 to 450,660,Normal,0.59
200,4.7,0.2,6.3,11,-40,105,56.438,1000,134,4000,UVY2D4R7MED,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,56,35,49,43.75,28,EOL,160 to 450,940,Normal,0.59
200,10,0.2,8,11.5,-40,105,26.526,1000,180,3000,UVY2D100MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,91.2,57,79.8,71.25,45.6,MP,160 to 450,2000,Normal,1.19
200,22,0.2,10,16,-40,105,12.057,2000,276,1800,UVY2D220MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,168,105,147,131.25,84,MP,160 to 450,4400,Normal,1.77
200,33,0.2,10,20,-40,105,8.038,2000,364,1400,UVY2D330MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,280,140,219.8,189,105,MP,6.3 to 100,6600,Normal,2.34
200,33,0.2,10,20,-40,105,8.038,2000,364,1400,UVY2D330MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,224,140,196,175,112,MP,160 to 450,6600,Normal,2.34
200,47,0.2,12.5,20,-40,105,5.644,2000,476,1000,UVY2D470MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,390,195,306.15,263.25,146.25,MP,6.3 to 100,9400,Normal,3.43
200,47,0.2,12.5,20,-40,105,5.644,2000,476,1000,UVY2D470MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,312,195,273,243.75,156,MP,160 to 450,9400,Normal,3.43
200,68,0.2,12.5,25,-40,105,3.901,2000,644,800,UVY2D680MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,500,250,392.5,337.5,187.5,MP,6.3 to 100,13600,Normal,4.56
200,68,0.2,12.5,25,-40,105,3.901,2000,644,800,UVY2D680MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,400,250,350,312.5,200,MP,160 to 450,13600,Normal,4.56
200,100,0.2,16,25,-40,105,2.653,2000,900,400,UVY2D101MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,480,320,428.8,393.6,256,MP,6.3 to 100,20000,Normal,8.2
200,100,0.2,16,25,-40,105,2.653,2000,900,400,UVY2D101MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,512,320,448,400,256,MP,160 to 450,20000,Normal,8.2
200,220,0.2,16,35.5,-40,105,1.206,2000,1860,300,UVY2D221MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,750,500,670,615,400,MP,6.3 to 100,44000,Normal,11.8
200,220,0.2,16,35.5,-40,105,1.206,2000,1860,300,UVY2D221MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,800,500,700,625,400,MP,160 to 450,44000,Normal,11.8
200,330,0.2,18,40,-40,105,0.804,2000,2740,200,UVY2D331MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,1012.5,675,904.5,830.25,540,MP,6.3 to 100,66000,Normal,17.7
200,330,0.2,18,40,-40,105,0.804,2000,2740,200,UVY2D331MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,776.25,675,762.75,742.5,607.5,MP,160 to 450,66000,Normal,17.7
200,470,0.2,22,40,-40,105,0.564,2000,3860,250,UVY2D471MRD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,1387.5,925,1239.5,1137.75,740,EOL,6.3 to 100,94000,Normal,23.8
200,470,0.2,22,40,-40,105,0.564,2000,3860,250,UVY2D471MRD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,1063.75,925,1045.25,1017.5,832.5,EOL,160 to 450,94000,Normal,23.8
250,3.3,0.2,6.3,11,-40,105,80.381,1000,123,4000,UVY2E3R3MED,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,44.8,28,39.2,35,22.4,EOL,160 to 450,825,Normal,0.59
250,4.7,0.2,6.3,11,-40,105,56.438,1000,147,4000,UVY2E4R7MED,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,56,35,49,43.75,28,EOL,160 to 450,1175,Normal,0.59
250,10,0.2,10,12.5,-40,105,26.526,2000,200,2000,UVY2E100MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,113.6,71,99.4,88.75,56.8,MP,160 to 450,2500,Normal,1.49
250,22,0.2,10,20,-40,105,12.057,2000,320,1400,UVY2E220MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,168,105,147,131.25,84,MP,160 to 450,5500,Normal,2.34
250,33,0.2,10,20,-40,105,8.038,2000,430,1400,UVY2E330MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,280,140,219.8,189,105,MP,6.3 to 100,8250,Normal,2.34
250,33,0.2,10,20,-40,105,8.038,2000,430,1400,UVY2E330MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,224,140,196,175,112,MP,160 to 450,8250,Normal,2.34
250,47,0.2,12.5,20,-40,105,5.644,2000,570,1000,UVY2E470MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,380,190,298.3,256.5,142.5,MP,6.3 to 100,11750,Normal,3.43
250,47,0.2,12.5,20,-40,105,5.644,2000,570,1000,UVY2E470MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,304,190,266,237.5,152,MP,160 to 450,11750,Normal,3.43
250,68,0.2,16,25,-40,105,3.901,2000,780,400,UVY2E680MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,540,270,423.9,364.5,202.5,MP,6.3 to 100,17000,Normal,8.2
250,68,0.2,16,25,-40,105,3.901,2000,780,400,UVY2E680MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,432,270,378,337.5,216,MP,160 to 450,17000,Normal,8.2
250,100,0.2,16,25,-40,105,2.653,2000,1100,400,UVY2E101MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,465,310,415.4,381.3,248,MP,6.3 to 100,25000,Normal,8.2
250,100,0.2,16,25,-40,105,2.653,2000,1100,400,UVY2E101MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,496,310,434,387.5,248,MP,160 to 450,25000,Normal,8.2
250,220,0.2,18,35.5,-40,105,1.206,2000,2300,250,UVY2E221MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,727.5,485,649.9,596.55,388,MP,6.3 to 100,55000,Normal,14.2
250,220,0.2,18,35.5,-40,105,1.206,2000,2300,250,UVY2E221MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,776,485,679,606.25,388,MP,160 to 450,55000,Normal,14.2
250,330,0.2,20,40,-40,105,0.804,2000,3400,150,UVY2E331MRD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,1065,710,951.4,873.3,568,EOL,6.3 to 100,82500,Normal,19.6
250,330,0.2,20,40,-40,105,0.804,2000,3400,150,UVY2E331MRD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,816.5,710,802.3,781,639,EOL,160 to 450,82500,Normal,19.6
250,470,0.2,22,50,-40,105,0.564,2000,4800,250,UVY2E471MRD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,1500,1000,1340,1230,800,EOL,6.3 to 100,117500,Normal,27.4
250,470,0.2,22,50,-40,105,0.564,2000,4800,250,UVY2E471MRD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,1150,1000,1130,1100,900,EOL,160 to 450,117500,Normal,27.4
350,2.2,0.25,6.3,11,-40,105,150.715,1000,117,4000,UVY2V2R2MED,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,33.6,21,29.4,26.25,16.8,EOL,160 to 450,770.0000000000001,Normal,0.59
350,3.3,0.25,8,11.5,-40,105,100.477,1000,146,3000,UVY2V3R3MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,48,30,42,37.5,24,MP,160 to 450,1155,Normal,1.19
350,4.7,0.25,8,11.5,-40,105,70.547,1000,166,3000,UVY2V4R7MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,62.4,39,54.6,48.75,31.2,MP,160 to 450,1645,Normal,1.19
350,10,0.25,10,12.5,-40,105,33.157,2000,240,2000,UVY2V100MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,102.4,64,89.6,80,51.2,MP,160 to 450,3500,Normal,1.49
350,22,0.25,12.5,20,-40,105,15.072,2000,408,1000,UVY2V220MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,168,105,147,131.25,84,MP,160 to 450,7700,Normal,3.43
350,33,0.25,12.5,25,-40,105,10.048,2000,562,800,UVY2V330MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,340,170,266.9,229.5,127.5,MP,6.3 to 100,11550,Normal,4.56
350,33,0.25,12.5,25,-40,105,10.048,2000,562,800,UVY2V330MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,272,170,238,212.5,136,MP,160 to 450,11550,Normal,4.56
350,47,0.25,16,25,-40,105,7.055,2000,758,400,UVY2V470MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,420,210,329.7,283.5,157.5,MP,6.3 to 100,16450,Normal,8.2
350,47,0.25,16,25,-40,105,7.055,2000,758,400,UVY2V470MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,336,210,294,262.5,168,MP,160 to 450,16450,Normal,8.2
350,68,0.25,16,25,-40,105,4.876,2000,1052,400,UVY2V680MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,570,285,447.45,384.75,213.75,MP,6.3 to 100,23800,Normal,8.2
350,68,0.25,16,25,-40,105,4.876,2000,1052,400,UVY2V680MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,456,285,399,356.25,228,MP,160 to 450,23800,Normal,8.2
350,100,0.25,18,35.5,-40,105,3.316,2000,1500,250,UVY2V101MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,555,370,495.8,455.1,296,MP,6.3 to 100,35000,Normal,14.2
350,100,0.25,18,35.5,-40,105,3.316,2000,1500,250,UVY2V101MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,592,370,518,462.5,296,MP,160 to 450,35000,Normal,14.2
350,220,0.25,22,50,-40,105,1.507,2000,3180,250,UVY2V221MRD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,810,540,723.6,664.2,432,EOL,6.3 to 100,77000,Normal,27.4
350,220,0.25,22,50,-40,105,1.507,2000,3180,250,UVY2V221MRD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,864,540,756,675,432,EOL,160 to 450,77000,Normal,27.4
350,330,0.25,25,50,-40,105,1.005,2000,4720,140,UVY2V331MRD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,1065,710,951.4,873.3,568,EOL,6.3 to 100,115500,Normal,38.8
350,330,0.25,25,50,-40,105,1.005,2000,4720,140,UVY2V331MRD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,816.5,710,802.3,781,639,EOL,160 to 450,115500,Normal,38.8
400,0.47,0.25,6.3,11,-40,105,705.475,1000,59,4000,UVY2GR47MED,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,,8,,,,EOL,,188,Normal,0.59
400,1,0.25,6.3,11,-40,105,331.573,1000,80,4000,UVY2G010MED,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,,14,,,,EOL,,400,Normal,0.59
400,2.2,0.25,8,11.5,-40,105,150.715,1000,128,3000,UVY2G2R2MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,43.2,27,37.8,33.75,21.6,MP,160 to 450,880.0000000000001,Normal,1.19
400,3.3,0.25,8,11.5,-40,105,100.477,1000,153,3000,UVY2G3R3MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,54.4,34,47.6,42.5,27.2,MP,160 to 450,1320,Normal,1.19
400,4.7,0.25,10,12.5,-40,105,70.547,2000,175,2000,UVY2G4R7MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,67.2,42,58.8,52.5,33.6,MP,160 to 450,1880,Normal,1.49
400,10,0.25,10,16,-40,105,33.157,2000,260,1800,UVY2G100MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,102.4,64,89.6,80,51.2,MP,160 to 450,4000,Normal,1.77
400,22,0.25,12.5,25,-40,105,15.072,2000,452,800,UVY2G220MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,224,140,196,175,112,MP,160 to 450,8800,Normal,4.56
400,33,0.25,16,25,-40,105,10.048,2000,628,400,UVY2G330MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,340,170,266.9,229.5,127.5,MP,6.3 to 100,13200,Normal,8.2
400,33,0.25,16,25,-40,105,10.048,2000,628,400,UVY2G330MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,272,170,238,212.5,136,MP,160 to 450,13200,Normal,8.2
400,47,0.25,16,25,-40,105,7.055,2000,852,400,UVY2G470MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,400,200,314,270,150,MP,6.3 to 100,18800,Normal,8.2
400,47,0.25,16,25,-40,105,7.055,2000,852,400,UVY2G470MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,320,200,280,250,160,MP,160 to 450,18800,Normal,8.2
400,68,0.25,16,30.5,-40,105,4.876,2000,1188,300,UVY2G680MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,480,240,376.8,324,180,MP,6.3 to 100,27200,Normal,9.6
400,68,0.25,16,30.5,-40,105,4.876,2000,1188,300,UVY2G680MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,384,240,336,300,192,MP,160 to 450,27200,Normal,9.6
400,100,0.25,18,35.5,-40,105,3.316,2000,1700,250,UVY2G101MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,465,310,415.4,381.3,248,MP,6.3 to 100,40000,Normal,14.2
400,100,0.25,18,35.5,-40,105,3.316,2000,1700,250,UVY2G101MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,496,310,434,387.5,248,MP,160 to 450,40000,Normal,14.2
400,220,0.25,22,50,-40,105,1.507,2000,3620,250,UVY2G221MRD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,690,460,616.4,565.8,368,EOL,6.3 to 100,88000,Normal,27.4
400,220,0.25,22,50,-40,105,1.507,2000,3620,250,UVY2G221MRD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,736,460,644,575,368,EOL,160 to 450,88000,Normal,27.4
450,2.2,0.25,8,11.5,-25,105,150.715,1000,139,3000,UVY2W2R2MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,32,20,28,25,16,MP,160 to 450,990.0000000000001,Normal,1.19
450,3.3,0.25,10,12.5,-25,105,100.477,2000,159,2000,UVY2W3R3MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,44.8,28,39.2,35,22.4,MP,160 to 450,1485,Normal,1.49
450,4.7,0.25,10,12.5,-25,105,70.547,2000,185,2000,UVY2W4R7MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,51.2,32,44.8,40,25.6,MP,160 to 450,2115,Normal,1.49
450,10,0.25,10,20,-25,105,33.157,2000,280,1400,UVY2W100MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,89.6,56,78.4,70,44.8,MP,160 to 450,4500,Normal,2.34
450,22,0.25,12.5,25,-25,105,15.072,2000,496,800,UVY2W220MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,160,100,140,125,80,MP,160 to 450,9900,Normal,4.56
450,33,0.25,16,25,-25,105,10.048,2000,694,400,UVY2W330MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,250,125,196.25,168.75,93.75,MP,6.3 to 100,14850,Normal,8.2
450,33,0.25,16,25,-25,105,10.048,2000,694,400,UVY2W330MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,200,125,175,156.25,100,MP,160 to 450,14850,Normal,8.2
450,47,0.25,16,30.5,-25,105,7.055,2000,946,300,UVY2W470MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,310,155,243.35,209.25,116.25,MP,6.3 to 100,21150,Normal,9.6
450,47,0.25,16,30.5,-25,105,7.055,2000,946,300,UVY2W470MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,248,155,217,193.75,124,MP,160 to 450,21150,Normal,9.6
450,68,0.25,18,35.5,-25,105,4.876,2000,1324,250,UVY2W680MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,370,185,290.45,249.75,138.75,MP,6.3 to 100,30600,Normal,14.2
450,68,0.25,18,35.5,-25,105,4.876,2000,1324,250,UVY2W680MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,296,185,259,231.25,148,MP,160 to 450,30600,Normal,14.2
450,100,0.25,18,40,-25,105,3.316,2000,1900,200,UVY2W101MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,300,200,268,246,160,MP,6.3 to 100,45000,Normal,17.7
450,100,0.25,18,40,-25,105,3.316,2000,1900,200,UVY2W101MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,320,200,280,250,160,MP,160 to 450,45000,Normal,17.7
450,220,0.25,25,50,-25,105,1.507,2000,4060,140,UVY2W221MRD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,375,250,335,307.5,200,EOL,6.3 to 100,99000,Normal,38.8
450,220,0.25,25,50,-25,105,1.507,2000,4060,140,UVY2W221MRD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,400,250,350,312.5,200,EOL,160 to 450,99000,Normal,38.8
