Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Endurance,Lead Diameter,Lead Space,Lead Space Taping,Lead Space Taping_1,Part Number,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@60Hz,Straight leads,Taping,VC
6.3,100,1.65,1.65,5,11,0.28,3.714,1000,0.5,2,5,2.5,ECA0JHG101( ),136.5,136.5,91,122.85,72.8,200,2000,630
6.3,220,0.75,0.75,5,11,0.28,1.688,1000,0.5,2,5,2.5,ECA0JHG221( ),210,210,140,189,112,200,2000,1386
6.3,470,0.351,0.351,6.3,11.2,0.28,0.79,1000,0.5,2.5,5,2.5,ECA0JHG471( ),300,300,200,270,160,200,2000,2961
6.3,1000,0.301,0.301,8,11.5,0.28,0.398,1000,0.6,3.5,5,,ECA0JHG102( ),437,437,380,418,323,200,1000,6300
6.3,2200,0.155,0.155,10,16,0.3,0.205,2000,0.6,5,5,,ECA0JHG222( ),816.5,816.5,710,781,603.5,200,500,13860
6.3,3300,0.115,0.115,10,20,0.32,0.153,2000,0.6,5,5,,ECA0JHG332( ),966,966,840,924,714,200,500,20790
6.3,4700,0.09,0.09,12.5,20,0.34,0.119,2000,0.6,5,5,,ECA0JHG472( ),1253.5,1253.5,1090,1199,926.5,200,500,29610
6.3,6800,0.074,0.074,12.5,25,0.38,0.098,2000,0.6,5,5,,ECA0JHG682( ),1552.5,1552.5,1350,1485,1147.5,200,500,42840
6.3,10000,0.066,0.066,16,25,0.46,0.088,2000,0.8,7.5,7.5,,ECA0JHG103( ),1897.5,1897.5,1650,1815,1402.5,100,250,63000
6.3,15000,0.057,0.057,16,31.5,0.56,0.076,2000,0.8,7.5,,,ECA0JHG153,2311.5,2311.5,2010,2211,1708.5,100,,94500
6.3,22000,0.052,0.052,18,35.5,0.7,0.069,2000,0.8,7.5,,,ECA0JHG223,2702.5,2702.5,2350,2585,1997.5,50,,138600
10,330,0.429,0.429,6.3,11.2,0.24,0.965,1000,0.5,2.5,5,2.5,ECA1AHG331( ),300,300,200,270,160,200,2000,3300
10,470,0.301,0.301,8,11.5,0.24,0.677,1000,0.6,3.5,5,,ECA1AHG471( ),375,375,250,337.5,200,200,1000,4700
10,1000,0.261,0.261,10,12.5,0.24,0.345,2000,0.6,5,5,,ECA1AHG102( ),529,529,460,506,391,200,500,10000
10,2200,0.137,0.137,10,20,0.26,0.181,2000,0.6,5,5,,ECA1AHG222( ),874,874,760,836,646,200,500,22000
10,3300,0.103,0.103,12.5,20,0.28,0.137,2000,0.6,5,5,,ECA1AHG332( ),1150,1150,1000,1100,850,200,500,33000
10,4700,0.081,0.081,12.5,25,0.3,0.107,2000,0.6,5,5,,ECA1AHG472( ),1449,1449,1260,1386,1071,200,500,47000
10,6800,0.068,0.068,16,25,0.34,0.09,2000,0.8,7.5,7.5,,ECA1AHG682( ),1805.5,1805.5,1570,1727,1334.5,100,250,68000
