Voltage,Capacitance,Dissipation Factor,Case Size Diameter,Case Size Length,ESR(est.) 20°C@120Hz,Part Number,Ripple Current 125°C@100kHz,Ripple Current 125°C@10kHz,Ripple Current 125°C@120Hz,Ripple Current 125°C@1kHz,VC
400,47,0.24,16,20,6.773,EGXM401E□□470ML20S,950,836,380,608,18800
400,68,0.24,16,25,4.681,EGXM401E□□680ML25S,1375,1210,550,880,27200
400,68,0.24,18,20,4.681,EGXM401E□□680MM20S,1200,1056,480,768,27200
400,100,0.24,16,30,3.183,EGXM401E□□101ML30S,1620,1440,720,1080,40000
400,100,0.24,18,25,3.183,EGXM401E□□101MM25S,1530,1360,680,1020,40000
400,120,0.24,16,35,2.653,EGXM401E□□121ML35S,1822.5,1620,810,1215,48000
400,120,0.24,16,40,2.653,EGXM401E□□121ML40S,1867.5,1660,830,1245,48000
400,120,0.24,18,30,2.653,EGXM401E□□121MM30S,1822.5,1620,810,1215,48000
400,150,0.24,18,35,2.122,EGXM401E□□151MM35S,2092.5,1860,930,1395,60000
400,180,0.24,18,40,1.768,EGXM401E□□181MM40S,2340,2080,1040,1560,72000
420,47,0.24,16,20,6.773,EGXM421E□□470ML20S,950,836,380,608,19740
420,56,0.24,18,20,5.684,EGXM421E□□560MM20S,1075,946,430,688,23520
420,68,0.24,16,25,4.681,EGXM421E□□680ML25S,1375,1210,550,880,28560
420,82,0.24,16,30,3.882,EGXM421E□□820ML30S,1625,1430,650,1040,34440
420,82,0.24,18,25,3.882,EGXM421E□□820MM25S,1550,1364,620,992,34440
420,100,0.24,16,35,3.183,EGXM421E□□101ML35S,1642.5,1460,730,1095,42000
420,120,0.24,16,40,2.653,EGXM421E□□121ML40S,1867.5,1660,830,1245,50400
420,120,0.24,18,30,2.653,EGXM421E□□121MM30S,1822.5,1620,810,1215,50400
420,120,0.24,18,35,2.653,EGXM421E□□121MM35S,1867.5,1660,830,1245,50400
420,150,0.24,18,40,2.122,EGXM421E□□151MM40S,2137.5,1900,950,1425,63000
450,39,0.24,16,20,8.162,EGXM451E□□390ML20S,850,748,340,544,17550
450,56,0.24,16,25,5.684,EGXM451E□□560ML25S,1250,1100,500,800,25200
450,56,0.24,18,20,5.684,EGXM451E□□560MM20S,1075,946,430,688,25200
450,82,0.24,16,30,3.882,EGXM451E□□820ML30S,1625,1430,650,1040,36900
450,82,0.24,18,25,3.882,EGXM451E□□820MM25S,1550,1364,620,992,36900
450,100,0.24,16,35,3.183,EGXM451E□□101ML35S,1642.5,1460,730,1095,45000
450,100,0.24,16,40,3.183,EGXM451E□□101ML40S,1710,1520,760,1140,45000
450,100,0.24,18,30,3.183,EGXM451E□□101MM30S,1665,1480,740,1110,45000
450,120,0.24,18,35,2.653,EGXM451E□□121MM35S,1867.5,1660,830,1245,54000
450,150,0.24,18,40,2.122,EGXM451E□□151MM40S,2137.5,1900,950,1425,67500
