Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Max Ripple Current 105°C@100kHz,Max Ripple Current 125°C@100kHz,Max Ripple Current 135°C@100kHz,Ripple Current 125°C@100kHz,Ripple Current 125°C@10kHz,Ripple Current 125°C@120Hz,Ripple Current 125°C@1kHz,Ripple Current 135°C@100kHz,VC
50,1600,0.02,0.02,0.029,16,30,0.1,0.099,5970,4450,3440,4240,4240,1909.91,3399.64,2840,80000
50,1600,0.02,0.02,0.034,18,25,0.1,0.099,5470,4070,3150,3880,3880,1747.75,3110.99,2600,80000
50,2000,0.019,0.019,0.03,16,30,0.1,0.093,5870,4370,3390,4170,4170,1878.38,3343.51,2790,100000
50,2000,0.019,0.019,0.034,18,25,0.1,0.093,5420,4040,3130,3850,3850,1734.23,3086.94,2580,100000
50,2000,0.019,0.019,0.027,18,30,0.1,0.093,6480,4830,3740,4600,4600,2072.07,3688.29,3080,100000
50,2400,0.016,0.016,0.028,18,30,0.1,0.077,6420,4780,3700,4560,4560,2054.05,3656.22,3050,120000
70,240,0.112,0.112,0.093,12.5,20,0.1,0.553,2820,2100,1630,2000,2000,900.9,1603.6,1340,16800
70,360,0.075,0.075,0.099,12.5,20,0.1,0.368,2740,2040,1580,1940,1940,873.87,1555.5,1300,25200
70,360,0.075,0.075,0.067,12.5,25,0.1,0.368,3600,2680,2070,2550,2550,1148.65,2044.59,1710,25200
70,430,0.063,0.063,0.062,16,20,0.1,0.308,3560,2650,2050,2530,2530,1139.64,2028.56,1690,30100
70,470,0.057,0.057,0.054,12.5,30,0.1,0.282,4290,3190,2470,3040,3040,1369.37,2437.48,2040,32900
70,510,0.053,0.053,0.072,12.5,25,0.1,0.26,3490,2600,2010,2470,2470,1112.61,1980.45,1660,35700
70,560,0.048,0.048,0.057,18,20,0.1,0.237,3920,2920,2260,2780,2780,1252.25,2229.01,1860,39200
70,620,0.043,0.043,0.057,12.5,30,0.1,0.214,4150,3100,2400,2950,2950,1328.83,2365.32,1980,43400
70,620,0.043,0.043,0.064,16,20,0.1,0.214,3490,2600,2010,2480,2480,1117.12,1988.47,1660,43400
70,620,0.043,0.043,0.045,16,25,0.1,0.214,4510,3360,2600,3200,3200,1441.44,2565.77,2150,43400
70,750,0.036,0.036,0.058,18,20,0.1,0.177,3870,2880,2230,2750,2750,1238.74,2204.95,1840,52500
70,820,0.033,0.033,0.036,16,30,0.1,0.162,5360,3990,3090,3800,3800,1711.71,3046.85,2550,57400
70,820,0.033,0.033,0.042,18,25,0.1,0.162,4950,3690,2860,3510,3510,1581.08,2814.32,2350,57400
70,910,0.03,0.03,0.047,16,25,0.1,0.146,4420,3300,2550,3140,3140,1414.41,2517.66,2100,63700
70,1000,0.032,0.032,0.033,18,30,0.1,0.159,5870,4380,3390,4170,4170,1878.38,3343.51,2790,70000
70,1100,0.029,0.029,0.038,16,30,0.1,0.145,5250,3910,3030,3730,3730,1680.18,2990.72,2500,77000
70,1100,0.029,0.029,0.042,18,25,0.1,0.145,4890,3650,2820,3470,3470,1563.06,2782.25,2330,77000
70,1300,0.025,0.025,0.034,18,30,0.1,0.122,5810,4330,3350,4120,4120,1855.86,3303.42,2760,91000
