Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Dissipation Factor,Impedance -10°C,Impedance 20°C,Ripple Current
16,1000,0.212,10,16,0.16,0.122,0.061,1180
16,1500,0.141,10,20,0.16,0.09,0.045,1490
16,1800,0.118,10,25,0.16,0.074,0.037,1710
16,2200,0.096,12.5,20,0.16,0.076,0.038,1780
16,3300,0.064,12.5,25,0.16,0.06,0.03,2170
16,3900,0.054,12.5,30,0.16,0.05,0.025,2540
16,3900,0.054,16,20,0.16,0.056,0.028,2210
16,5600,0.038,16,25,0.16,0.044,0.022,2620
16,5600,0.038,18,20,0.16,0.056,0.028,2490
16,6800,0.031,16,30,0.16,0.038,0.019,3060
16,8200,0.026,18,25,0.16,0.04,0.02,2790
16,10000,0.021,18,30,0.16,0.036,0.018,3240
25,680,0.273,10,16,0.14,0.122,0.061,1180
25,1000,0.186,10,20,0.14,0.09,0.045,1490
25,1200,0.155,10,25,0.14,0.074,0.037,1710
25,1500,0.124,12.5,20,0.14,0.076,0.038,1780
25,2200,0.084,12.5,25,0.14,0.06,0.03,2170
25,2700,0.069,12.5,30,0.14,0.05,0.025,2540
25,2700,0.069,16,20,0.14,0.056,0.028,2210
25,3300,0.056,18,20,0.14,0.056,0.028,2490
25,3900,0.048,16,25,0.14,0.044,0.022,2620
25,4700,0.04,16,30,0.14,0.038,0.019,3060
25,4700,0.04,18,25,0.14,0.04,0.02,2790
25,5600,0.033,18,30,0.14,0.036,0.018,3240
35,470,0.339,10,16,0.12,0.122,0.061,1180
35,680,0.234,10,20,0.12,0.09,0.045,1490
35,820,0.194,10,25,0.12,0.074,0.037,1710
35,1000,0.159,12.5,20,0.12,0.076,0.038,1780
35,1200,0.133,12.5,25,0.12,0.06,0.03,2170
35,1800,0.088,12.5,30,0.12,0.05,0.025,2540
35,1800,0.088,16,20,0.12,0.056,0.028,2210
35,2200,0.072,16,25,0.12,0.044,0.022,2620
35,2200,0.072,18,20,0.12,0.056,0.028,2490
35,3300,0.048,16,30,0.12,0.038,0.019,3060
35,3300,0.048,18,25,0.12,0.04,0.02,2790
35,3900,0.041,18,30,0.12,0.036,0.018,3240
50,180,0.737,10,16,0.1,0.2,0.1,850
50,270,0.491,10,20,0.1,0.15,0.075,1050
50,330,0.402,10,25,0.1,0.114,0.057,1250
50,390,0.34,12.5,20,0.1,0.118,0.059,1480
50,560,0.237,12.5,25,0.1,0.088,0.044,1840
50,680,0.195,12.5,30,0.1,0.072,0.036,2220
50,820,0.162,16,20,0.1,0.088,0.044,1840
50,1200,0.111,16,25,0.1,0.064,0.032,2240
50,1200,0.111,18,20,0.1,0.082,0.041,2150
50,1500,0.088,16,30,0.1,0.052,0.026,2700
50,1500,0.088,18,25,0.1,0.058,0.029,2610
50,2200,0.06,18,30,0.1,0.048,0.024,3000
63,120,0.995,10,16,0.09,0.32,0.16,600
63,180,0.663,10,20,0.09,0.24,0.12,890
63,220,0.543,10,25,0.09,0.18,0.09,1050
63,330,0.362,12.5,20,0.09,0.17,0.085,1290
63,390,0.306,12.5,25,0.09,0.132,0.066,1720
63,470,0.254,12.5,30,0.09,0.104,0.052,2090
63,560,0.213,16,20,0.09,0.118,0.059,1770
63,820,0.146,16,25,0.09,0.094,0.047,2160
63,820,0.146,18,20,0.09,0.11,0.055,2290
63,1000,0.119,16,30,0.09,0.074,0.037,2670
63,1000,0.119,18,25,0.09,0.08,0.04,2590
63,1500,0.08,18,30,0.09,0.064,0.032,2950
80,100,1.194,10,16,0.09,0.81,0.33,550
80,150,0.796,10,20,0.09,0.59,0.24,780
80,180,0.663,10,25,0.09,0.47,0.19,970
80,180,0.663,12.5,20,0.09,0.39,0.165,1120
80,270,0.442,12.5,25,0.09,0.28,0.12,1420
80,390,0.306,12.5,30,0.09,0.23,0.097,1690
80,390,0.306,16,20,0.09,0.26,0.11,1560
80,470,0.254,18,20,0.09,0.19,0.09,1660
80,560,0.213,16,25,0.09,0.19,0.081,1980
80,680,0.176,16,30,0.09,0.15,0.064,2350
80,680,0.176,18,25,0.09,0.15,0.07,2100
80,820,0.146,18,30,0.09,0.13,0.058,2490
100,68,1.56,10,16,0.08,0.81,0.33,550
100,100,1.061,10,20,0.08,0.59,0.24,780
100,120,0.884,10,25,0.08,0.47,0.19,970
100,120,0.884,12.5,20,0.08,0.39,0.165,1120
100,180,0.589,12.5,25,0.08,0.28,0.12,1420
100,220,0.482,12.5,30,0.08,0.23,0.097,1690
100,270,0.393,16,20,0.08,0.26,0.11,1560
100,330,0.322,16,25,0.08,0.19,0.081,1980
100,330,0.322,18,20,0.08,0.19,0.09,1660
100,470,0.226,16,30,0.08,0.15,0.064,2350
100,470,0.226,18,25,0.08,0.15,0.07,2100
100,560,0.189,18,30,0.08,0.13,0.058,2490
