Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Impedance -10°C@100kHz,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,VC
6.3,150,0.575,0.486,0.58,5,11,0.22,1.945,2.3,210,193.2,105,153.3,945
6.3,220,0.392,0.332,0.58,5,11,0.22,1.326,2.3,210,193.2,105,153.3,1386
6.3,330,0.302,0.267,0.22,6.3,11,0.22,0.884,0.87,340,319.45,186.81,261.54,2079
6.3,470,0.212,0.187,0.22,6.3,11,0.22,0.621,0.87,340,319.45,186.81,261.54,2961
6.3,680,0.147,0.13,0.12,8,11.5,0.22,0.429,0.48,730,685.88,401.1,561.54,4284
6.3,820,0.139,0.128,0.069,8,16,0.22,0.356,0.27,1050,1005.99,628.74,836.23,5166
6.3,1000,0.124,0.114,0.12,8,11.5,0.22,0.318,0.48,730,699.4,437.13,581.38,6300
6.3,1200,0.104,0.095,0.069,8,16,0.22,0.265,0.27,1050,1005.99,628.74,836.23,7560
6.3,1200,0.104,0.095,0.06,10,12.5,0.22,0.265,0.24,1210,1159.28,724.55,963.65,7560
6.3,1500,0.083,0.076,0.046,10,16,0.22,0.212,0.18,1450,1389.22,868.26,1154.79,9450
6.3,1800,0.069,0.063,0.037,10,20,0.22,0.177,0.15,1720,1647.9,1029.94,1369.82,11340
6.3,2200,0.08,0.077,0.037,10,20,0.22,0.157,0.15,1720,1683.92,1202.8,1455.38,13860
6.3,2700,0.065,0.062,0.031,10,23,0.22,0.128,0.12,1910,1869.93,1335.66,1616.15,17010
6.3,2700,0.065,0.062,0.04,12.5,16,0.22,0.128,0.12,1730,1693.71,1209.79,1463.85,17010
6.3,3300,0.057,0.055,0.04,12.5,16,0.22,0.113,0.12,1730,1693.71,1209.79,1463.85,20790
6.3,3900,0.049,0.047,0.028,12.5,20,0.22,0.095,0.089,2160,2114.69,1510.49,1827.69,24570
6.3,3900,0.049,0.047,0.042,16,16,0.22,0.095,0.11,1940,1899.3,1356.64,1641.54,24570
6.3,4700,0.043,0.041,0.024,12.5,25,0.22,0.085,0.065,2650,2594.41,1853.15,2242.31,29610
6.3,5600,0.039,0.037,0.024,12.5,25,0.22,0.076,0.065,2650,2594.41,1853.15,2242.31,35280
6.3,5600,0.039,0.037,0.02,12.5,30,0.22,0.076,0.065,2880,2819.58,2013.99,2436.92,35280
6.3,6800,0.034,0.032,0.017,12.5,35,0.22,0.066,0.063,3350,3279.72,2342.66,2834.62,42840
6.3,6800,0.034,0.032,0.021,16,20,0.22,0.066,0.06,2540,2486.71,1776.22,2149.23,42840
6.3,8200,0.031,0.03,0.017,16,25,0.22,0.061,0.05,3060,2995.8,2139.86,2589.23,51660
6.3,10000,0.028,0.027,0.017,16,31.5,0.22,0.056,0.044,3610,3534.27,2524.48,3054.62,63000
6.3,10000,0.028,0.027,0.026,18,20,0.22,0.056,0.06,2860,2800,2000,2420,63000
6.3,12000,0.026,0.025,0.015,16,35.5,0.22,0.051,0.038,4080,3994.41,2853.15,3452.31,75600
6.3,12000,0.026,0.025,0.019,18,25,0.22,0.051,0.045,3140,3074.13,2195.8,2656.92,75600
6.3,15000,0.023,0.022,0.015,18,31.5,0.22,0.046,0.038,4170,4082.52,2916.08,3528.46,94500
6.3,18000,0.022,0.021,0.014,18,35.5,0.22,0.043,0.032,4280,4190.21,2993.01,3621.54,113400
6.3,22000,0.02,0.019,0.012,18,40,0.22,0.04,0.03,4550,4454.55,3181.82,3850,138600
10,100,0.744,0.63,0.58,5,11,0.19,2.52,2.3,210,193.2,105,153.3,1000
10,220,0.338,0.286,0.58,5,11,0.19,1.145,2.3,210,193.2,105,153.3,2200
10,220,0.338,0.286,0.22,6.3,11,0.19,1.145,0.87,340,312.8,170,248.2,2200
10,470,0.183,0.162,0.22,6.3,11,0.19,0.536,0.87,340,319.45,186.81,261.54,4700
10,680,0.127,0.112,0.12,8,11.5,0.19,0.371,0.48,730,685.88,401.1,561.54,6800
10,680,0.127,0.112,0.069,8,16,0.19,0.371,0.27,1050,986.54,576.92,807.69,6800
10,1000,0.109,0.1,0.069,8,16,0.19,0.279,0.27,1050,1005.99,628.74,836.23,10000
10,1000,0.109,0.1,0.06,10,12.5,0.19,0.279,0.24,1210,1159.28,724.55,963.65,10000
10,1200,0.091,0.083,0.046,10,16,0.19,0.232,0.18,1450,1389.22,868.26,1154.79,12000
10,1500,0.073,0.067,0.042,8,20,0.19,0.186,0.17,1650,1580.84,988.02,1314.07,15000
10,1500,0.073,0.067,0.046,10,16,0.19,0.186,0.18,1450,1389.22,868.26,1154.79,15000
10,1500,0.073,0.067,0.037,10,20,0.19,0.186,0.15,1720,1647.9,1029.94,1369.82,15000
10,1800,0.06,0.055,0.037,10,20,0.19,0.155,0.15,1720,1647.9,1029.94,1369.82,18000
10,2200,0.071,0.068,0.031,10,23,0.19,0.139,0.12,1910,1869.93,1335.66,1616.15,22000
10,2200,0.071,0.068,0.04,12.5,16,0.19,0.139,0.12,1730,1693.71,1209.79,1463.85,22000
16,56,1.119,0.947,0.58,5,11,0.16,3.789,2.3,210,193.2,105,153.3,896
16,120,0.522,0.442,0.58,5,11,0.16,1.768,2.3,210,193.2,105,153.3,1920
16,330,0.22,0.194,0.22,6.3,11,0.16,0.643,0.87,340,319.45,186.81,261.54,5280
16,470,0.154,0.136,0.12,8,11.5,0.16,0.452,0.48,730,685.88,401.1,561.54,7520
16,470,0.154,0.136,0.069,8,16,0.16,0.452,0.27,1050,986.54,576.92,807.69,7520
16,680,0.107,0.094,0.069,8,16,0.16,0.312,0.27,1050,986.54,576.92,807.69,10880
16,680,0.107,0.094,0.06,10,12.5,0.16,0.312,0.24,1210,1136.87,664.84,930.77,10880
16,1000,0.093,0.086,0.042,8,20,0.16,0.239,0.17,1650,1580.84,988.02,1314.07,16000
16,1000,0.093,0.086,0.046,10,16,0.16,0.239,0.18,1450,1389.22,868.26,1154.79,16000
16,1000,0.093,0.086,0.037,10,20,0.16,0.239,0.15,1720,1647.9,1029.94,1369.82,16000
16,1200,0.078,0.071,0.037,10,20,0.16,0.199,0.15,1720,1647.9,1029.94,1369.82,19200
16,1500,0.062,0.057,0.037,10,20,0.16,0.159,0.15,1720,1647.9,1029.94,1369.82,24000
16,1500,0.062,0.057,0.031,10,23,0.16,0.159,0.12,1910,1829.94,1143.71,1521.14,24000
16,1500,0.062,0.057,0.04,12.5,16,0.16,0.159,0.12,1730,1657.49,1035.93,1377.78,24000
16,1800,0.052,0.048,0.031,10,23,0.16,0.133,0.12,1910,1829.94,1143.71,1521.14,28800
16,2200,0.062,0.059,0.027,10,25,0.16,0.121,0.089,2230,2183.22,1559.44,1886.92,35200
16,2200,0.062,0.059,0.028,12.5,20,0.16,0.121,0.089,2160,2114.69,1510.49,1827.69,35200
16,2200,0.062,0.059,0.042,16,16,0.16,0.121,0.11,1940,1899.3,1356.64,1641.54,35200
16,2700,0.05,0.048,0.024,12.5,25,0.16,0.098,0.065,2650,2594.41,1853.15,2242.31,43200
16,3300,0.045,0.043,0.02,12.5,30,0.16,0.088,0.065,2880,2819.58,2013.99,2436.92,52800
16,3900,0.038,0.037,0.017,12.5,35,0.16,0.075,0.063,3350,3279.72,2342.66,2834.62,62400
16,3900,0.038,0.037,0.021,16,20,0.16,0.075,0.06,2540,2486.71,1776.22,2149.23,62400
16,4700,0.035,0.033,0.017,16,25,0.16,0.068,0.05,3060,2995.8,2139.86,2589.23,75200
16,4700,0.035,0.033,0.026,18,20,0.16,0.068,0.06,2860,2800,2000,2420,75200
16,5600,0.031,0.03,0.017,16,31.5,0.16,0.062,0.044,3610,3534.27,2524.48,3054.62,89600
16,5600,0.031,0.03,0.019,18,25,0.16,0.062,0.045,3140,3074.13,2195.8,2656.92,89600
16,6800,0.028,0.027,0.015,16,35.5,0.16,0.055,0.038,4080,3994.41,2853.15,3452.31,108800
16,8200,0.026,0.025,0.015,18,31.5,0.16,0.052,0.038,4170,4082.52,2916.08,3528.46,131200
16,10000,0.024,0.023,0.014,18,35.5,0.16,0.048,0.032,4280,4190.21,2993.01,3621.54,160000
16,12000,0.023,0.022,0.012,18,40,0.16,0.044,0.03,4550,4454.55,3181.82,3850,192000
25,47,1.167,0.988,0.58,5,11,0.14,3.951,2.3,210,193.2,105,153.3,1175
25,100,0.548,0.464,0.58,5,11,0.14,1.857,2.3,210,193.2,105,153.3,2500
25,220,0.249,0.211,0.22,6.3,11,0.14,0.844,0.87,340,312.8,170,248.2,5500
25,330,0.192,0.17,0.12,8,11.5,0.14,0.563,0.48,730,685.88,401.1,561.54,8250
25,330,0.192,0.17,0.069,8,16,0.14,0.563,0.27,1050,986.54,576.92,807.69,8250
25,390,0.163,0.144,0.069,8,16,0.14,0.476,0.27,1050,986.54,576.92,807.69,9750
25,470,0.135,0.119,0.069,8,16,0.14,0.395,0.27,1050,986.54,576.92,807.69,11750
25,470,0.135,0.119,0.06,10,12.5,0.14,0.395,0.24,1210,1136.87,664.84,930.77,11750
25,560,0.113,0.1,0.042,8,20,0.14,0.332,0.17,1650,1550.27,906.59,1269.23,14000
25,680,0.093,0.082,0.046,10,16,0.14,0.273,0.18,1450,1362.36,796.7,1115.38,17000
25,680,0.093,0.082,0.037,10,20,0.14,0.273,0.15,1720,1616.04,945.05,1323.08,17000
