Voltage,Capacitance,ESR 20°C@120Hz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,Impedance -10°C@100kHz,Part Number,Ripple Current 105°C@100kHz
6.3,180,1.621,0.29,5,11,0.22,1.2,EKYB6R3E□□181ME11D,340
6.3,390,0.748,0.15,6.3,11,0.22,0.6,EKYB6R3E□□391MF11D,540
6.3,820,0.356,0.087,8,11.5,0.22,0.35,EKYB6R3E□□821MHB5D,840
6.3,1200,0.243,0.069,8,15,0.22,0.28,EKYB6R3E□□122MH15D,1050
6.3,1200,0.243,0.064,10,12.5,0.22,0.26,EKYB6R3E□□122MJC5S,1050
6.3,1500,0.195,0.06,8,20,0.22,0.24,EKYB6R3E□□152MH20D,1210
6.3,1800,0.162,0.049,10,16,0.22,0.2,EKYB6R3E□□182MJ16S,1400
6.3,2200,0.133,0.037,10,20,0.22,0.15,EKYB6R3E□□222MJ20S,1650
6.3,2700,0.108,0.031,10,25,0.22,0.13,EKYB6R3E□□272MJ25S,1910
6.3,3300,0.088,0.027,10,30,0.22,0.11,EKYB6R3E□□332MJ30S,2230
6.3,3900,0.075,0.027,12.5,20,0.22,0.11,EKYB6R3E□□392MK20S,2230
6.3,4700,0.062,0.024,12.5,25,0.22,0.096,EKYB6R3E□□472MK25S,2530
6.3,6800,0.043,0.021,12.5,30,0.22,0.084,EKYB6R3E□□682MK30S,2860
6.3,6800,0.043,0.025,16,20,0.22,0.1,EKYB6R3E□□682ML20S,2610
6.3,8200,0.036,0.018,12.5,35,0.22,0.072,EKYB6R3E□□822MK35S,3140
6.3,8200,0.036,0.021,18,20,0.22,0.084,EKYB6R3E□□822MM20S,3000
6.3,10000,0.029,0.017,12.5,40,0.22,0.068,EKYB6R3E□□103MK40S,3640
6.3,10000,0.029,0.02,16,25,0.22,0.08,EKYB6R3E□□103ML25S,3140
6.3,12000,0.024,0.016,16,31.5,0.22,0.064,EKYB6R3E□□123MLN3S,3610
6.3,12000,0.024,0.017,18,25,0.22,0.068,EKYB6R3E□□123MM25S,3530
6.3,15000,0.019,0.014,16,35.5,0.22,0.056,EKYB6R3E□□153MLP1S,4080
