Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Dissipation Factor,Leakage Current,Part Number,Ripple Current,Surge Voltage
160,33,602.86,10,16,15,311.2,ESU336M160AH8(1),500,200
160,47,423.285,10,20,15,400.8,ESU476M160AH4(1),580,200
160,68,292.564,13,20,15,535.2,ESU686M160AL3(1),720,200
160,100,198.944,13,25,15,740.0,ESU107M160AL4(1),970,200
160,150,132.629,16,25,15,1060.0,ESU157M160AM7(1),1120,200
160,220,90.429,16,32,15,1508.0,ESU227M160AM2(1),1300,200
160,330,60.286,18,36,15,2212.0,ESU337M160AN2(1),1380,200
160,560,35.526,18,50,15,3684.0,ESU567M160AN9(1),2086,200
200,22,904.29,10,16,15,276.0,ESU226M200AH8(1),500,250
200,33,602.86,10,20,15,364.0,ESU336M200AH4(1),520,250
200,47,423.285,13,20,15,476.0,ESU476M200AL3(1),660,250
200,68,292.564,13,25,15,644.0,ESU686M200AL4(1),720,250
200,100,198.944,16,25,15,900.0,ESU107M200AM7(1),1120,250
200,150,132.629,16,32,15,1300.0,ESU157M200AM2(1),1620,250
200,220,90.429,18,32,15,1860.0,ESU227M200AN1(1),2080,250
200,390,51.011,18,50,15,3220.0,ESU397M200AN9(1),3380,250
250,10,1989.438,10,16,15,200.0,ESU106M250AH8(1),320,300
250,22,904.29,10,20,15,320.0,ESU226M250AH4(1),500,300
250,33,602.86,13,20,15,430.0,ESU336M250AL3(1),800,300
250,47,423.285,13,20,15,570.0,ESU476M250AL3(1),980,300
250,100,198.944,16,25,15,1100.0,ESU107M250AM7(1),1530,300
250,150,132.629,18,25,15,1600.0,ESU157M250AN5(1),1940,300
250,220,90.429,18,36,15,2300.0,ESU227M250AN2(1),2753,300
250,330,60.286,18,50,15,3400.0,ESU337M250AN9(1),3912,300
350,6.8,3900.86,10,16,20,195.2,ESU685M350AH8(1),280,400
350,10,2652.585,10,20,20,240.0,ESU106M350AH4(1),350,400
350,22,1205.72,13,20,20,408.0,ESU226M350AL3(1),650,400
350,33,803.814,13,25,20,562.0,ESU336M350AL4(1),900,400
350,47,564.38,16,25,20,758.0,ESU476M350AM7(1),1000,400
350,68,390.086,16,32,20,1052.0,ESU686M350AM2(1),1100,400
400,6.8,3900.86,10,16,20,208.8,ESU685M400AH8(1),140,450
400,10,2652.585,10,20,20,260.0,ESU106M400AH4(1),180,450
400,22,1205.72,13,20,20,452.0,ESU226M400AL3(1),430,450
400,33,803.814,16,25,20,628.0,ESU336M400AM7(1),520,450
400,47,564.38,16,20,20,520.0,ESU476M400AM5(1),852,450
400,47,564.38,16,32,20,852.0,ESU476M400AM2(1),700,450
400,68,390.086,18,32,20,1188.0,ESU686M400AN1(1),870,450
400,100,265.258,18,50,20,1700.0,ESU107M400AN9(1),1290,450
450,10,2652.585,10,20,20,280.0,ESU106M450AH4(1),180,500
450,15,1768.39,13,20,20,370.0,ESU156M450AL3(1),380,500
450,22,1205.72,13,25,20,496.0,ESU226M450AL4(1),500,500
450,33,803.814,16,25,20,694.0,ESU336M450AM7(1),560,500
450,47,564.38,16,36,20,946.0,ESU476M450AM3(1),880,500
450,68,390.086,16,36,20,1324.0,ESU686M450AM3(1),1110,500
450,100,265.258,18,50,20,1900.0,ESU107M450AN9(1),1560,500
