Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Dissipation Factor,Ripple Current 85°C@120Hz
25,330,0.643,8,11.5,0.16,410.0
25,470,0.452,10,12.5,0.16,550.0
25,1000,0.212,10,20,0.16,970.0
25,2200,0.096,12.5,25,0.16,1570.0
25,3300,0.064,16,25,0.16,2000.0
25,4700,0.045,16,31.5,0.16,2440.0
25,6800,0.031,18,35.5,0.16,2900.0
35,33,5.627,5,11,0.14,110.0
35,47,3.951,5,11,0.14,135.0
35,100,1.857,6.3,11,0.14,215.0
35,220,0.844,8,11.5,0.14,370.0
35,330,0.563,10,12.5,0.14,500.0
35,470,0.395,10,16,0.14,680.0
35,1000,0.186,12.5,20,0.14,1180.0
35,2200,0.084,16,25,0.14,1810.0
35,3300,0.056,16,35.5,0.14,2300.0
35,4700,0.04,18,35.5,0.14,2740.0
