Voltage,Capacitance,ESR 20°C@120Hz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,Endurance,Impedance -10°C@100kHz,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current,Ripple Current_1,Status,Vibration resistant,Weight (g)
25,39,4.761,1100,5,11,-55,105,0.14,2000,2800.0,29,6000,UPJ1E390MDD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,175,100.0,EOL,Normal,0.44
25,47,3.951,840,6.3,11,-55,105,0.14,2000,2100.0,35,4000,UPJ1E470MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,210,125.0,EOL,Normal,0.59
25,56,3.316,720,6.3,11,-55,105,0.14,2000,1800.0,42,4000,UPJ1E560MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,235,140.0,EOL,Normal,0.59
25,68,2.731,570,6.3,11,-55,105,0.14,2000,1400.0,51,4000,UPJ1E680MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,260,160.0,EOL,Normal,0.59
25,82,2.264,470,6.3,11,-55,105,0.14,2000,1200.0,62,4000,UPJ1E820MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,285,180.0,EOL,Normal,0.59
25,100,1.857,390,6.3,15,-55,105,0.14,2000,980.0,75,4000,UPJ1E101MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,370,245.0,EOL,Normal,0.72
25,120,1.547,320,6.3,15,-55,105,0.14,2000,800.0,90,4000,UPJ1E121MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,405,275.0,EOL,Normal,0.72
25,150,1.238,260,8,11.5,-55,105,0.14,3000,650.0,113,3000,UPJ1E151MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,460,320.0,MP,Normal,1.19
25,180,1.032,220,8,15,-55,105,0.14,3000,550.0,135,2000,UPJ1E181MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,550,390.0,MP,Normal,1.36
25,180,1.032,240,10,12.5,-55,105,0.14,5000,600.0,135,2000,UPJ1E181MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,555,395.0,MP,Normal,1.49
25,220,0.844,180,8,15,-55,105,0.14,3000,450.0,165,2000,UPJ1E221MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,625,455.0,MP,Normal,1.36
25,220,0.844,210,10,12.5,-55,105,0.14,5000,530.0,165,2000,UPJ1E221MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,600,435.0,MP,Normal,1.49
25,270,0.688,150,8,20,-55,105,0.14,3000,380.0,203,2000,UPJ1E271MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,750,560.0,MP,Normal,1.66
25,270,0.688,180,10,16,-55,105,0.14,5000,450.0,203,1800,UPJ1E271MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,700,525.0,MP,Normal,1.77
25,330,0.563,130,8,20,-55,105,0.14,3000,330.0,248,2000,UPJ1E331MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,795,610.0,MP,Normal,1.66
25,330,0.563,150,10,16,-55,105,0.14,5000,380.0,248,1800,UPJ1E331MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,750,575.0,MP,Normal,1.77
25,390,0.476,110,10,20,-55,105,0.14,5000,280.0,293,1400,UPJ1E391MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,985,770.0,MP,Normal,2.34
25,390,0.476,130,12.5,15,-55,105,0.14,5000,330.0,293,1200,UPJ1E391MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,920,720.0,MP,Normal,2.96
25,470,0.395,100,10,20,-55,105,0.14,5000,250.0,353,1400,UPJ1E471MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1020,810.0,MP,Normal,2.34
25,470,0.395,110,12.5,15,-55,105,0.14,5000,280.0,353,1200,UPJ1E471MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,985,785.0,MP,Normal,2.96
25,560,0.332,84,10,25,-55,105,0.14,5000,210.0,420,1200,UPJ1E561MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1220,990.0,MP,Normal,3.07
25,560,0.332,100,12.5,15,-55,105,0.14,5000,250.0,420,1200,UPJ1E561MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1060,860.0,MP,Normal,2.96
25,680,0.273,72,10,30.5,-55,105,0.14,5000,180.0,510,1000,UPJ1E681MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1420,1180.0,MP,Normal,3.21
25,680,0.273,84,16,15,-55,105,0.14,5000,210.0,510,700,UPJ1E681MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1270,1050.0,MP,Normal,4.74
25,820,0.226,59,12.5,20,-55,105,0.14,5000,150.0,615,1000,UPJ1E821MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1430,1210.0,MP,Normal,3.43
25,820,0.226,79,16,15,-55,105,0.14,5000,200.0,615,700,UPJ1E821MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1340,1130.0,MP,Normal,4.74
25,1000,0.186,48,12.5,25,-55,105,0.14,5000,120.0,750,800,UPJ1E102MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1660,1430.0,MP,Normal,4.56
25,1000,0.186,66,18,15,-55,105,0.14,5000,170.0,750,400,UPJ1E102MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1520,1310.0,MP,Normal,6.31
25,1200,0.155,43,12.5,25,-55,105,0.14,5000,110.0,900,800,UPJ1E122MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1760,1550.0,MP,Normal,4.56
25,1200,0.155,61,18,15,-55,105,0.14,5000,150.0,900,400,UPJ1E122MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1600,1400.0,MP,Normal,6.31
25,1500,0.124,35,12.5,30.5,-55,105,0.14,5000,88.0,1125,600,UPJ1E152MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1980,1780.0,MP,Normal,6.01
25,1500,0.124,50,16,20,-55,105,0.14,5000,130.0,1125,600,UPJ1E152MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1770,1590.0,MP,Normal,6.6
25,1800,0.103,32,12.5,35.5,-55,105,0.14,5000,80.0,1350,500,UPJ1E182MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2180,1960.0,MP,Normal,7.06
25,1800,0.103,41,16,25,-55,105,0.14,5000,100.0,1350,400,UPJ1E182MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1980,1780.0,MP,Normal,8.2
25,2200,0.096,29,12.5,40,-55,105,0.16,5000,73.0,1650,400,UPJ1E222MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2360,2120.0,MP,Normal,7.57
25,2200,0.096,40,18,20,-55,105,0.16,5000,100.0,1650,400,UPJ1E222MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2050,1840.0,MP,Normal,9.0
25,2700,0.079,27,16,30.5,-55,105,0.16,5000,68.0,2025,300,UPJ1E272MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2470,2220.0,MP,Normal,9.6
25,2700,0.079,34,18,25,-55,105,0.16,5000,85.0,2025,300,UPJ1E272MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2290,2060.0,MP,Normal,10.6
25,3300,0.072,25,16,35.5,-55,105,0.18,5000,63.0,2475,300,UPJ1E332MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2680,2410.0,MP,Normal,11.8
25,3300,0.072,29,18,30.5,-55,105,0.18,5000,73.0,2475,300,UPJ1E332MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2490,2240.0,MP,Normal,13.1
25,3900,0.061,23,16,40,-55,105,0.18,5000,58.0,2925,300,UPJ1E392MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2820,2530.0,MP,Normal,14.1
25,3900,0.061,26,18,35.5,-55,105,0.18,5000,65.0,2925,250,UPJ1E392MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2690,2420.0,MP,Normal,14.2
25,4700,0.056,22,18,40,-55,105,0.2,5000,55.0,3525,200,UPJ1E472MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2960,2660.0,MP,Normal,17.7
35,22,7.234,1300,5,11,-55,105,0.12,2000,3300.0,23,6000,UPJ1V220MDD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,160,85.0,EOL,Normal,0.44
35,27,5.895,1000,5,11,-55,105,0.12,2000,2500.0,28,6000,UPJ1V270MDD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,180,99.0,EOL,Normal,0.44
35,33,4.823,780,6.3,11,-55,105,0.12,2000,2000.0,35,4000,UPJ1V330MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,225,125.0,EOL,Normal,0.59
35,39,4.081,660,6.3,11,-55,105,0.12,2000,1700.0,41,4000,UPJ1V390MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,245,140.0,EOL,Normal,0.59
35,47,3.386,540,6.3,11,-55,105,0.12,2000,1400.0,49,4000,UPJ1V470MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,270,160.0,EOL,Normal,0.59
35,56,2.842,450,6.3,11,-55,105,0.12,2000,1100.0,59,4000,UPJ1V560MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,295,180.0,EOL,Normal,0.59
35,68,2.341,370,6.3,15,-55,105,0.12,2000,930.0,71,4000,UPJ1V680MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,370,230.0,EOL,Normal,0.72
35,82,1.941,310,6.3,15,-55,105,0.12,2000,780.0,86,4000,UPJ1V820MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,415,265.0,EOL,Normal,0.72
35,100,1.592,260,8,11.5,-55,105,0.12,3000,650.0,105,3000,UPJ1V101MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,460,305.0,MP,Normal,1.19
35,120,1.326,220,8,15,-55,105,0.12,3000,550.0,126,2000,UPJ1V121MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,550,370.0,MP,Normal,1.36
35,120,1.326,240,10,12.5,-55,105,0.12,5000,600.0,126,2000,UPJ1V121MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,555,375.0,MP,Normal,1.49
35,150,1.061,180,8,15,-55,105,0.12,3000,450.0,158,2000,UPJ1V151MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,595,415.0,MP,Normal,1.36
35,150,1.061,200,10,12.5,-55,105,0.12,5000,500.0,158,2000,UPJ1V151MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,625,435.0,MP,Normal,1.49
35,180,0.884,160,8,20,-55,105,0.12,3000,400.0,189,2000,UPJ1V181MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,730,520.0,MP,Normal,1.66
35,180,0.884,180,10,16,-55,105,0.12,5000,450.0,189,1800,UPJ1V181MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,700,500.0,MP,Normal,1.77
35,220,0.723,130,8,20,-55,105,0.12,3000,330.0,231,2000,UPJ1V221MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,795,580.0,MP,Normal,1.66
35,220,0.723,140,10,16,-55,105,0.12,5000,350.0,231,1800,UPJ1V221MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,770,560.0,MP,Normal,1.77
35,270,0.589,110,10,20,-55,105,0.12,5000,280.0,284,1400,UPJ1V271MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,985,735.0,MP,Normal,2.34
35,270,0.589,130,12.5,15,-55,105,0.12,5000,330.0,284,1200,UPJ1V271MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,920,690.0,MP,Normal,2.96
35,330,0.482,96,10,20,-55,105,0.12,5000,240.0,347,1400,UPJ1V331MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1060,810.0,MP,Normal,2.34
35,330,0.482,100,12.5,15,-55,105,0.12,5000,250.0,347,1200,UPJ1V331MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1020,780.0,MP,Normal,2.96
35,390,0.408,84,10,25,-55,105,0.12,5000,210.0,410,1200,UPJ1V391MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1220,955.0,MP,Normal,3.07
35,390,0.408,96,12.5,15,-55,105,0.12,5000,240.0,410,1200,UPJ1V391MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1060,825.0,MP,Normal,2.96
35,470,0.339,72,10,30.5,-55,105,0.12,5000,180.0,494,1000,UPJ1V471MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1420,1130.0,MP,Normal,3.21
35,470,0.339,84,16,15,-55,105,0.12,5000,210.0,494,700,UPJ1V471MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1270,1010.0,MP,Normal,4.74
35,560,0.284,59,12.5,20,-55,105,0.12,5000,150.0,588,1000,UPJ1V561MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1430,1160.0,MP,Normal,3.43
35,560,0.284,75,16,15,-55,105,0.12,5000,190.0,588,700,UPJ1V561MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1360,1100.0,MP,Normal,4.74
35,680,0.234,48,12.5,25,-55,105,0.12,5000,120.0,714,800,UPJ1V681MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1660,1370.0,MP,Normal,4.56
35,680,0.234,66,18,15,-55,105,0.12,5000,170.0,714,400,UPJ1V681MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1540,1270.0,MP,Normal,6.31
35,820,0.194,42,12.5,25,-55,105,0.12,5000,110.0,861,800,UPJ1V821MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1760,1490.0,MP,Normal,4.56
35,820,0.194,60,18,15,-55,105,0.12,5000,150.0,861,400,UPJ1V821MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1620,1370.0,MP,Normal,6.31
35,1000,0.159,35,12.5,30.5,-55,105,0.12,5000,88.0,1050,600,UPJ1V102MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1980,1710.0,MP,Normal,6.01
35,1000,0.159,50,16,20,-55,105,0.12,5000,130.0,1050,600,UPJ1V102MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1770,1530.0,MP,Normal,6.6
35,1200,0.133,31,12.5,35.5,-55,105,0.12,5000,78.0,1260,500,UPJ1V122MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2180,1920.0,MP,Normal,7.06
35,1200,0.133,41,16,25,-55,105,0.12,5000,100.0,1260,400,UPJ1V122MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1980,1740.0,MP,Normal,8.2
35,1500,0.106,29,12.5,40,-55,105,0.12,5000,73.0,1575,400,UPJ1V152MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2360,2120.0,MP,Normal,7.57
35,1500,0.106,40,18,20,-55,105,0.12,5000,100.0,1575,400,UPJ1V152MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2050,1840.0,MP,Normal,9.0
35,1800,0.088,27,16,30.5,-55,105,0.12,5000,68.0,1890,300,UPJ1V182MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2470,2220.0,MP,Normal,9.6
35,1800,0.088,34,18,25,-55,105,0.12,5000,85.0,1890,300,UPJ1V182MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2290,2060.0,MP,Normal,10.6
35,2200,0.084,24,16,35.5,-55,105,0.14,5000,60.0,2310,300,UPJ1V222MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2680,2410.0,MP,Normal,11.8
35,2200,0.084,28,18,30.5,-55,105,0.14,5000,70.0,2310,300,UPJ1V222MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2490,2240.0,MP,Normal,13.1
35,2700,0.069,22,16,40,-55,105,0.14,5000,55.0,2835,300,UPJ1V272MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2900,2610.0,MP,Normal,14.1
35,2700,0.069,26,18,35.5,-55,105,0.14,5000,65.0,2835,250,UPJ1V272MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2690,2420.0,MP,Normal,14.2
35,3300,0.064,21,18,40,-55,105,0.16,5000,53.0,3465,200,UPJ1V332MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3040,2730.0,MP,Normal,17.7
50,2.2,60.286,6500,5,11,-55,105,0.1,2000,18000.0,4,6000,UPJ1H2R2MDD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,54,27.0,EOL,Normal,0.44
50,3.3,40.191,4600,5,11,-55,105,0.1,2000,12000.0,5,6000,UPJ1H3R3MDD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,66,33.0,EOL,Normal,0.44
50,4.7,28.219,3100,5,11,-55,105,0.1,2000,7800.0,7,6000,UPJ1H4R7MDD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,81,40.0,EOL,Normal,0.44
50,6.8,19.504,2500,5,11,-55,105,0.1,2000,6300.0,10,6000,UPJ1H6R8MDD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,91,45.0,EOL,Normal,0.44
50,10,13.263,2000,5,11,-55,105,0.1,2000,5000.0,15,6000,UPJ1H100MDD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,115,57.0,EOL,Normal,0.44
50,12,11.052,1700,5,11,-55,105,0.1,2000,4300.0,18,6000,UPJ1H120MDD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,125,62.0,EOL,Normal,0.44
50,15,8.842,1300,5,11,-55,105,0.1,2000,3300.0,23,6000,UPJ1H150MDD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,145,72.0,EOL,Normal,0.44
50,18,7.368,1100,5,11,-55,105,0.1,2000,2800.0,27,6000,UPJ1H180MDD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,155,79.0,EOL,Normal,0.44
50,22,6.029,910,6.3,11,-55,105,0.1,2000,2300.0,33,4000,UPJ1H220MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,195,100.0,EOL,Normal,0.59
50,27,4.912,740,6.3,11,-55,105,0.1,2000,1900.0,41,4000,UPJ1H270MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,215,115.0,EOL,Normal,0.59
50,33,4.019,600,6.3,11,-55,105,0.1,2000,1500.0,50,4000,UPJ1H330MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,240,135.0,EOL,Normal,0.59
50,39,3.401,500,6.3,11,-55,105,0.1,2000,1300.0,59,4000,UPJ1H390MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,260,150.0,EOL,Normal,0.59
50,47,2.822,420,6.3,15,-55,105,0.1,2000,1100.0,71,4000,UPJ1H470MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,330,195.0,EOL,Normal,0.72
50,56,2.368,350,6.3,15,-55,105,0.1,2000,880.0,84,4000,UPJ1H560MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,360,220.0,EOL,Normal,0.72
50,68,1.95,280,8,11.5,-55,105,0.1,3000,700.0,102,3000,UPJ1H680MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,410,255.0,MP,Normal,1.19
50,82,1.617,220,8,15,-55,105,0.1,3000,550.0,123,2000,UPJ1H820MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,500,320.0,MP,Normal,1.36
50,82,1.617,230,10,12.5,-55,105,0.1,5000,580.0,123,2000,UPJ1H820MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,510,330.0,MP,Normal,1.49
50,100,1.326,180,8,20,-55,105,0.1,3000,450.0,150,2000,UPJ1H101MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,620,410.0,MP,Normal,1.66
50,100,1.326,210,10,16,-55,105,0.1,5000,530.0,150,1800,UPJ1H101MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,580,385.0,MP,Normal,1.77
50,120,1.105,160,8,20,-55,105,0.1,3000,400.0,180,2000,UPJ1H121MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,670,455.0,MP,Normal,1.66
50,120,1.105,170,10,16,-55,105,0.1,5000,430.0,180,1800,UPJ1H121MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,640,435.0,MP,Normal,1.77
50,150,0.884,130,10,20,-55,105,0.1,5000,330.0,225,1400,UPJ1H151MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,820,570.0,MP,Normal,2.34
50,150,0.884,140,12.5,15,-55,105,0.1,5000,350.0,225,1200,UPJ1H151MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,785,545.0,MP,Normal,2.96
50,180,0.737,110,10,20,-55,105,0.1,5000,280.0,270,1400,UPJ1H181MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,890,635.0,MP,Normal,2.34
50,180,0.737,120,12.5,15,-55,105,0.1,5000,310.0,270,1200,UPJ1H181MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,845,605.0,MP,Normal,2.96
50,220,0.603,98,10,25,-55,105,0.1,5000,250.0,330,1200,UPJ1H221MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1040,760.0,MP,Normal,3.07
50,220,0.603,100,12.5,15,-55,105,0.1,5000,250.0,330,1200,UPJ1H221MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,920,670.0,MP,Normal,2.96
50,270,0.491,85,10,30.5,-55,105,0.1,5000,210.0,405,1000,UPJ1H271MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1200,900.0,MP,Normal,3.21
50,270,0.491,91,16,15,-55,105,0.1,5000,230.0,405,700,UPJ1H271MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1120,840.0,MP,Normal,4.74
50,330,0.402,72,10,30.5,-55,105,0.1,5000,180.0,495,1000,UPJ1H331MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1300,995.0,MP,Normal,3.21
50,330,0.402,78,16,15,-55,105,0.1,5000,200.0,495,700,UPJ1H331MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1210,925.0,MP,Normal,4.74
50,390,0.34,53,12.5,25,-55,105,0.1,5000,130.0,585,800,UPJ1H391MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1440,1120.0,MP,Normal,4.56
50,390,0.34,72,16,15,-55,105,0.1,5000,180.0,585,700,UPJ1H391MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1270,990.0,MP,Normal,4.74
50,470,0.282,48,12.5,25,-55,105,0.1,5000,120.0,705,800,UPJ1H471MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1500,1190.0,MP,Normal,4.56
50,470,0.282,60,18,15,-55,105,0.1,5000,150.0,705,400,UPJ1H471MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1470,1170.0,MP,Normal,6.31
50,560,0.237,40,12.5,30.5,-55,105,0.1,5000,100.0,840,600,UPJ1H561MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1680,1360.0,MP,Normal,6.01
50,560,0.237,53,16,20,-55,105,0.1,5000,130.0,840,600,UPJ1H561MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1550,1260.0,MP,Normal,6.6
50,680,0.195,36,12.5,35.5,-55,105,0.1,5000,90.0,1020,500,UPJ1H681MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1850,1530.0,MP,Normal,7.06
50,680,0.195,48,16,20,-55,105,0.1,5000,120.0,1020,600,UPJ1H681MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1630,1350.0,MP,Normal,6.6
50,820,0.162,33,12.5,40,-55,105,0.1,5000,83.0,1230,400,UPJ1H821MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2010,1700.0,MP,Normal,7.57
50,820,0.162,43,18,20,-55,105,0.1,5000,110.0,1230,400,UPJ1H821MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1810,1530.0,MP,Normal,9.0
50,1000,0.133,30,16,30.5,-55,105,0.1,5000,75.0,1500,300,UPJ1H102MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2120,1830.0,MP,Normal,9.6
50,1000,0.133,36,18,25,-55,105,0.1,5000,90.0,1500,300,UPJ1H102MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2000,1730.0,MP,Normal,10.6
50,1200,0.111,28,16,35.5,-55,105,0.1,5000,70.0,1800,300,UPJ1H122MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2260,1990.0,MP,Normal,11.8
50,1200,0.111,31,18,30.5,-55,105,0.1,5000,78.0,1800,300,UPJ1H122MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2140,1880.0,MP,Normal,13.1
50,1500,0.088,26,16,40,-55,105,0.1,5000,65.0,2250,300,UPJ1H152MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2410,2170.0,MP,Normal,14.1
50,1500,0.088,29,18,30.5,-55,105,0.1,5000,73.0,2250,300,UPJ1H152MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2220,1990.0,MP,Normal,13.1
50,1800,0.074,25,18,35.5,-55,105,0.1,5000,63.0,2700,250,UPJ1H182MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2460,2210.0,MP,Normal,14.2
50,2200,0.072,24,18,40,-55,105,0.12,5000,60.0,3300,200,UPJ1H222MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2560,2300.0,MP,Normal,17.7
63,10,10.61,1600,5,11,-55,105,0.08,2000,4000.0,19,6000,UPJ1J100MDD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,135,67.0,EOL,Normal,0.44
63,12,8.842,1400,5,11,-55,105,0.08,2000,3500.0,23,6000,UPJ1J120MDD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,145,72.0,EOL,Normal,0.44
63,15,7.074,1100,6.3,11,-55,105,0.08,2000,2800.0,28,4000,UPJ1J150MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,185,92.0,EOL,Normal,0.59
63,18,5.895,950,6.3,11,-55,105,0.08,2000,2400.0,34,4000,UPJ1J180MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,195,100.0,EOL,Normal,0.59
