Voltage,Capacitance,ESR 20°C@120Hz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,Impedance -10°C@100kHz,Part Number,Ripple Current 105°C@100kHz
10,82,3.073,0.75,5,11.5,0.19,1.5,ELXY100E□□820MEB5D,163
10,180,1.4,0.35,6.3,11.5,0.19,0.7,ELXY100E□□181MFB5D,273
10,220,1.145,0.25,6.3,15,0.19,0.5,ELXY100E□□221MF15D,390
10,330,0.764,0.17,8,12,0.19,0.34,ELXY100E□□331MH12D,445
10,390,0.646,0.12,10,12.5,0.19,0.24,ELXY100E□□391MJC5S,625
10,470,0.536,0.13,8,15,0.19,0.26,ELXY100E□□471MH15D,555
10,680,0.371,0.095,8,20,0.19,0.19,ELXY100E□□681MH20D,740
10,680,0.371,0.084,10,16,0.19,0.17,ELXY100E□□681MJ16S,825
10,1000,0.252,0.062,10,20,0.19,0.13,ELXY100E□□102MJ20S,1040
10,1200,0.21,0.052,10,25,0.19,0.11,ELXY100E□□122MJ25S,1260
10,1500,0.168,0.044,10,30,0.19,0.088,ELXY100E□□152MJ30S,1440
10,1800,0.14,0.046,12.5,20,0.19,0.092,ELXY100E□□182MK20S,1340
10,2200,0.115,0.034,12.5,25,0.19,0.068,ELXY100E□□222MK25S,1690
10,2700,0.093,0.03,12.5,30,0.19,0.06,ELXY100E□□272MK30S,1950
10,3300,0.076,0.024,12.5,35,0.19,0.048,ELXY100E□□332MK35S,2220
10,3300,0.076,0.038,16,20,0.19,0.076,ELXY100E□□332ML20S,1630
10,3900,0.065,0.022,12.5,40,0.19,0.044,ELXY100E□□392MK40S,2390
10,3900,0.065,0.028,16,25,0.19,0.056,ELXY100E□□392ML25S,2070
10,5600,0.045,0.025,16,30,0.19,0.05,ELXY100E□□562ML30S,2350
10,6800,0.037,0.022,16,35,0.19,0.044,ELXY100E□□682ML35S,2550
10,8200,0.031,0.018,16,40,0.19,0.036,ELXY100E□□822ML40S,2900
16,56,3.789,0.75,5,11.5,0.16,1.5,ELXY160E□□560MEB5D,163
16,120,1.768,0.35,6.3,11.5,0.16,0.7,ELXY160E□□121MFB5D,273
16,180,1.179,0.25,6.3,15,0.16,0.5,ELXY160E□□181MF15D,390
16,270,0.786,0.17,8,12,0.16,0.34,ELXY160E□□271MH12D,445
