Voltage,Capacitance,Dissipation Factor,Case Size Diameter,Case Size Length,ESR(est.) 20°C@120Hz,Part Number,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,VC
400,56,0.3,16,20,7.105,EKXQ401E□□560ML20S,900,855,450,675,22400
400,68,0.3,18,20,5.851,EKXQ401E□□680MM20S,1060,1007,530,795,27200
400,75,0.3,16,25,5.305,EKXQ401E□□750ML25S,1160,1102,580,870,30000
400,100,0.3,16,31.5,3.979,EKXQ401E□□101MLN3S,1241,1204.5,730,1022,40000
400,100,0.3,18,25,3.979,EKXQ401E□□101MM25S,1122,1089,660,924,40000
400,120,0.3,16,35.5,3.316,EKXQ401E□□121MLP1S,1411,1369.5,830,1162,48000
400,130,0.3,16,40,3.061,EKXQ401E□□131ML40S,1547,1501.5,910,1274,52000
400,130,0.3,18,31.5,3.061,EKXQ401E□□131MMN3S,1462,1419,860,1204,52000
400,160,0.3,18,35.5,2.487,EKXQ401E□□161MMP1S,1666,1617,980,1372,64000
400,180,0.3,18,40,2.21,EKXQ401E□□181MM40S,1734,1683,1020,1428,72000
400,180,0.3,18,45,2.21,EKXQ401E□□181MM45S,1836,1782,1080,1512,72000
420,51,0.3,16,20,7.802,EKXQ421E□□510ML20S,800,760,400,600,21420
420,68,0.3,16,25,5.851,EKXQ421E□□680ML25S,1020,969,510,765,28560
420,68,0.3,18,20,5.851,EKXQ421E□□680MM20S,1020,969,510,765,28560
420,91,0.3,16,31.5,4.372,EKXQ421E□□910MLN3S,1300,1235,650,975,38220
420,91,0.3,18,25,4.372,EKXQ421E□□910MM25S,1280,1216,640,960,38220
420,110,0.3,16,35.5,3.617,EKXQ421E□□111MLP1S,1275,1237.5,750,1050,46200
420,120,0.3,18,31.5,3.316,EKXQ421E□□121MMN3S,1360,1320,800,1120,50400
420,130,0.3,16,40,3.061,EKXQ421E□□131ML40S,1462,1419,860,1204,54600
420,150,0.3,18,35.5,2.653,EKXQ421E□□151MMP1S,1564,1518,920,1288,63000
420,160,0.3,18,40,2.487,EKXQ421E□□161MM40S,1666,1617,980,1372,67200
420,180,0.3,18,45,2.21,EKXQ421E□□181MM45S,1700,1650,1000,1400,75600
450,47,0.3,16,20,8.466,EKXQ451E□□470ML20S,800,760,400,600,21150
450,62,0.3,16,25,6.418,EKXQ451E□□620ML25S,1020,969,510,765,27900
450,62,0.3,18,20,6.418,EKXQ451E□□620MM20S,1020,969,510,765,27900
450,82,0.3,16,31.5,4.852,EKXQ451E□□820MLN3S,1300,1235,650,975,36900
450,82,0.3,18,25,4.852,EKXQ451E□□820MM25S,1280,1216,640,960,36900
450,100,0.3,16,35.5,3.979,EKXQ451E□□101MLP1S,1275,1237.5,750,1050,45000
450,110,0.3,18,31.5,3.617,EKXQ451E□□111MMN3S,1360,1320,800,1120,49500
450,120,0.3,16,40,3.316,EKXQ451E□□121ML40S,1462,1419,860,1204,54000
450,130,0.3,18,35.5,3.061,EKXQ451E□□131MMP1S,1564,1518,920,1288,58500
450,160,0.3,18,40,2.487,EKXQ451E□□161MM40S,1666,1617,980,1372,72000
450,180,0.3,18,45,2.21,EKXQ451E□□181MM45S,1700,1650,1000,1400,81000
