Voltage,Capacitance,Case Size Diameter,Case Size Length,Ripple Current 85°C@120Hz
50,1,5,11,20
50,2.2,5,11,30
50,3.3,5,11,37
50,4.7,5,11,44
50,10,5,11,64
50,22,5,11,95
50,33,6.3,11,142
50,47,6.3,11,169
50,100,8,11.5,276
50,220,10,12.5,455
50,330,10,16,516
50,470,10,16,696
50,1000,13,20,1326
50,2200,16,25,2064
50,3300,16,31.5,2753
50,4700,16,31.5,3298
50,6800,18,35.5,3509
50,10000,18,35.5,3897
50,15000,18,35.5,3685
63,1,5,11,22
63,2.2,5,11,33
63,3.3,5,11,40
63,4.7,5,11,48
63,10,5,11,70
63,22,6.3,11,104
63,33,8,11.5,194
63,47,10,12.5,257
63,100,10,12,302
63,220,10,16,563
63,330,10,20,630
63,470,10,20,829
63,1000,13,25,1545
63,2200,16,35.5,2549
63,3300,18,35.5,3116
100,1,5,11,24
100,2.2,5,11,37
100,3.3,5,11,45
100,4.7,5,11,54
100,10,6.3,11,78
100,22,10,16,129
100,33,10,20,243
100,47,13,20,344
100,100,10,20,468
100,220,13,25,887
100,330,13,25,761
100,470,13,20,1075
100,1000,16,25,1891
100,2200,18,40,2606
160,1,6.3,11,25
160,2.2,6.3,11,37
160,3.3,6.3,11,45
160,4.7,6.3,11,54
160,10,10,12.5,107
160,22,10,20,180
160,33,10,20,243
160,47,13,20,344
160,100,13,25,542
160,220,16,31.5,970
160,330,18,35.5,1087
160,470,16,25,1449
200,1,6.3,11,25
200,2.2,6.3,11,37
200,3.3,8,11.5,45
200,4.7,8,11.5,66
200,10,10,12.5,107
200,22,10,20,199
200,33,13,20,288
200,47,13,25,371
200,100,16,25,605
200,220,18,35.5,1107
200,330,18,35.5,1356
250,1,6.3,11,25
250,2.2,6.3,11,37
250,3.3,8,11.5,54
250,4.7,10,12.5,66
250,10,10,20,121
250,22,13,20,212
250,33,16,25,295
250,47,16,25,394
250,100,16,31.5,654
250,220,18,40,1119
350,1,6.3,11,20
350,2.2,8,11.5,36
350,3.3,8,11.5,54
350,4.7,10,16,66
350,10,10,20,121
350,22,13,25,229
350,33,16,25,313
350,47,16,31.5,404
350,100,16,35.5,664
400,1,6.3,11,24
400,2.2,8,11.5,44
400,3.3,10,12.5,61
400,4.7,10,16,75
400,10,13,20,121
400,22,16,25,229
400,33,16,31.5,303
400,47,16,35.5,386
450,1,8,11.5,27
450,2.2,10,12.5,44
450,3.3,10,16,54
450,4.7,10,20,74
450,10,13,20,128
6.3,100,5,11,144
6.3,220,5,11,198
6.3,330,6.3,11,268
6.3,470,6.3,11,320
6.3,1000,8,11.5,571
6.3,2200,10,20,1029
6.3,3300,10,20,1305
6.3,4700,13,20,1624
6.3,6800,13,25,2055
6.3,10000,16,25,2654
6.3,15000,16,31.5,3169
6.3,22000,18,40,3958
10,100,5,11,157
10,220,6.3,11,237
10,330,6.3,11,290
10,470,8,11.5,423
10,1000,10,12.5,686
10,2200,10,20,1135
10,3300,13,20,1585
10,4700,13,25,2006
10,6800,16,25,2527
10,10000,16,31.5,2889
10,15000,18,35.5,3685
16,10,5,11,55
16,22,5,11,74
16,33,5,11,90
16,47,5,11,108
16,100,6.3,11,195
16,220,6.3,11,259
16,330,8,11.5,388
16,470,8,11.5,463
16,1000,10,16,849
16,2200,13,20,1460
16,3300,13,25,1806
16,4700,16,25,2367
16,6800,16,31.5,2963
16,10000,18,35.5,3897
25,10,5,11,59
25,22,5,11,82
25,33,5,11,101
25,47,5,11,121
25,100,6.3,11,209
25,220,8,11.5,354
25,330,8,11.5,434
25,470,10,12.5,576
25,1000,10,20,975
25,2200,13,25,1742
25,3300,16,25,2261
25,4700,16,31.5,2779
25,6800,18,35.5,3509
35,10,5,11,59
35,22,5,11,88
35,33,5,11,108
35,47,6.3,11,143
35,100,8,11.5,276
35,220,8,11.5,379
35,330,10,12.5,516
35,470,10,16,696
35,1000,13,20,1326
35,2200,16,25,2064
35,3300,16,31.5,2753
35,4700,18,35.5,3298
