Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Dissipation Factor,Impedance -10°C,Impedance 20°C,Part Number,Ripple Current
6.3,150,1.945,5,11.5,0.22,1.0,0.5,ELXZ6R3E□□151MEB5D,175
6.3,330,0.884,6.3,11.5,0.22,0.5,0.25,ELXZ6R3E□□331MFB5D,290
6.3,470,0.621,6.3,15,0.22,0.36,0.18,ELXZ6R3E□□471MF15D,400
6.3,680,0.429,8,12,0.22,0.24,0.12,ELXZ6R3E□□681MH12D,555
6.3,820,0.356,10,12.5,0.22,0.18,0.09,ELXZ6R3E□□821MJC5S,760
6.3,1000,0.292,8,15,0.22,0.18,0.09,ELXZ6R3E□□102MH15D,730
6.3,1200,0.243,8,20,0.22,0.16,0.08,ELXZ6R3E□□122MH20D,810
6.3,1200,0.243,10,16,0.22,0.136,0.068,ELXZ6R3E□□122MJ16S,1050
6.3,1500,0.195,10,20,0.22,0.104,0.052,ELXZ6R3E□□152MJ20S,1220
6.3,2200,0.133,10,25,0.22,0.09,0.045,ELXZ6R3E□□222MJ25S,1440
6.3,2700,0.108,10,30,0.22,0.074,0.037,ELXZ6R3E□□272MJ30S,1690
6.3,3300,0.088,12.5,20,0.22,0.076,0.038,ELXZ6R3E□□332MK20S,1660
6.3,3900,0.075,12.5,25,0.22,0.06,0.03,ELXZ6R3E□□392MK25S,1950
6.3,4700,0.062,12.5,30,0.22,0.05,0.025,ELXZ6R3E□□472MK30S,2310
6.3,5600,0.052,12.5,35,0.22,0.044,0.022,ELXZ6R3E□□562MK35S,2510
6.3,5600,0.052,16,20,0.22,0.058,0.029,ELXZ6R3E□□562ML20S,2210
6.3,6800,0.043,12.5,40,0.22,0.034,0.017,ELXZ6R3E□□682MK40S,2870
6.3,6800,0.043,16,25,0.22,0.044,0.022,ELXZ6R3E□□682ML25S,2560
6.3,6800,0.043,18,20,0.22,0.056,0.028,ELXZ6R3E□□682MM20S,2490
6.3,8200,0.036,16,30,0.22,0.038,0.019,ELXZ6R3E□□822ML30S,3010
6.3,10000,0.029,16,35,0.22,0.034,0.017,ELXZ6R3E□□103ML35S,3150
6.3,10000,0.029,18,25,0.22,0.04,0.02,ELXZ6R3E□□103MM25S,2740
6.3,12000,0.024,16,40,0.22,0.03,0.015,ELXZ6R3E□□123ML40S,3710
6.3,12000,0.024,18,30,0.22,0.036,0.018,ELXZ6R3E□□123MM30S,3330
6.3,15000,0.019,18,35,0.22,0.032,0.016,ELXZ6R3E□□153MM35S,3680
6.3,18000,0.016,18,40,0.22,0.03,0.015,ELXZ6R3E□□183MM40S,3800
10,100,2.52,5,11.5,0.19,1.0,0.5,ELXZ100E□□101MEB5D,175
10,220,1.145,6.3,11.5,0.19,0.5,0.25,ELXZ100E□□221MFB5D,290
10,330,0.764,6.3,15,0.19,0.36,0.18,ELXZ100E□□331MF15D,400
10,470,0.536,8,12,0.19,0.24,0.12,ELXZ100E□□471MH12D,555
10,680,0.371,8,15,0.19,0.18,0.09,ELXZ100E□□681MH15D,730
10,680,0.371,10,12.5,0.19,0.18,0.09,ELXZ100E□□681MJC5S,760
10,1000,0.252,8,20,0.19,0.16,0.08,ELXZ100E□□102MH20D,810
10,1000,0.252,10,16,0.19,0.136,0.068,ELXZ100E□□102MJ16S,1050
