Voltage,Capacitance,ESR(est.) 20°C@100kHz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Frequency Coefficient 100kHz,Frequency Coefficient 10kHz,Frequency Coefficient 120Hz,Frequency Coefficient 1kHz,Impedance -10°C@100kHz,Part Number,Ripple Current 105°C@100kHz,VC
80,680,0.063,0.024,12.5,40,0.09,0.176,1.67,1.58,1.0,1.45,0.096,EKYB800E□□681MK40S,2450,54400.0
80,680,0.063,0.028,16,25,0.09,0.176,1.67,1.58,1.0,1.45,0.12,EKYB800E□□681ML25S,2250,54400.0
80,820,0.052,0.022,16,31.5,0.09,0.146,1.67,1.58,1.0,1.45,0.088,EKYB800E□□821MLN3S,2400,65600.0
80,820,0.052,0.027,18,25,0.09,0.146,1.67,1.58,1.0,1.45,0.11,EKYB800E□□821MM25S,2270,65600.0
80,1000,0.052,0.02,16,35.5,0.09,0.146,1.67,1.58,1.0,1.45,0.08,EKYB800E□□102MLP1S,2600,80000.0
80,1200,0.044,0.018,16,40,0.09,0.122,1.67,1.58,1.0,1.45,0.072,EKYB800E□□122ML40S,2900,96000.0
80,1200,0.044,0.02,18,31.5,0.09,0.122,1.67,1.58,1.0,1.45,0.08,EKYB800E□□122MMN3S,2550,96000.0
80,1500,0.035,0.018,18,35.5,0.09,0.097,1.67,1.58,1.0,1.45,0.072,EKYB800E□□152MMP1S,3050,120000.0
100,6.8,2.497,0.8,5,11,0.08,15.603,2.5,2.25,1.0,1.88,3.2,EKYB101E□□6R8ME11D,163,680.0
100,15,1.132,0.43,6.3,11,0.08,7.074,2.5,2.25,1.0,1.88,1.8,EKYB101E□□150MF11D,267,1500.0
100,27,0.629,0.18,8,11.5,0.08,3.93,2.5,2.25,1.0,1.88,0.72,EKYB101E□□270MHB5D,462,2700.0
100,39,0.435,0.14,8,15,0.08,2.721,2.5,2.25,1.0,1.88,0.56,EKYB101E□□390MH15D,585,3900.0
100,56,0.303,0.11,8,20,0.08,1.895,2.5,2.25,1.0,1.88,0.44,EKYB101E□□560MH20D,735,5600.0
100,56,0.303,0.14,10,12.5,0.08,1.895,2.5,2.25,1.0,1.88,0.56,EKYB101E□□560MJC5S,624,5600.0
100,82,0.207,0.1,10,16,0.08,1.294,2.5,2.25,1.0,1.88,0.4,EKYB101E□□820MJ16S,780,8200.0
100,100,0.17,0.075,10,20,0.08,1.061,2.5,2.25,1.0,1.88,0.3,EKYB101E□□101MJ20S,1040,10000.0
100,120,0.141,0.06,10,25,0.08,0.884,2.5,2.25,1.0,1.88,0.24,EKYB101E□□121MJ25S,1170,12000.0
100,150,0.113,0.053,10,30,0.08,0.707,2.5,2.25,1.0,1.88,0.22,EKYB101E□□151MJ30S,1350,15000.0
100,180,0.094,0.048,12.5,20,0.08,0.589,2.5,2.25,1.0,1.88,0.2,EKYB101E□□181MK20S,1430,18000.0
100,220,0.121,0.039,12.5,25,0.08,0.482,2.0,1.88,1.0,1.7,0.16,EKYB101E□□221MK25S,1620,22000.0
100,270,0.098,0.033,12.5,30,0.08,0.393,2.0,1.88,1.0,1.7,0.14,EKYB101E□□271MK30S,1950,27000.0
100,270,0.098,0.036,16,20,0.08,0.393,2.0,1.88,1.0,1.7,0.15,EKYB101E□□271ML20S,1750,27000.0
100,330,0.08,0.028,16,25,0.08,0.322,2.0,1.88,1.0,1.7,0.12,EKYB101E□□331ML25S,2250,33000.0
100,390,0.068,0.026,12.5,35,0.08,0.272,2.0,1.88,1.0,1.7,0.11,EKYB101E□□391MK35S,2250,39000.0
100,390,0.068,0.032,18,20,0.08,0.272,2.0,1.88,1.0,1.7,0.13,EKYB101E□□391MM20S,2100,39000.0
100,470,0.056,0.024,12.5,40,0.08,0.226,2.0,1.88,1.0,1.7,0.096,EKYB101E□□471MK40S,2450,47000.0
100,470,0.056,0.022,16,31.5,0.08,0.226,2.0,1.88,1.0,1.7,0.088,EKYB101E□□471MLN3S,2400,47000.0
100,560,0.047,0.02,16,35.5,0.08,0.189,2.0,1.88,1.0,1.7,0.08,EKYB101E□□561MLP1S,2600,56000.0
100,560,0.047,0.027,18,25,0.08,0.189,2.0,1.88,1.0,1.7,0.11,EKYB101E□□561MM25S,2270,56000.0
100,680,0.056,0.018,16,40,0.08,0.156,1.67,1.58,1.0,1.45,0.072,EKYB101E□□681ML40S,2900,68000.0
100,680,0.056,0.02,18,31.5,0.08,0.156,1.67,1.58,1.0,1.45,0.08,EKYB101E□□681MMN3S,2550,68000.0
100,820,0.046,0.018,18,35.5,0.08,0.129,1.67,1.58,1.0,1.45,0.072,EKYB101E□□821MMP1S,3050,82000.0
100,1000,0.048,0.017,18,40,0.08,0.133,1.67,1.58,1.0,1.45,0.068,EKYB101E□□102MM40S,3510,100000.0
