Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Part Number,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,VC
450,47,1.843,1.742,12.5,40,0.2,5.644,EPAG451E□□470MK40S,702,682.5,390,585,21150
450,47,1.843,1.742,14.5,30,0.2,5.644,EPAG451E□□470MU30S,702,682.5,390,585,21150
450,56,1.547,1.462,14.5,35,0.2,4.737,EPAG451E□□560MU35S,792,770,440,660,25200
450,56,1.547,1.462,16,30,0.2,4.737,EPAG451E□□560ML30S,792,770,440,660,25200
450,68,1.274,1.204,14.5,40,0.2,3.901,EPAG451E□□680MU40S,900,875,500,750,30600
450,68,1.274,1.204,16,35,0.2,3.901,EPAG451E□□680ML35S,900,875,500,750,30600
450,82,1.056,0.998,16,40,0.2,3.235,EPAG451E□□820ML40S,990,962.5,550,825,36900
450,82,1.056,0.998,18,30,0.2,3.235,EPAG451E□□820MM30S,990,962.5,550,825,36900
450,100,1.353,1.179,18,35,0.2,2.653,EPAG451E□□101MM35S,975,910,650,845,45000
450,120,1.128,0.982,18,40,0.2,2.21,EPAG451E□□121MM40S,1110,1036,740,962,54000
450,150,0.902,0.786,18,45,0.2,1.768,EPAG451E□□151MM45S,1215,1134,810,1053,67500
