Voltage,Capacitance,ESR(est.) 20°C@100kHz,Case Size Length,CV (µF x V),Dissipation Factor,ESR(est.) 20°C@120Hz,Frequency Coefficient 100kHz,Frequency Coefficient 10kHz,Frequency Coefficient 120Hz,Frequency Coefficient 1kHz,Frequency Coefficient 50Hz,Frequency Coefficient 60Hz,Part Number,Ripple Current 85°C@120Hz,VC
200,22,4.71,10,all,0.2,12.057,1.6,1.5,1,1.3,0.8,0.8,RE3-200V220M,170.0,4400.0
200,33,3.14,12.5,all,0.2,8.038,1.6,1.5,1,1.3,0.8,0.8,RE3-200V330M,223.0,6600.0
200,47,2.205,12.5,all,0.2,5.644,1.6,1.5,1,1.3,0.8,0.8,RE3-200V470M,265.0,9400.0
200,100,1.036,16,all,0.2,2.653,1.6,1.5,1,1.3,0.8,0.8,RE3-200V101M,483.0,20000.0
200,220,0.471,18,all,0.2,1.206,1.6,1.5,1,1.3,0.8,0.8,RE3-200V221M,882.0,44000.0
250,0.47,220.461,6.3,all,0.2,564.38,1.6,1.5,1,1.3,0.8,0.8,RE3-250VR47M,15.0,117.5
250,1,103.617,6.3,all,0.2,265.258,1.6,1.5,1,1.3,0.8,0.8,RE3-250V010M,22.0,250.0
250,2.2,47.098,6.3,all,0.2,120.572,1.6,1.5,1,1.3,0.8,0.8,RE3-250V2R2M,32.0,550.0
250,3.3,31.399,8,all,0.2,80.381,1.6,1.5,1,1.3,0.8,0.8,RE3-250V3R3M,48.0,825.0
250,4.7,22.046,8,all,0.2,56.438,1.6,1.5,1,1.3,0.8,0.8,RE3-250V4R7M,56.0,1175.0
250,10,10.362,10,all,0.2,26.526,1.6,1.5,1,1.3,0.8,0.8,RE3-250V100M,101.0,2500.0
250,22,4.71,12.5,all,0.2,12.057,1.6,1.5,1,1.3,0.8,0.8,RE3-250V220M,182.0,5500.0
250,33,3.14,12.5,all,0.2,8.038,1.6,1.5,1,1.3,0.8,0.8,RE3-250V330M,243.0,8250.0
250,47,2.205,12.5,all,0.2,5.644,1.6,1.5,1,1.3,0.8,0.8,RE3-250V470M,295.0,11750.0
250,100,1.036,16,all,0.2,2.653,1.6,1.5,1,1.3,0.8,0.8,RE3-250V101M,528.0,25000.0
315,0.47,264.553,6.3,all,0.24,677.256,1.6,1.5,1,1.3,0.8,0.8,RE3-315VR47M,15.0,148.04999999999998
315,1,124.34,6.3,all,0.24,318.31,1.6,1.5,1,1.3,0.8,0.8,RE3-315V010M,22.0,315.0
315,2.2,56.518,8,all,0.24,144.686,1.6,1.5,1,1.3,0.8,0.8,RE3-315V2R2M,38.0,693.0
315,3.3,37.679,10,all,0.24,96.458,1.6,1.5,1,1.3,0.8,0.8,RE3-315V3R3M,53.0,1039.5
315,4.7,26.455,10,all,0.24,67.726,1.6,1.5,1,1.3,0.8,0.8,RE3-315V4R7M,65.0,1480.5
315,10,12.434,10,all,0.24,31.831,1.6,1.5,1,1.3,0.8,0.8,RE3-315V100M,115.0,3150.0
315,22,5.652,12.5,all,0.24,14.469,1.6,1.5,1,1.3,0.8,0.8,RE3-315V220M,182.0,6930.0
315,33,3.768,16,all,0.24,9.646,1.6,1.5,1,1.3,0.8,0.8,RE3-315V330M,277.0,10395.0
315,47,2.646,16,all,0.24,6.773,1.6,1.5,1,1.3,0.8,0.8,RE3-315V470M,330.0,14805.0
315,100,1.243,18,all,0.24,3.183,1.6,1.5,1,1.3,0.8,0.8,RE3-315V101M,567.0,31500.0
350,0.47,264.553,6.3,all,0.24,677.256,1.6,1.5,1,1.3,0.8,0.8,RE3-350VR47M,15.0,164.5
350,1,124.34,6.3,all,0.24,318.31,1.6,1.5,1,1.3,0.8,0.8,RE3-350V010M,22.0,350.0
350,2.2,56.518,8,all,0.24,144.686,1.6,1.5,1,1.3,0.8,0.8,RE3-350V2R2M,38.0,770.0000000000001
350,3.3,37.679,10,all,0.24,96.458,1.6,1.5,1,1.3,0.8,0.8,RE3-350V3R3M,53.0,1155.0
350,4.7,26.455,10,all,0.24,67.726,1.6,1.5,1,1.3,0.8,0.8,RE3-350V4R7M,65.0,1645.0
350,10,12.434,10,all,0.24,31.831,1.6,1.5,1,1.3,0.8,0.8,RE3-350V100M,115.0,3500.0
350,22,5.652,12.5,all,0.24,14.469,1.6,1.5,1,1.3,0.8,0.8,RE3-350V220M,197.0,7700.0
350,33,3.768,16,all,0.24,9.646,1.6,1.5,1,1.3,0.8,0.8,RE3-350V330M,277.0,11550.0
350,47,2.646,16,all,0.24,6.773,1.6,1.5,1,1.3,0.8,0.8,RE3-350V470M,330.0,16450.0
350,100,1.243,18,all,0.24,3.183,1.6,1.5,1,1.3,0.8,0.8,RE3-350V101M,507.0,35000.0
400,0.47,264.553,6.3,all,0.24,677.256,1.6,1.5,1,1.3,0.8,0.8,RE3-400VR47M,15.0,188.0
400,1,124.34,6.3,all,0.24,318.31,1.6,1.5,1,1.3,0.8,0.8,RE3-400V010M,22.0,400.0
400,2.2,56.518,8,all,0.24,144.686,1.6,1.5,1,1.3,0.8,0.8,RE3-400V2R2M,38.0,880.0000000000001
400,3.3,37.679,10,all,0.24,96.458,1.6,1.5,1,1.3,0.8,0.8,RE3-400V3R3M,54.0,1320.0
400,4.7,26.455,10,all,0.24,67.726,1.6,1.5,1,1.3,0.8,0.8,RE3-400V4R7M,71.0,1880.0
400,10,12.434,12.5,all,0.24,31.831,1.6,1.5,1,1.3,0.8,0.8,RE3-400V100M,123.0,4000.0
400,22,5.652,12.5,all,0.24,14.469,1.6,1.5,1,1.3,0.8,0.8,RE3-400V220M,197.0,8800.0
400,33,3.768,16,all,0.24,9.646,1.6,1.5,1,1.3,0.8,0.8,RE3-400V330M,277.0,13200.0
400,47,2.646,16,all,0.24,6.773,1.6,1.5,1,1.3,0.8,0.8,RE3-400V470M,361.0,18800.0
450,0.47,264.553,8,all,0.24,677.256,1.6,1.5,1,1.3,0.8,0.8,RE3-450VR47M,18.0,211.5
450,1,124.34,8,all,0.24,318.31,1.6,1.5,1,1.3,0.8,0.8,RE3-450V010M,25.0,450.0
450,2.2,56.518,10,all,0.24,144.686,1.6,1.5,1,1.3,0.8,0.8,RE3-450V2R2M,43.0,990.0000000000001
450,3.3,37.679,10,all,0.24,96.458,1.6,1.5,1,1.3,0.8,0.8,RE3-450V3R3M,59.0,1485.0
450,4.7,26.455,10,all,0.24,67.726,1.6,1.5,1,1.3,0.8,0.8,RE3-450V4R7M,76.0,2115.0
450,10,12.434,12.5,all,0.24,31.831,1.6,1.5,1,1.3,0.8,0.8,RE3-450V100M,123.0,4500.0
450,22,5.652,16,all,0.24,14.469,1.6,1.5,1,1.3,0.8,0.8,RE3-450V220M,226.0,9900.0
450,33,3.768,16,all,0.24,9.646,1.6,1.5,1,1.3,0.8,0.8,RE3-450V330M,304.0,14850.0
450,47,2.646,16,all,0.24,6.773,1.6,1.5,1,1.3,0.8,0.8,RE3-450V470M,380.0,21150.0
