Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Dissipation Factor,Endurance,Lead Diameter,Lead Space,Lead Space Taping,Lead Space Taping_1,Part Number,Ripple Current,Straight leads,Taping
10,330,0.965,6.3,11.2,0.24,1000,0.5,2.5,5.0,2.5,EEUHD1A331( ),200,200,2000
10,470,0.677,8,11.5,0.24,1000,0.6,3.5,5.0,,EEUHD1A471( ),250,200,1000
10,1000,0.318,10,12.5,0.24,2000,0.6,5.0,5.0,,EEUHD1A102( ),460,200,500
10,2200,0.157,10,16,0.26,2000,0.6,5.0,5.0,,EEUHD1A222( ),760,200,500
10,4700,0.085,12.5,20,0.3,2000,0.6,5.0,5.0,,EEUHD1A472( ),1260,200,500
10,6800,0.066,12.5,25,0.34,2000,0.6,5.0,5.0,,EEUHD1A682( ),1570,200,500
10,10000,0.056,16,25,0.42,2000,0.8,7.5,7.5,,EEUHD1A103( ),1890,100,250
10,15000,0.046,16,31.5,0.52,2000,0.8,7.5,,,EEUHD1A153,2180,100,
10,22000,0.04,18,35.5,0.66,2000,0.8,7.5,,,EEUHD1A223,2400,50,
10,330,0.965,6.3,11.2,0.24,1000,0.5,2.5,5.0,2.5,EEUHD1A331( ),200,200,2000
10,470,0.677,8,11.5,0.24,1000,0.6,3.5,5.0,,EEUHD1A471( ),250,200,1000
10,1000,0.318,10,12.5,0.24,2000,0.6,5.0,5.0,,EEUHD1A102( ),460,200,500
10,2200,0.157,10,16,0.26,2000,0.6,5.0,5.0,,EEUHD1A222( ),760,200,500
10,4700,0.085,12.5,20,0.3,2000,0.6,5.0,5.0,,EEUHD1A472( ),1260,200,500
10,6800,0.066,12.5,25,0.34,2000,0.6,5.0,5.0,,EEUHD1A682( ),1570,200,500
10,10000,0.056,16,25,0.42,2000,0.8,7.5,7.5,,EEUHD1A103( ),1890,100,250
10,15000,0.046,16,31.5,0.52,2000,0.8,7.5,,,EEUHD1A153,2180,100,
10,22000,0.04,18,35.5,0.66,2000,0.8,7.5,,,EEUHD1A223,2400,50,
16,100,2.653,5,11,0.2,1000,0.5,2.0,5.0,2.5,EEUHD1C101( ),110,200,2000
16,220,1.206,6.3,11.2,0.2,1000,0.5,2.5,5.0,2.5,EEUHD1C221( ),180,200,2000
16,330,0.804,8,11.5,0.2,1000,0.6,3.5,5.0,,EEUHD1C331( ),260,200,1000
16,470,0.564,8,11.5,0.2,1000,0.6,3.5,5.0,,EEUHD1C471( ),310,200,1000
16,3300,0.096,12.5,20,0.24,2000,0.6,5.0,5.0,,EEUHD1C332( ),1170,200,500
16,4700,0.073,12.5,25,0.26,2000,0.6,5.0,5.0,,EEUHD1C472( ),1480,200,500
16,6800,0.059,16,25,0.3,2000,0.8,7.5,7.5,,EEUHD1C682( ),1780,100,250
16,8200,0.055,16,25,0.34,2000,0.8,7.5,7.5,,EEUHD1C822( ),1780,100,250
16,10000,0.05,16,31.5,0.38,2000,0.8,7.5,,,EEUHD1C103,2060,100,
16,15000,0.042,18,35.5,0.48,2000,0.8,7.5,,,EEUHD1C153,2210,50,
25,47,4.515,5,11,0.16,1000,0.5,2.0,5.0,2.5,EEUHD1E470( ),91,200,2000
25,68,3.121,5,11,0.16,1000,0.5,2.0,5.0,2.5,EEUHD1E680( ),91,200,2000
25,100,2.122,6.3,11.2,0.16,1000,0.5,2.5,5.0,2.5,EEUHD1E101( ),130,200,2000
25,220,0.965,8,11.5,0.16,1000,0.6,3.5,5.0,,EEUHD1E221( ),230,200,1000
25,330,0.643,8,11.5,0.16,1000,0.6,3.5,5.0,,EEUHD1E331( ),310,200,1000
25,470,0.452,10,12.5,0.16,2000,0.6,5.0,5.0,,EEUHD1E471( ),380,200,500
25,1000,0.212,10,16,0.16,2000,0.6,5.0,5.0,,EEUHD1E102( ),680,200,500
25,2200,0.109,12.5,20,0.18,2000,0.6,5.0,5.0,,EEUHD1E222( ),1090,200,500
25,3300,0.08,12.5,25,0.2,2000,0.6,5.0,5.0,,EEUHD1E332( ),1400,200,500
25,4700,0.062,16,25,0.22,2000,0.8,7.5,7.5,,EEUHD1E472( ),1750,100,250
25,5600,0.057,16,25,0.24,2000,0.8,7.5,7.5,,EEUHD1E562( ),1750,100,250
25,6800,0.051,16,31.5,0.26,2000,0.8,7.5,,,EEUHD1E682,2040,100,
25,10000,0.045,18,35.5,0.34,2000,0.8,7.5,,,EEUHD1E103,2200,50,
35,47,3.951,5,11,0.14,1000,0.5,2.0,5.0,2.5,EEUHD1V470( ),90,200,2000
35,100,1.857,6.3,11.2,0.14,1000,0.5,2.5,5.0,2.5,EEUHD1V101( ),150,200,2000
35,220,0.844,8,11.5,0.14,1000,0.6,3.5,5.0,,EEUHD1V221( ),270,200,1000
35,330,0.563,10,12.5,0.14,2000,0.6,5.0,5.0,,EEUHD1V331( ),350,200,500
35,470,0.395,10,16,0.14,2000,0.6,5.0,5.0,,EEUHD1V471( ),460,200,500
35,680,0.273,10,16,0.14,2000,0.6,5.0,5.0,,EEUHD1V681( ),460,200,500
35,2200,0.096,12.5,25,0.16,2000,0.6,5.0,5.0,,EEUHD1V222( ),1260,200,500
35,3300,0.072,16,25,0.18,2000,0.8,7.5,7.5,,EEUHD1V332( ),1610,100,250
35,4700,0.056,16,31.5,0.2,2000,0.8,7.5,,,EEUHD1V472,1910,100,
35,6800,0.047,18,35.5,0.24,2000,0.8,7.5,,,EEUHD1V682,2050,50,
50,2.2,72.343,5,11,0.12,1000,0.5,2.0,5.0,2.5,EEUHD1H2R2( ),18,200,2000
50,3.3,48.229,5,11,0.12,1000,0.5,2.0,5.0,2.5,EEUHD1H3R3( ),22,200,2000
50,4.7,33.863,5,11,0.12,1000,0.5,2.0,5.0,2.5,EEUHD1H4R7( ),26,200,2000
50,10,15.916,5,11,0.12,1000,0.5,2.0,5.0,2.5,EEUHD1H100( ),39,200,2000
50,22,7.234,5,11,0.12,1000,0.5,2.0,5.0,2.5,EEUHD1H220( ),65,200,2000
50,33,4.823,5,11,0.12,1000,0.5,2.0,5.0,2.5,EEUHD1H330( ),90,200,2000
50,47,3.386,6.3,11.2,0.12,1000,0.5,2.5,5.0,2.5,EEUHD1H470( ),110,200,2000
50,68,2.341,6.3,11.2,0.12,1000,0.5,2.5,5.0,2.5,EEUHD1H680( ),110,200,2000
50,100,1.592,8,11.5,0.12,1000,0.6,3.5,5.0,,EEUHD1H101( ),180,200,1000
50,220,0.723,10,12.5,0.12,2000,0.6,5.0,5.0,,EEUHD1H221( ),300,200,500
50,330,0.482,10,16,0.12,2000,0.6,5.0,5.0,,EEUHD1H331( ),410,200,500
50,470,0.339,10,20,0.12,2000,0.6,5.0,5.0,,EEUHD1H471( ),530,200,500
50,560,0.284,16,15,0.12,2000,0.8,7.5,7.5,,EEUHD1H561S( ),650,100,250
50,680,0.234,16,15,0.12,2000,0.8,7.5,7.5,,EEUHD1H681S( ),650,100,250
50,1000,0.159,12.5,25,0.12,2000,0.6,5.0,5.0,,EEUHD1H102( ),950,200,500
50,2200,0.084,16,31.5,0.14,2000,0.8,7.5,,,EEUHD1H222,1470,100,
50,3300,0.064,18,35.5,0.16,2000,0.8,7.5,,,EEUHD1H332,1770,50,
