Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Impedance -10°C@100kHz,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,VC
6.3,270,0.319,0.27,0.21,5,11,0.22,1.081,0.77,400,368,200,292,1701
6.3,680,0.147,0.13,0.092,6.3,11,0.22,0.429,0.34,620,582.53,340.66,476.92,4284
6.3,1200,0.104,0.095,0.049,8,11.5,0.22,0.265,0.15,1060,1015.57,634.73,844.19,7560
6.3,1500,0.083,0.076,0.038,8,16,0.22,0.212,0.12,1390,1331.74,832.34,1107.01,9450
6.3,1800,0.069,0.063,0.035,10,12.5,0.22,0.177,0.11,1470,1408.38,880.24,1170.72,11340
6.3,2200,0.08,0.077,0.027,8,20,0.22,0.157,0.081,1660,1625.17,1160.84,1404.62,13860
6.3,2700,0.065,0.062,0.025,10,16,0.22,0.128,0.075,1930,1889.51,1349.65,1633.08,17010
6.3,3900,0.049,0.047,0.018,10,20,0.22,0.095,0.054,2130,2085.31,1489.51,1802.31,24570
6.3,4700,0.043,0.041,0.015,10,25,0.22,0.085,0.045,2500,2447.55,1748.25,2115.38,29610
6.3,5600,0.039,0.037,0.016,12.5,20,0.22,0.076,0.041,2690,2633.57,1881.12,2276.15,35280
6.3,8200,0.031,0.03,0.013,12.5,25,0.22,0.061,0.033,3140,3074.13,2195.8,2656.92,51660
6.3,8200,0.031,0.03,0.012,12.5,30,0.22,0.061,0.03,3680,3602.8,2573.43,3113.85,51660
6.3,10000,0.028,0.027,0.014,16,20,0.22,0.056,0.035,3500,3426.57,2447.55,2961.54,63000
6.3,10000,0.028,0.027,0.01,12.5,35,0.22,0.056,0.025,3800,3720.28,2657.34,3215.38,63000
6.3,12000,0.026,0.025,0.011,16,25,0.22,0.051,0.028,3880,3798.6,2713.29,3283.08,75600
10,220,0.338,0.286,0.21,5,11,0.19,1.145,0.77,400,368,200,292,2200
10,470,0.183,0.162,0.092,6.3,11,0.19,0.536,0.34,620,582.53,340.66,476.92,4700
10,820,0.12,0.11,0.049,8,11.5,0.19,0.307,0.15,1060,1015.57,634.73,844.19,8200
10,1200,0.091,0.083,0.038,8,16,0.19,0.232,0.12,1390,1331.74,832.34,1107.01,12000
10,1200,0.091,0.083,0.035,10,12.5,0.19,0.232,0.11,1470,1408.38,880.24,1170.72,12000
10,1800,0.06,0.055,0.027,8,20,0.19,0.155,0.081,1660,1590.42,994.01,1322.04,18000
10,1800,0.06,0.055,0.025,10,16,0.19,0.155,0.075,1930,1849.1,1155.69,1537.07,18000
10,2700,0.058,0.055,0.018,10,20,0.19,0.113,0.054,2130,2085.31,1489.51,1802.31,27000
10,3300,0.051,0.049,0.015,10,25,0.19,0.1,0.045,2500,2447.55,1748.25,2115.38,33000
