Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current,Status,Vibration resistant,Weight (g)
10,330,0.804,10,16,-55,150,0.2,1000,99,1800,UBX1A331MPL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,300,EOL,Normal,1.77
10,470,0.564,10,20,-55,150,0.2,1000,141,1400,UBX1A471MPL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,400,EOL,Normal,2.34
10,1000,0.265,12.5,25,-55,150,0.2,1000,300,800,UBX1A102MHL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,600,LTB,Normal,4.56
10,2200,0.133,16,30.5,-55,150,0.22,2000,660,300,UBX1A222MHL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,1000,LTB,Normal,9.6
10,3300,0.096,18,35.5,-55,150,0.24,2000,990,250,UBX1A332MHL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,1200,LTB,Normal,14.2
10,4700,0.073,18,40,-55,150,0.26,2000,1410,200,UBX1A472MHL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,1300,LTB,Normal,17.7
16,220,0.965,10,16,-55,150,0.16,1000,106,1800,UBX1C221MPL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,300,EOL,Normal,1.77
16,330,0.643,10,20,-55,150,0.16,1000,158,1400,UBX1C331MPL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,400,EOL,Normal,2.34
16,470,0.452,12.5,20,-55,150,0.16,1000,226,1000,UBX1C471MHL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,600,MP,Normal,3.43
16,1000,0.212,16,25,-55,150,0.16,2000,480,400,UBX1C102MHL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,800,MP,Normal,8.2
16,2200,0.109,18,35.5,-55,150,0.18,2000,1056,250,UBX1C222MHL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,1200,MP,Normal,14.2
16,3300,0.08,18,40,-55,150,0.2,2000,1584,200,UBX1C332MHL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,1300,MP,Normal,17.7
25,100,1.857,10,12.5,-55,150,0.14,1000,75,2000,UBX1E101MPL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,250,EOL,Normal,1.49
25,220,0.844,12.5,20,-55,150,0.14,1000,165,1000,UBX1E221MHL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,500,MP,Normal,3.43
25,330,0.563,12.5,25,-55,150,0.14,1000,248,800,UBX1E331MHL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,600,MP,Normal,4.56
25,470,0.395,16,25,-55,150,0.14,2000,353,400,UBX1E471MHL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,800,MP,Normal,8.2
25,1000,0.186,16,30.5,-55,150,0.14,2000,750,300,UBX1E102MHL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,1000,MP,Normal,9.6
35,2.2,72.343,10,12.5,-55,150,0.12,1000,4,2000,UBX1V2R2MPL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,50,EOL,Normal,1.49
35,3.3,48.229,10,12.5,-55,150,0.12,1000,4,2000,UBX1V3R3MPL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,60,EOL,Normal,1.49
35,4.7,33.863,10,12.5,-55,150,0.12,1000,5,2000,UBX1V4R7MPL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,85,EOL,Normal,1.49
35,10,15.916,10,12.5,-55,150,0.12,1000,11,2000,UBX1V100MPL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,175,EOL,Normal,1.49
35,22,7.234,10,12.5,-55,150,0.12,1000,23,2000,UBX1V220MPL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,200,EOL,Normal,1.49
35,33,4.823,10,12.5,-55,150,0.12,1000,35,2000,UBX1V330MPL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,225,EOL,Normal,1.49
35,47,3.386,10,12.5,-55,150,0.12,1000,49,2000,UBX1V470MPL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,250,EOL,Normal,1.49
35,100,1.592,10,20,-55,150,0.12,1000,105,1400,UBX1V101MPL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,400,EOL,Normal,2.34
35,220,0.723,12.5,25,-55,150,0.12,1000,231,800,UBX1V221MHL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,600,MP,Normal,4.56
35,330,0.482,16,25,-55,150,0.12,2000,347,400,UBX1V331MHL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,800,MP,Normal,8.2
35,470,0.339,16,30.5,-55,150,0.12,2000,494,300,UBX1V471MHL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,1000,MP,Normal,9.6
35,1000,0.159,18,40,-55,150,0.12,2000,1050,200,UBX1V102MHL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,1300,MP,Normal,17.7
50,100,1.326,10,12.5,-55,150,0.1,1000,150,2000,UBX1H101MPL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,380,EOL,Normal,1.49
50,220,0.603,10,20,-55,150,0.1,1000,330,1400,UBX1H221MPL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,640,EOL,Normal,2.34
50,330,0.402,12.5,20,-55,150,0.1,1000,495,1000,UBX1H331MHL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,770,MP,Normal,3.43
50,470,0.282,12.5,25,-55,150,0.1,1000,705,800,UBX1H471MHL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,960,MP,Normal,4.56
50,560,0.237,12.5,30.5,-55,150,0.1,1000,840,600,UBX1H561MHL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,1080,MP,Normal,6.01
50,680,0.195,16,25,-55,150,0.1,2000,1020,400,UBX1H681MHL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,1190,MP,Normal,8.2
50,1000,0.133,16,30.5,-55,150,0.1,2000,1500,300,UBX1H102MHL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,1420,MP,Normal,9.6
63,56,2.368,10,12.5,-55,150,0.1,1000,106,2000,UBX1J560MPL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,430,EOL,Normal,1.49
63,68,1.95,10,16,-55,150,0.1,1000,129,1800,UBX1J680MPL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,560,EOL,Normal,1.77
63,100,1.326,10,20,-55,150,0.1,1000,189,1400,UBX1J101MPL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,710,EOL,Normal,2.34
63,220,0.603,12.5,25,-55,150,0.1,1000,416,800,UBX1J221MHL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,1040,MP,Normal,4.56
63,330,0.402,12.5,30.5,-55,150,0.1,1000,624,600,UBX1J331MHL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,1170,MP,Normal,6.01
63,470,0.282,16,25,-55,150,0.1,2000,888,400,UBX1J471MHL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,1280,MP,Normal,8.2
63,560,0.237,16,30.5,-55,150,0.1,2000,1058,300,UBX1J561MHL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,1520,MP,Normal,9.6
63,680,0.195,16,35.5,-55,150,0.1,2000,1285,300,UBX1J681MHL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,1520,MP,Normal,11.8
80,33,3.215,10,12.5,-55,150,0.08,1000,79,2000,UBX1K330MPL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,420,EOL,Normal,1.49
80,47,2.258,10,16,-55,150,0.08,1000,113,1800,UBX1K470MPL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,550,EOL,Normal,1.77
80,56,1.895,10,20,-55,150,0.08,1000,134,1400,UBX1K560MPL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,690,EOL,Normal,2.34
80,68,1.56,10,20,-55,150,0.08,1000,163,1400,UBX1K680MPL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,690,EOL,Normal,2.34
80,100,1.061,12.5,20,-55,150,0.08,1000,240,1000,UBX1K101MHL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,820,MP,Normal,3.43
80,220,0.482,16,25,-55,150,0.08,2000,528,400,UBX1K221MHL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,1250,MP,Normal,8.2
80,330,0.322,16,30.5,-55,150,0.08,2000,792,300,UBX1K331MHL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,1480,MP,Normal,9.6
80,470,0.226,18,30.5,-55,150,0.08,2000,1128,300,UBX1K471MHL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,1530,MP,Normal,13.1
100,22,4.823,10,12.5,-55,150,0.08,1000,66,2000,UBX2A220MPL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,390,EOL,Normal,1.49
100,33,3.215,10,16,-55,150,0.08,1000,99,1800,UBX2A330MPL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,510,EOL,Normal,1.77
100,47,2.258,10,20,-55,150,0.08,1000,141,1400,UBX2A470MPL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,640,EOL,Normal,2.34
