Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Status,Vibration resistant,Weight (g)
6.3,33,9.646,5,11,-40,85,0.24,1000,6,6000,UES0J330MDM,Bi-Polar,Radial Lead,Bi-Polar For Audio,EOL,Normal,0.44
6.3,47,6.773,6.3,11,-40,85,0.24,1000,9,4000,UES0J470MEM,Bi-Polar,Radial Lead,Bi-Polar For Audio,EOL,Normal,0.59
6.3,100,3.183,8,11.5,-40,85,0.24,1000,19,3000,UES0J101MPM,Bi-Polar,Radial Lead,Bi-Polar For Audio,LTB,Normal,1.19
6.3,220,1.447,10,12.5,-40,85,0.24,1000,42,2000,UES0J221MPM,Bi-Polar,Radial Lead,Bi-Polar For Audio,LTB,Normal,1.49
6.3,330,0.965,10,16,-40,85,0.24,1000,62,1800,UES0J331MPM,Bi-Polar,Radial Lead,Bi-Polar For Audio,LTB,Normal,1.77
6.3,470,0.677,10,20,-40,85,0.24,1000,89,1400,UES0J471MPM,Bi-Polar,Radial Lead,Bi-Polar For Audio,LTB,Normal,2.34
6.3,1000,0.318,12.5,25,-40,85,0.24,1000,189,800,UES0J102MHM,Bi-Polar,Radial Lead,Bi-Polar For Audio,LTB,Normal,4.56
10,22,12.057,5,11,-40,85,0.2,1000,7,6000,UES1A220MDM,Bi-Polar,Radial Lead,Bi-Polar For Audio,EOL,Normal,0.44
10,33,8.038,6.3,11,-40,85,0.2,1000,10,4000,UES1A330MEM,Bi-Polar,Radial Lead,Bi-Polar For Audio,EOL,Normal,0.59
10,47,5.644,6.3,11,-40,85,0.2,1000,14,4000,UES1A470MEM,Bi-Polar,Radial Lead,Bi-Polar For Audio,EOL,Normal,0.59
10,100,2.653,10,12.5,-40,85,0.2,1000,30,2000,UES1A101MPM,Bi-Polar,Radial Lead,Bi-Polar For Audio,LTB,Normal,1.49
10,220,1.206,10,16,-40,85,0.2,1000,66,1800,UES1A221MPM,Bi-Polar,Radial Lead,Bi-Polar For Audio,LTB,Normal,1.77
10,330,0.804,10,20,-40,85,0.2,1000,99,1400,UES1A331MPM,Bi-Polar,Radial Lead,Bi-Polar For Audio,LTB,Normal,2.34
10,470,0.564,12.5,20,-40,85,0.2,1000,141,1000,UES1A471MHM,Bi-Polar,Radial Lead,Bi-Polar For Audio,LTB,Normal,3.43
10,1000,0.265,16,25,-40,85,0.2,1000,300,400,UES1A102MHM,Bi-Polar,Radial Lead,Bi-Polar For Audio,LTB,Normal,8.2
16,10,21.221,5,11,-40,85,0.16,1000,5,6000,UES1C100MDM,Bi-Polar,Radial Lead,Bi-Polar For Audio,EOL,Normal,0.44
16,22,9.646,6.3,11,-40,85,0.16,1000,11,4000,UES1C220MEM,Bi-Polar,Radial Lead,Bi-Polar For Audio,EOL,Normal,0.59
16,33,6.431,6.3,11,-40,85,0.16,1000,16,4000,UES1C330MEM,Bi-Polar,Radial Lead,Bi-Polar For Audio,EOL,Normal,0.59
16,47,4.515,8,11.5,-40,85,0.16,1000,23,3000,UES1C470MPM,Bi-Polar,Radial Lead,Bi-Polar For Audio,MP,Normal,1.19
16,100,2.122,10,12.5,-40,85,0.16,1000,48,2000,UES1C101MPM,Bi-Polar,Radial Lead,Bi-Polar For Audio,MP,Normal,1.49
16,220,0.965,10,20,-40,85,0.16,1000,106,1400,UES1C221MPM,Bi-Polar,Radial Lead,Bi-Polar For Audio,MP,Normal,2.34
