Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@100kHz,Status,Vibration resistant,Weight (g)
160,10,19.894,10,16,-25,105,0.15,10000,164,1800,UCA2C100MPD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,250,EOL,Normal,1.77
160,22,9.043,10,20,-25,105,0.15,10000,241,1400,UCA2C220MPD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,500,EOL,Normal,2.34
160,33,6.029,10,20,-25,105,0.15,10000,311,1400,UCA2C330MPD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,565,EOL,Normal,2.34
160,47,4.233,12.5,20,-25,105,0.15,12000,401,1000,UCA2C470MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,725,EOL,Normal,3.43
160,68,2.926,12.5,25,-25,105,0.15,12000,535,800,UCA2C680MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,950,EOL,Normal,4.56
160,68,2.926,16,20,-25,105,0.15,12000,535,600,UCA2C680MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,970,EOL,Normal,6.6
160,100,1.989,16,25,-25,105,0.15,12000,740,400,UCA2C101MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1280,EOL,Normal,8.2
160,100,1.989,18,20,-25,105,0.15,12000,740,400,UCA2C101MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1180,EOL,Normal,9.0
160,150,1.326,16,30.5,-25,105,0.15,12000,1060,300,UCA2C151MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1360,EOL,Normal,9.6
160,150,1.326,18,25,-25,105,0.15,12000,1060,300,UCA2C151MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1360,EOL,Normal,10.6
160,220,0.904,16,30.5,-25,105,0.15,12000,1508,300,UCA2C221MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1400,EOL,Normal,9.6
160,220,0.904,18,25,-25,105,0.15,12000,1508,300,UCA2C221MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1400,EOL,Normal,10.6
200,10,19.894,10,16,-25,105,0.15,10000,180,1800,UCA2D100MPD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,250,EOL,Normal,1.77
200,22,9.043,10,20,-25,105,0.15,10000,276,1400,UCA2D220MPD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,500,EOL,Normal,2.34
200,33,6.029,12.5,20,-25,105,0.15,12000,364,1000,UCA2D330MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,600,EOL,Normal,3.43
200,47,4.233,12.5,20,-25,105,0.15,12000,476,1000,UCA2D470MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,780,EOL,Normal,3.43
200,68,2.926,12.5,25,-25,105,0.15,12000,644,800,UCA2D680MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,950,EOL,Normal,4.56
200,68,2.926,16,20,-25,105,0.15,12000,644,600,UCA2D680MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,970,EOL,Normal,6.6
200,100,1.989,16,25,-25,105,0.15,12000,900,400,UCA2D101MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1280,EOL,Normal,8.2
200,100,1.989,18,20,-25,105,0.15,12000,900,400,UCA2D101MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1180,EOL,Normal,9.0
200,150,1.326,16,30.5,-25,105,0.15,12000,1300,300,UCA2D151MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1360,EOL,Normal,9.6
200,150,1.326,18,25,-25,105,0.15,12000,1300,300,UCA2D151MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1360,EOL,Normal,10.6
200,220,0.904,18,30.5,-25,105,0.15,12000,1860,300,UCA2D221MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1700,EOL,Normal,13.1
250,10,19.894,10,20,-25,105,0.15,10000,200,1400,UCA2E100MPD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,300,EOL,Normal,2.34
250,22,9.043,12.5,20,-25,105,0.15,12000,320,1000,UCA2E220MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,600,EOL,Normal,3.43
250,33,6.029,12.5,20,-25,105,0.15,12000,430,1000,UCA2E330MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,630,EOL,Normal,3.43
250,47,4.233,12.5,25,-25,105,0.15,12000,570,800,UCA2E470MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,720,EOL,Normal,4.56
250,47,4.233,16,20,-25,105,0.15,12000,570,600,UCA2E470MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,750,EOL,Normal,6.6
250,68,2.926,16,25,-25,105,0.15,12000,780,400,UCA2E680MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1000,EOL,Normal,8.2
250,68,2.926,18,20,-25,105,0.15,12000,780,400,UCA2E680MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,920,EOL,Normal,9.0
250,100,1.989,16,30.5,-25,105,0.15,12000,1100,300,UCA2E101MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1400,EOL,Normal,9.6
250,100,1.989,18,25,-25,105,0.15,12000,1100,300,UCA2E101MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1345,EOL,Normal,10.6
