Voltage,Capacitance,ESR 20°C@120Hz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,Endurance,Impedance -10°C@100kHz,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current,Status,Vibration resistant,Weight (g)
10,220,1.145,130,6.3,11,-40,105,0.19,2000,410,22,4000,UHD1A221MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,405,EOL,Normal,0.59
10,470,0.536,72,8,11.5,-40,105,0.19,3000,220,47,3000,UHD1A471MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,760,MP,Normal,1.19
10,680,0.371,56,8,15,-40,105,0.19,3000,170,68,2000,UHD1A681MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,995,MP,Normal,1.36
10,680,0.371,53,10,12.5,-40,105,0.19,4000,160,68,2000,UHD1A681MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1030,MP,Normal,1.49
10,1000,0.252,41,8,20,-40,105,0.19,3000,130,100,2000,UHD1A102MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1250,MP,Normal,1.66
10,1000,0.252,38,10,16,-40,105,0.19,4000,120,100,1800,UHD1A102MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1430,MP,Normal,1.77
10,1200,0.21,23,10,20,-40,105,0.19,4000,69,120,1400,UHD1A122MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1820,MP,Normal,2.34
10,1500,0.168,22,10,25,-40,105,0.19,4000,66,150,1200,UHD1A152MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2150,MP,Normal,3.07
10,2200,0.127,21,12.5,20,-40,105,0.21,5000,53,220,1000,UHD1A222MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2360,MP,Normal,3.43
10,3300,0.092,18,12.5,25,-40,105,0.23,5000,45,330,800,UHD1A332MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2770,MP,Normal,4.56
10,3900,0.078,16,12.5,30.5,-40,105,0.23,5000,41,390,600,UHD1A392MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3290,MP,Normal,6.01
10,3900,0.078,18,16,20,-40,105,0.23,5000,45,390,600,UHD1A392MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3140,MP,Normal,6.6
