Voltage,Capacitance,Dissipation Factor,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,ESR(est.) 20°C@120Hz,Impedance -10°C@100kHz,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,VC
16,1000,0.16,0.061,10,16,0.239,0.122,1180,1130.54,706.59,939.76,16000
16,1500,0.16,0.045,10,20,0.159,0.09,1490,1427.54,892.22,1186.65,24000
16,1800,0.16,0.037,10,25,0.133,0.074,1710,1638.32,1023.95,1361.86,28800
16,2200,0.16,0.038,12.5,20,0.121,0.076,1780,1742.66,1244.76,1506.15,35200
16,3300,0.16,0.03,12.5,25,0.088,0.06,2170,2124.48,1517.48,1836.15,52800
16,3900,0.16,0.025,12.5,30,0.075,0.05,2540,2486.71,1776.22,2149.23,62400
16,3900,0.16,0.028,16,20,0.075,0.056,2210,2163.64,1545.45,1870,62400
16,5600,0.16,0.022,16,25,0.062,0.044,2620,2565.03,1832.17,2216.92,89600
16,5600,0.16,0.028,18,20,0.062,0.056,2490,2437.76,1741.26,2106.92,89600
16,6800,0.16,0.019,16,30,0.055,0.038,3060,2995.8,2139.86,2589.23,108800
16,8200,0.16,0.02,18,25,0.052,0.04,2790,2731.47,1951.05,2360.77,131200
16,10000,0.16,0.018,18,30,0.048,0.036,3240,3172.03,2265.73,2741.54,160000
25,680,0.14,0.061,10,16,0.273,0.122,1180,1108.68,648.35,907.69,17000
25,1000,0.14,0.045,10,20,0.212,0.09,1490,1427.54,892.22,1186.65,25000
25,1200,0.14,0.037,10,25,0.177,0.074,1710,1638.32,1023.95,1361.86,30000
25,1500,0.14,0.038,12.5,20,0.141,0.076,1780,1705.39,1065.87,1417.6,37500
25,2200,0.14,0.03,12.5,25,0.109,0.06,2170,2124.48,1517.48,1836.15,55000
25,2700,0.14,0.025,12.5,30,0.088,0.05,2540,2486.71,1776.22,2149.23,67500
25,2700,0.14,0.028,16,20,0.088,0.056,2210,2163.64,1545.45,1870,67500
25,3300,0.14,0.028,18,20,0.08,0.056,2490,2437.76,1741.26,2106.92,82500
25,3900,0.14,0.022,16,25,0.068,0.044,2620,2565.03,1832.17,2216.92,97500
25,4700,0.14,0.019,16,30,0.062,0.038,3060,2995.8,2139.86,2589.23,117500
25,4700,0.14,0.02,18,25,0.062,0.04,2790,2731.47,1951.05,2360.77,117500
25,5600,0.14,0.018,18,30,0.057,0.036,3240,3172.03,2265.73,2741.54,140000
35,470,0.12,0.061,10,16,0.339,0.122,1180,1108.68,648.35,907.69,16450
35,680,0.12,0.045,10,20,0.234,0.09,1490,1399.95,818.68,1146.15,23800
35,820,0.12,0.037,10,25,0.194,0.074,1710,1638.32,1023.95,1361.86,28700
35,1000,0.12,0.038,12.5,20,0.186,0.076,1780,1705.39,1065.87,1417.6,35000
35,1200,0.12,0.03,12.5,25,0.155,0.06,2170,2079.04,1299.4,1728.2,42000
35,1800,0.12,0.025,12.5,30,0.103,0.05,2540,2433.53,1520.96,2022.87,63000
35,1800,0.12,0.028,16,20,0.103,0.056,2210,2117.37,1323.35,1760.06,63000
35,2200,0.12,0.022,16,25,0.096,0.044,2620,2565.03,1832.17,2216.92,77000
35,2200,0.12,0.028,18,20,0.096,0.056,2490,2437.76,1741.26,2106.92,77000
35,3300,0.12,0.019,16,30,0.072,0.038,3060,2995.8,2139.86,2589.23,115500
35,3300,0.12,0.02,18,25,0.072,0.04,2790,2731.47,1951.05,2360.77,115500
35,3900,0.12,0.018,18,30,0.061,0.036,3240,3172.03,2265.73,2741.54,136500
50,180,0.1,0.1,10,16,0.737,0.2,850,782,425,620.5,9000
50,270,0.1,0.075,10,20,0.491,0.15,1050,966,525,766.5,13500
50,330,0.1,0.057,10,25,0.402,0.114,1250,1174.45,686.81,961.54,16500
50,390,0.1,0.059,12.5,20,0.34,0.118,1480,1390.55,813.19,1138.46,19500
50,560,0.1,0.044,12.5,25,0.237,0.088,1840,1728.79,1010.99,1415.38,28000
50,680,0.1,0.036,12.5,30,0.195,0.072,2220,2085.82,1219.78,1707.69,34000
50,820,0.1,0.044,16,20,0.162,0.088,1840,1762.87,1101.8,1465.39,41000
50,1200,0.1,0.032,16,25,0.133,0.064,2240,2146.11,1341.32,1783.95,60000
50,1200,0.1,0.041,18,20,0.133,0.082,2150,2059.88,1287.43,1712.28,60000
50,1500,0.1,0.026,16,30,0.106,0.052,2700,2586.83,1616.77,2150.3,75000
50,1500,0.1,0.029,18,25,0.106,0.058,2610,2500.6,1562.87,2078.62,75000
50,2200,0.1,0.024,18,30,0.084,0.048,3000,2937.06,2097.9,2538.46,110000
63,120,0.09,0.16,10,16,0.995,0.32,600,552,300,438,7560
63,180,0.09,0.12,10,20,0.663,0.24,890,818.8,445,649.7,11340
63,220,0.09,0.09,10,25,0.543,0.18,1050,966,525,766.5,13860
63,330,0.09,0.085,12.5,20,0.362,0.17,1290,1212.03,708.79,992.31,20790
63,390,0.09,0.066,12.5,25,0.306,0.132,1720,1616.04,945.05,1323.08,24570
63,470,0.09,0.052,12.5,30,0.254,0.104,2090,1963.68,1148.35,1607.69,29610
63,560,0.09,0.059,16,20,0.213,0.118,1770,1663.02,972.53,1361.54,35280
63,820,0.09,0.047,16,25,0.146,0.094,2160,2069.46,1293.41,1720.24,51660
63,820,0.09,0.055,18,20,0.146,0.11,2290,2194.01,1371.26,1823.77,51660
63,1000,0.09,0.037,16,30,0.146,0.074,2670,2558.08,1598.8,2126.41,63000
63,1000,0.09,0.04,18,25,0.146,0.08,2590,2481.44,1550.9,2062.69,63000
63,1500,0.09,0.032,18,30,0.097,0.064,2950,2826.35,1766.47,2349.4,94500
80,100,0.09,0.33,10,16,1.194,0.81,550,506,275,401.5,8000
80,150,0.09,0.24,10,20,0.796,0.59,780,717.6,390,569.4,12000
80,180,0.09,0.19,10,25,0.663,0.47,970,892.4,485,708.1,14400
80,180,0.09,0.165,12.5,20,0.663,0.39,1120,1030.4,560,817.6,14400
80,270,0.09,0.12,12.5,25,0.442,0.28,1420,1306.4,710,1036.6,21600
80,390,0.09,0.097,12.5,30,0.306,0.23,1690,1587.86,928.57,1300,31200
80,390,0.09,0.11,16,20,0.306,0.26,1560,1465.71,857.14,1200,31200
80,470,0.09,0.09,18,20,0.254,0.19,1660,1559.67,912.09,1276.92,37600
80,560,0.09,0.081,16,25,0.213,0.19,1980,1860.33,1087.91,1523.08,44800
80,680,0.09,0.064,16,30,0.176,0.15,2350,2207.97,1291.21,1807.69,54400
80,680,0.09,0.07,18,25,0.176,0.15,2100,1973.08,1153.85,1615.38,54400
80,820,0.09,0.058,18,30,0.146,0.13,2490,2385.63,1491.02,1983.05,65600
100,68,0.08,0.33,10,16,1.56,0.81,550,506,275,401.5,6800
100,100,0.08,0.24,10,20,1.061,0.59,780,717.6,390,569.4,10000
100,120,0.08,0.19,10,25,0.884,0.47,970,892.4,485,708.1,12000
100,120,0.08,0.165,12.5,20,0.884,0.39,1120,1030.4,560,817.6,12000
