Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,ESR(est.) 20°C@120Hz,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Status,VC,Vibration resistant,Weight (g)
50,100,1.362,1.232,8,11.5,-40,105,0.19,2.52,10000,50,3000,ULD1H101MPD,Uni-Polar,Radial Lead,Minitualized Long Life,270,256.78,188.81,228.46,MP,5000,Normal,1.19
63,10,7.802,6.246,5,11,-40,105,0.17,22.547,10000,6,6000,ULD1J100MDD,Uni-Polar,Radial Lead,Minitualized Long Life,80,71.58,42.11,63.16,EOL,630,Normal,0.44
63,22,4.003,3.163,6.3,11,-40,105,0.17,10.249,10000,14,4000,ULD1J220MED,Uni-Polar,Radial Lead,Minitualized Long Life,170,151.11,94.44,132.22,EOL,1386,Normal,0.59
63,22,3.81,3.094,6.3,11,-40,105,0.17,10.249,10000,14,4000,ULD1J220MED,Uni-Polar,Radial Lead,Minitualized Long Life,170,153.19,93.41,127.03,EOL,1386,Normal,0.59
63,33,2.669,2.109,6.3,11,-40,105,0.17,6.832,10000,21,4000,ULD1J330MED,Uni-Polar,Radial Lead,Minitualized Long Life,170,151.11,94.44,132.22,EOL,2079,Normal,0.59
63,47,1.874,1.481,8,11.5,-40,105,0.17,4.797,10000,30,3000,ULD1J470MPD,Uni-Polar,Radial Lead,Minitualized Long Life,240,213.33,133.33,186.67,MP,2961,Normal,1.19
63,47,2.594,2.346,8,11.5,-40,105,0.17,4.797,10000,30,3000,ULD1J470MPD,Uni-Polar,Radial Lead,Minitualized Long Life,240,228.25,167.83,203.08,MP,2961,Normal,1.19
100,4.7,13.064,10.582,5,11,-40,105,0.15,42.328,10000,5,6000,ULD2A4R7MDD,Uni-Polar,Radial Lead,Minitualized Long Life,70,63,35,56,EOL,470,Normal,0.44
100,6.8,10.123,8.104,5,11,-40,105,0.15,29.256,10000,7,6000,ULD2A6R8MDD,Uni-Polar,Radial Lead,Minitualized Long Life,70,62.63,36.84,55.26,EOL,680,Normal,0.44
100,10,6.884,5.511,6.3,11,-40,105,0.15,19.894,10000,10,4000,ULD2A100MED,Uni-Polar,Radial Lead,Minitualized Long Life,150,134.21,78.95,118.42,EOL,1000,Normal,0.59
