Voltage,Capacitance,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@100kHz,Status,Vibration resistant,Weight (g)
160,10,10,16,-25,105,0.15,10000,164,1800,UCA2C100MPD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,250,EOL,Normal,1.77
160,22,10,20,-25,105,0.15,10000,241,1400,UCA2C220MPD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,500,EOL,Normal,2.34
160,33,10,20,-25,105,0.15,10000,311,1400,UCA2C330MPD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,565,EOL,Normal,2.34
160,47,12.5,20,-25,105,0.15,12000,401,1000,UCA2C470MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,725,EOL,Normal,3.43
160,68,12.5,25,-25,105,0.15,12000,535,800,UCA2C680MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,950,EOL,Normal,4.56
160,68,16,20,-25,105,0.15,12000,535,600,UCA2C680MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,970,EOL,Normal,6.6
160,100,16,25,-25,105,0.15,12000,740,400,UCA2C101MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1280,EOL,Normal,8.2
160,100,18,20,-25,105,0.15,12000,740,400,UCA2C101MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1180,EOL,Normal,9.0
160,150,16,30.5,-25,105,0.15,12000,1060,300,UCA2C151MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1360,EOL,Normal,9.6
160,150,18,25,-25,105,0.15,12000,1060,300,UCA2C151MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1360,EOL,Normal,10.6
