Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Dissipation Factor,Lead Diameter,Lead Space,Lead Space Taping,Lead Space Taping_1,Part Number,Ripple Current,Straight leads,Taping
6.3,220,1.688,5,11,0.28,0.5,2.0,5.0,2.5,ECA0JM221( ),240,200,2000
6.3,470,0.79,6.3,11.2,0.28,0.5,2.5,5.0,2.5,ECA0JM471( ),380,200,2000
6.3,1000,0.371,8,11.5,0.28,0.6,3.5,5.0,,ECA0JM102( ),580,200,1000
6.3,2200,0.181,10,16,0.3,0.6,5.0,5.0,,ECA0JM222( ),890,200,500
6.3,3300,0.129,10,20,0.32,0.6,5.0,5.0,,ECA0JM332( ),1020,200,500
6.3,4700,0.096,12.5,20,0.34,0.6,5.0,5.0,,ECA0JM472( ),1170,200,500
6.3,6800,0.074,12.5,25,0.38,0.6,5.0,5.0,,ECA0JM682( ),1270,200,500
6.3,10000,0.061,16,25,0.46,0.8,7.5,7.5,,ECA0JM103( ),1450,100,250
6.3,15000,0.05,16,31.5,0.56,0.8,7.5,,,ECA0JM153,1700,100,
6.3,22000,0.042,18,35.5,0.7,0.8,7.5,,,ECA0JM223,1900,50,
10,330,0.965,6.3,11.2,0.24,0.5,2.5,5.0,2.5,ECA1AM331( ),330,200,2000
10,1000,0.318,10,12.5,0.24,0.6,5.0,5.0,,ECA1AM102( ),630,200,500
10,2200,0.157,10,20,0.26,0.6,5.0,5.0,,ECA1AM222( ),920,200,500
10,3300,0.113,12.5,20,0.28,0.6,5.0,5.0,,ECA1AM332( ),1090,200,500
10,4700,0.085,12.5,25,0.3,0.6,5.0,5.0,,ECA1AM472( ),1200,200,500
10,6800,0.066,16,25,0.34,0.8,7.5,7.5,,ECA1AM682( ),1400,100,250
10,10000,0.056,16,31.5,0.42,0.8,7.5,,,ECA1AM103,1600,100,
10,15000,0.046,18,35.5,0.52,0.8,7.5,,,ECA1AM153,1850,50,
16,10,26.526,5,11,0.2,0.5,2.0,5.0,2.5,ECA1CM100( ),30,200,2000
16,22,12.057,5,11,0.2,0.5,2.0,5.0,2.5,ECA1CM220( ),75,200,2000
