Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current,Status,Vibration resistant,Weight (g)
350,2.2,150.715,6.3,11,-40,85,0.25,2000,117,4000,UVK2V2R2MED,Uni-Polar,Radial Lead,Miniaturized,30,EOL,Normal,0.59
350,3.3,100.477,8,11.5,-40,85,0.25,2000,146,3000,UVK2V3R3MPD,Uni-Polar,Radial Lead,Miniaturized,43,MP,Normal,1.19
350,4.7,70.547,8,11.5,-40,85,0.25,2000,166,3000,UVK2V4R7MPD,Uni-Polar,Radial Lead,Miniaturized,55,MP,Normal,1.19
350,10,33.157,10,12.5,-40,85,0.25,2000,240,2000,UVK2V100MPD,Uni-Polar,Radial Lead,Miniaturized,90,MP,Normal,1.49
350,22,15.072,12.5,20,-40,85,0.25,2000,408,1000,UVK2V220MHD,Uni-Polar,Radial Lead,Miniaturized,150,MP,Normal,3.43
350,33,10.048,12.5,25,-40,85,0.25,2000,562,800,UVK2V330MHD,Uni-Polar,Radial Lead,Miniaturized,240,MP,Normal,4.56
350,47,7.055,16,25,-40,85,0.25,2000,758,400,UVK2V470MHD,Uni-Polar,Radial Lead,Miniaturized,300,MP,Normal,8.2
350,68,4.876,16,25,-40,85,0.25,2000,1052,400,UVK2V680MHD,Uni-Polar,Radial Lead,Miniaturized,400,MP,Normal,8.2
350,100,3.316,18,35.5,-40,85,0.25,2000,1500,250,UVK2V101MHD,Uni-Polar,Radial Lead,Miniaturized,520,MP,Normal,14.2
350,220,1.507,22,50,-40,85,0.25,2000,3180,250,UVK2V221MRD,Uni-Polar,Radial Lead,Miniaturized,760,EOL,Normal,27.4
350,330,1.005,25,50,-40,85,0.25,2000,4720,140,UVK2V331MRD,Uni-Polar,Radial Lead,Miniaturized,1000,EOL,Normal,38.8
400,0.47,705.475,6.3,11,-40,85,0.25,2000,59,4000,UVK2GR47MED,Uni-Polar,Radial Lead,Miniaturized,12,EOL,Normal,0.59
400,1,331.573,6.3,11,-40,85,0.25,2000,80,4000,UVK2G010MED,Uni-Polar,Radial Lead,Miniaturized,20,EOL,Normal,0.59
400,2.2,150.715,8,11.5,-40,85,0.25,2000,128,3000,UVK2G2R2MPD,Uni-Polar,Radial Lead,Miniaturized,38,MP,Normal,1.19
400,3.3,100.477,8,11.5,-40,85,0.25,2000,153,3000,UVK2G3R3MPD,Uni-Polar,Radial Lead,Miniaturized,48,MP,Normal,1.19
400,4.7,70.547,10,12.5,-40,85,0.25,2000,175,2000,UVK2G4R7MPD,Uni-Polar,Radial Lead,Miniaturized,60,MP,Normal,1.49
400,10,33.157,10,16,-40,85,0.25,2000,260,1800,UVK2G100MPD,Uni-Polar,Radial Lead,Miniaturized,90,MP,Normal,1.77
400,22,15.072,12.5,25,-40,85,0.25,2000,452,800,UVK2G220MHD,Uni-Polar,Radial Lead,Miniaturized,200,MP,Normal,4.56
400,33,10.048,16,25,-40,85,0.25,2000,628,400,UVK2G330MHD,Uni-Polar,Radial Lead,Miniaturized,240,MP,Normal,8.2
400,47,7.055,16,25,-40,85,0.25,2000,852,400,UVK2G470MHD,Uni-Polar,Radial Lead,Miniaturized,280,MP,Normal,8.2
400,68,4.876,16,30.5,-40,85,0.25,2000,1188,300,UVK2G680MHD,Uni-Polar,Radial Lead,Miniaturized,340,MP,Normal,9.6
400,100,3.316,18,35.5,-40,85,0.25,2000,1700,250,UVK2G101MHD,Uni-Polar,Radial Lead,Miniaturized,440,MP,Normal,14.2
400,220,1.507,22,50,-40,85,0.25,2000,3620,250,UVK2G221MRD,Uni-Polar,Radial Lead,Miniaturized,650,EOL,Normal,27.4
450,2.2,150.715,8,11.5,-25,85,0.25,2000,139,3000,UVK2W2R2MPD,Uni-Polar,Radial Lead,Miniaturized,28,MP,Normal,1.19
450,3.3,100.477,10,12.5,-25,85,0.25,2000,159,2000,UVK2W3R3MPD,Uni-Polar,Radial Lead,Miniaturized,40,MP,Normal,1.49
450,4.7,70.547,10,12.5,-25,85,0.25,2000,185,2000,UVK2W4R7MPD,Uni-Polar,Radial Lead,Miniaturized,46,MP,Normal,1.49
450,10,33.157,10,20,-25,85,0.25,2000,280,1400,UVK2W100MPD,Uni-Polar,Radial Lead,Miniaturized,80,MP,Normal,2.34
450,22,15.072,12.5,25,-25,85,0.25,2000,496,800,UVK2W220MHD,Uni-Polar,Radial Lead,Miniaturized,140,MP,Normal,4.56
450,33,10.048,16,25,-25,85,0.25,2000,694,400,UVK2W330MHD,Uni-Polar,Radial Lead,Miniaturized,180,MP,Normal,8.2
450,47,7.055,16,30.5,-25,85,0.25,2000,946,300,UVK2W470MHD,Uni-Polar,Radial Lead,Miniaturized,220,MP,Normal,9.6
450,68,4.876,18,35.5,-25,85,0.25,2000,1324,250,UVK2W680MHD,Uni-Polar,Radial Lead,Miniaturized,260,MP,Normal,14.2
450,100,3.316,18,40,-25,85,0.25,2000,1900,200,UVK2W101MHD,Uni-Polar,Radial Lead,Miniaturized,280,MP,Normal,17.7
450,220,1.507,25,50,-25,85,0.25,2000,4060,140,UVK2W221MRD,Uni-Polar,Radial Lead,Miniaturized,350,EOL,Normal,38.8
