Voltage,Capacitance,Dissipation Factor,Case Size Diameter,Case Size Length,ESR(est.) 20°C@120Hz,Leakage Current,Part Number,Ripple Current 105°C@120Hz,Surge Voltage
6.3,100,26,5,11,344.836,6.3,ESH107M6R3AC3(1),100,8
6.3,150,26,5,11,229.891,9.5,ESH157M6R3AC3(1),120,8
6.3,220,26,6.3,11,156.744,13.9,ESH227M6R3AE3(1),165,8
6.3,330,26,6.3,11,104.496,20.8,ESH337M6R3AE3(1),200,8
6.3,470,26,6.3,11,73.369,29.6,ESH477M6R3AE3(1),230,8
6.3,470,26,8,11,73.369,29.6,ESH477M6R3AG3(1),280,8
6.3,680,26,8,11,50.711,42.8,ESH687M6R3AG3(1),350,8
6.3,680,26,10,12,50.711,42.8,ESH687M6R3AH1(1),320,8
6.3,1000,26,8,15,34.51,63,ESH108M6R3AG4(1),445,8
6.3,1000,26,10,12,34.51,63,ESH108M6R3AH1(1),470,8
6.3,1000,26,10,12.5,34.51,63,ESH108M6R3AH9(1),470,8
6.3,1500,26,10,15,23.007,94.5,ESH158M6R3AH2(1),600,8
6.3,1800,26,10,16,19.172,113.4,ESH188M6R3AH2(1),600,8
6.3,2200,26,10,20,15.698,138.6,ESH228M6R3AH4(1),800,8
6.3,2200,26,13,20,15.698,138.6,ESH228M6R3AL3(1),930,8
6.3,3300,26,13,20,10.474,207.9,ESH338M6R3AL3(1),1100,8
6.3,4700,26,13,20,7.36,296.1,ESH478M6R3AL3(1),1180,8
6.3,4700,26,16,25,7.36,296.1,ESH478M6R3AM7(1),1320,8
6.3,6800,26,16,25,5.095,428.4,ESH688M6R3AM7(1),1490,8
6.3,10000,26,16,32,3.475,630,ESH109M6R3AM2(1),1830,8
6.3,15000,26,16,36,2.325,945,ESH159M6R3AM3(1),2090,8
6.3,22000,26,18,40,1.594,1386,ESH229M6R3AN3(1),2350,8
10,47,22,5,11,620.818,4.7,ESH476M010AC3(1),75,13
10,68,22,5,11,429.095,6.8,ESH686M010AC3(1),80,13
10,100,22,5,11,291.784,10,ESH107M010AC3(1),110,13
10,150,22,5,11,194.523,15,ESH157M010AC3(1),120,13
10,150,22,6,11,194.523,15,ESH157M010AE3(1),130,13
10,220,22,6.3,11,132.629,22,ESH227M010AE3(1),180,13
10,330,22,6.3,11,88.419,33,ESH337M010AE3(1),235,13
10,330,22,8,11,88.419,33,ESH337M010AG3(1),255,13
10,470,22,6.3,11,62.082,47,ESH477M010AE3(1),250,13
10,470,22,8,11,62.082,47,ESH477M010AG3(1),305,13
10,680,22,8,11,42.909,68,ESH687M010AG3(1),365,13
10,680,22,10,12,42.909,68,ESH687M010AH1(1),420,13
10,680,22,10,12.5,42.909,68,ESH687M010AH9(1),420,13
10,1000,22,8,15,29.205,100,ESH108M010AG4(1),480,13
10,1000,22,10,16,29.205,100,ESH108M010AH2(1),570,13
10,1000,22,10,12.5,29.205,100,ESH108M010AH9(1),540,13
10,1500,22,10,20,19.47,150,ESH158M010AH4(1),800,13
