Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 85°C@120Hz,Status,Vibration resistant,Weight (g)
6.3,2200,0.181,12.5,15,-40,85,0.3,2000,416,1200,URS0J222MHD,Uni-Polar,Radial Lead,Lo-Profile,890,LTB,Normal,2.96
6.3,3300,0.129,16,15,-40,85,0.32,2000,624,700,URS0J332MHD,Uni-Polar,Radial Lead,Lo-Profile,1200,LTB,Normal,4.74
6.3,4700,0.096,16,15,-40,85,0.34,2000,888,700,URS0J472MHD,Uni-Polar,Radial Lead,Lo-Profile,1410,LTB,Normal,4.74
6.3,6800,0.074,18,15,-40,85,0.38,2000,1285,400,URS0J682MHD,Uni-Polar,Radial Lead,Lo-Profile,1660,LTB,Normal,6.31
6.3,10000,0.061,18,20,-40,85,0.46,2000,1890,400,URS0J103MHD,Uni-Polar,Radial Lead,Lo-Profile,2020,LTB,Normal,9.0
10,1000,0.318,10,12.5,-40,85,0.24,2000,300,2000,URS1A102MPD,Uni-Polar,Radial Lead,Lo-Profile,620,LTB,Normal,1.49
10,2200,0.157,12.5,15,-40,85,0.26,2000,660,1200,URS1A222MHD,Uni-Polar,Radial Lead,Lo-Profile,960,LTB,Normal,2.96
10,3300,0.113,16,15,-40,85,0.28,2000,990,700,URS1A332MHD,Uni-Polar,Radial Lead,Lo-Profile,1300,LTB,Normal,4.74
10,4700,0.085,18,15,-40,85,0.3,2000,1410,400,URS1A472MHD,Uni-Polar,Radial Lead,Lo-Profile,1550,LTB,Normal,6.31
10,6800,0.066,18,20,-40,85,0.34,2000,2040,400,URS1A682MHD,Uni-Polar,Radial Lead,Lo-Profile,1850,LTB,Normal,9.0
10,10000,0.056,18,25,-40,85,0.42,2000,3000,300,URS1A103MHD,Uni-Polar,Radial Lead,Lo-Profile,2350,LTB,Normal,10.6
16,1000,0.265,12.5,12.5,-40,85,0.2,2000,480,1500,URS1C102MHD,Uni-Polar,Radial Lead,Lo-Profile,720,MP,Normal,2.8
16,2200,0.133,16,15,-40,85,0.22,2000,1056,700,URS1C222MHD,Uni-Polar,Radial Lead,Lo-Profile,1160,MP,Normal,4.74
16,3300,0.096,18,15,-40,85,0.24,2000,1584,400,URS1C332MHD,Uni-Polar,Radial Lead,Lo-Profile,1460,MP,Normal,6.31
16,4700,0.073,18,20,-40,85,0.26,2000,2256,400,URS1C472MHD,Uni-Polar,Radial Lead,Lo-Profile,1770,MP,Normal,9.0
16,6800,0.059,18,25,-40,85,0.3,2000,3264,300,URS1C682MHD,Uni-Polar,Radial Lead,Lo-Profile,2170,MP,Normal,10.6
25,470,0.452,10,12.5,-40,85,0.16,2000,353,2000,URS1E471MPD,Uni-Polar,Radial Lead,Lo-Profile,530,MP,Normal,1.49
