Voltage,Capacitance,ESR 20°C@120Hz,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR -40°C@100kHz,Part Number,Ripple Current 125°C@100kHz
25,3900,0.061,0.023,18,30,0.18,0.11,EGVA250E□□392MM30H,3330
25,5100,0.057,0.019,18,35.5,0.22,0.086,EGVA250E□□512MMP1H,3750
35,2700,0.069,0.023,18,30,0.14,0.11,EGVA350E□□272MM30H,3330
35,3600,0.059,0.019,18,35.5,0.16,0.086,EGVA350E□□362MMP1H,3750
50,1600,0.083,0.027,18,30,0.1,0.14,EGVA500E□□162MM30H,3000
50,2000,0.08,0.022,18,35.5,0.12,0.1,EGVA500E□□202MMP1H,3450
63,1200,0.111,0.045,18,30,0.1,0.34,EGVA630E□□122MM30H,2530
63,1500,0.088,0.036,18,35.5,0.1,0.26,EGVA630E□□152MMP1H,2870
80,750,0.141,0.045,18,30,0.08,0.34,EGVA800E□□751MM30H,2530
80,910,0.117,0.036,18,35.5,0.08,0.26,EGVA800E□□911MMP1H,2870
100,430,0.247,0.055,18,30,0.08,0.41,EGVA101E□□431MM30H,2290
100,560,0.189,0.044,18,35.5,0.08,0.32,EGVA101E□□561MMP1H,2620
