Voltage,Capacitance,Dissipation Factor,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,ESR -40°C@100kHz,ESR(est.) 20°C@120Hz,Part Number,Ripple Current 125°C@100kHz,Ripple Current 125°C@10kHz,Ripple Current 125°C@120Hz,Ripple Current 125°C@1kHz,Ripple Current 125°C@300Hz,Ripple Current 125°C@50Hz,VC
400,33,0.2,,16,20,,8.038,EGXF401E□□330ML20S,970,923.39,291.29,632.1,436.94,145.65,13200
400,36,0.2,,12.5,30,,7.368,EGXF401E□□360MK30S,1210,1159.23,423.08,846.15,605,300.38,14400
400,36,0.2,,14.5,25,,7.368,EGXF401E□□360MU25S,1210,1159.23,423.08,846.15,605,300.38,14400
400,43,0.2,,12.5,35,,6.169,EGXF401E□□430MK35S,1330,1274.2,465.03,930.07,665,330.17,17200
400,43,0.2,,18,20,,6.169,EGXF401E□□430MM20S,1060,1015.52,370.63,741.26,530,263.15,17200
400,47,0.2,,14.5,30,,5.644,EGXF401E□□470MU30S,1410,1350.84,493.01,986.01,705,350.03,18800
400,47,0.2,,16,25,,5.644,EGXF401E□□470ML25S,1130,1082.59,395.1,790.21,565,280.52,18800
400,51,0.2,,12.5,40,,5.201,EGXF401E□□510MK40S,1450,1389.16,506.99,1013.99,725,359.97,20400
400,56,0.2,,14.5,35,,4.737,EGXF401E□□560MU35S,1590,1523.29,555.94,1111.89,795,394.72,22400
400,62,0.2,,18,25,,4.278,EGXF401E□□620MM25S,1200,1149.65,419.58,839.16,600,297.9,24800
400,68,0.2,,14.5,40,,3.901,EGXF401E□□680MU40S,1820,1743.64,636.36,1272.73,910,451.82,27200
