Voltage,Capacitance,Dissipation Factor,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,ESR -40°C@100kHz,ESR(est.) 20°C@120Hz,Part Number,Ripple Current 125°C@100kHz,Ripple Current 125°C@10kHz,Ripple Current 125°C@120Hz,Ripple Current 125°C@1kHz,Ripple Current 125°C@300Hz,Ripple Current 125°C@50Hz,VC
35,4300,,0.016,16,35,0.056,,EGXF350E□□432ML35S,3630,3466.24,2729.32,3275.19,,,150500
35,4300,,0.016,18,30,0.060,,EGXF350E□□432MM30S,3480,3323.01,2616.54,3139.85,,,150500
35,4700,,0.015,16,40,0.048,,EGXF350E□□472ML40S,3930,3830.08,3330.51,3730.17,,,164500
35,5100,,0.015,18,35,0.049,,EGXF350E□□512MM35S,3750,3654.66,3177.97,3559.32,,,178500
35,6200,,0.014,18,40,0.043,,EGXF350E□□622MM40S,4040,3937.29,3423.73,3834.58,,,217000
50,160,,0.24,10,12.5,3.6,,EGXF500E□□161MJC5S,730,680.36,292,598.6,,,8000
50,240,,0.16,10,16,2.5,,EGXF500E□□241MJ16S,1080,1006.56,432,885.6,,,12000
50,270,,0.14,12.5,15,1.8,,EGXF500E□□271MK15S,1020,958.8,510,867,,,13500
50,330,,0.12,10,20,1.8,,EGXF500E□□331MJ20S,1290,1212.6,645,1096.5,,,16500
50,390,,0.12,14.5,15,1.4,,EGXF500E□□391MU15S,1090,1024.6,545,926.5,,,19500
50,430,,0.055,10,25,0.31,,EGXF500E□□431MJ25S,1740,1635.6,870,1479,,,21500
50,510,,0.049,12.5,20,0.24,,EGXF500E□□511MK20S,1410,1325.4,705,1198.5,,,25500
50,560,,0.041,10,30,0.25,,EGXF500E□□561MJ30S,2020,1898.8,1010,1717,,,28000
50,560,,0.11,16,15,1.3,,EGXF500E□□561ML15S,1190,1118.6,595,1011.5,,,28000
50,680,,0.038,14.5,20,0.22,,EGXF500E□□681MU20S,1610,1523.23,964.07,1397.9,,,34000
50,750,,0.038,12.5,25,0.18,,EGXF500E□□751MK25S,2030,1920.6,1215.57,1762.57,,,37500
50,750,,0.085,18,15,0.87,,EGXF500E□□751MM15S,1370,1296.17,820.36,1189.52,,,37500
50,910,,0.037,16,20,0.17,,EGXF500E□□911ML20S,1740,1646.23,1041.92,1510.78,,,45500
50,1000,,0.031,12.5,30,0.14,,EGXF500E□□102MK30S,2510,2374.73,1502.99,2179.34,,,50000
50,1000,,0.031,14.5,25,0.14,,EGXF500E□□102MU25S,2480,2346.35,1485.03,2153.29,,,50000
50,1200,,0.027,12.5,35,0.11,,EGXF500E□□122MK35S,2900,2743.71,1736.53,2517.96,,,60000
50,1200,,0.036,18,20,0.14,,EGXF500E□□122MM20S,1830,1731.38,1095.81,1588.92,,,60000
50,1300,,0.026,14.5,30,0.11,,EGXF500E□□132MU30S,2870,2715.33,1718.56,2491.92,,,65000
50,1300,,0.027,16,25,0.13,,EGXF500E□□132ML25S,2690,2545.03,1610.78,2335.63,,,65000
50,1500,,0.023,12.5,40,0.090,,EGXF500E□□152MK40S,3260,3084.31,1952.1,2830.54,,,75000
50,1500,,0.023,14.5,35,0.085,,EGXF500E□□152MU35S,3160,2989.7,1892.22,2743.71,,,75000
50,1600,,0.023,16,30,0.094,,EGXF500E□□162ML30S,3150,2980.24,1886.23,2735.03,,,80000
