Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Dissipation Factor,Impedance -10°C,Impedance 20°C,Part Number,Ripple Current
16,3300,0.064,12.5,30,0.16,0.054,0.018,EKZN160E□□332MK30S,3660
16,3900,0.054,12.5,35,0.16,0.048,0.016,EKZN160E□□392MK35S,4120
16,3900,0.054,16,20,0.16,0.063,0.021,EKZN160E□□392ML20S,3330
16,4700,0.045,18,20,0.16,0.06,0.02,EKZN160E□□472MM20S,3450
16,5600,0.038,16,25,0.16,0.051,0.017,EKZN160E□□562ML25S,3810
16,6800,0.031,16,31.5,0.16,0.048,0.016,EKZN160E□□682MLN3S,4100
16,6800,0.031,18,25,0.16,0.048,0.016,EKZN160E□□682MM25S,3880
16,8200,0.026,16,35.5,0.16,0.042,0.014,EKZN160E□□822MLP1S,4280
16,8200,0.026,18,31.5,0.16,0.042,0.014,EKZN160E□□822MMN3S,4190
16,10000,0.021,16,40,0.16,0.039,0.013,EKZN160E□□103ML40S,4580
16,10000,0.021,18,35.5,0.16,0.036,0.012,EKZN160E□□103MMP1S,4380
16,12000,0.018,18,40,0.16,0.033,0.011,EKZN160E□□123MM40S,4960
25,68,2.731,5,11,0.14,1.2,0.38,EKZN250E□□680ME11D,450
25,150,1.238,6.3,11,0.14,0.51,0.17,EKZN250E□□151MF11D,700
25,270,0.688,8,11.5,0.14,0.23,0.075,EKZN250E□□271MHB5D,1200
25,470,0.395,8,15,0.14,0.18,0.059,EKZN250E□□471MH15D,1600
25,470,0.395,10,12.5,0.14,0.16,0.053,EKZN250E□□471MJC5S,1700
25,560,0.332,8,20,0.14,0.13,0.041,EKZN250E□□561MH20D,1960
25,680,0.273,10,16,0.14,0.12,0.038,EKZN250E□□681MJ16S,2000
25,820,0.226,10,20,0.14,0.084,0.028,EKZN250E□□821MJ20S,2500
25,1000,0.186,12.5,16,0.14,0.11,0.035,EKZN250E□□102MK16S,2400
25,1200,0.155,10,25,0.14,0.072,0.026,EKZN250E□□122MJ25S,2900
25,1500,0.124,12.5,20,0.14,0.075,0.025,EKZN250E□□152MK20S,2600
25,1800,0.103,12.5,25,0.14,0.057,0.019,EKZN250E□□182MK25S,3200
25,2200,0.084,12.5,30,0.14,0.054,0.018,EKZN250E□□222MK30S,3660
25,2200,0.084,16,20,0.14,0.063,0.021,EKZN250E□□222ML20S,3330
25,2700,0.069,12.5,35,0.14,0.048,0.016,EKZN250E□□272MK35S,4120
25,3300,0.056,16,25,0.14,0.051,0.017,EKZN250E□□332ML25S,3810
25,3300,0.056,18,20,0.14,0.06,0.02,EKZN250E□□332MM20S,3450
25,4700,0.04,16,31.5,0.14,0.048,0.016,EKZN250E□□472MLN3S,4100
25,4700,0.04,18,25,0.14,0.048,0.016,EKZN250E□□472MM25S,3880
25,5600,0.033,16,35.5,0.14,0.042,0.014,EKZN250E□□562MLP1S,4280
25,5600,0.033,18,31.5,0.14,0.042,0.014,EKZN250E□□562MMN3S,4190
25,6800,0.027,16,40,0.14,0.039,0.013,EKZN250E□□682ML40S,4580
25,6800,0.027,18,35.5,0.14,0.036,0.012,EKZN250E□□682MMP1S,4380
25,8200,0.023,18,40,0.14,0.033,0.011,EKZN250E□□822MM40S,4960
35,47,3.386,5,11,0.12,1.2,0.38,EKZN350E□□470ME11D,450
35,100,1.592,6.3,11,0.12,0.51,0.17,EKZN350E□□101MF11D,700
35,180,0.884,8,11.5,0.12,0.23,0.075,EKZN350E□□181MHB5D,1200
35,220,0.723,8,15,0.12,0.18,0.059,EKZN350E□□221MH15D,1600
35,270,0.589,10,12.5,0.12,0.16,0.053,EKZN350E□□271MJC5S,1700
35,330,0.482,8,20,0.12,0.13,0.041,EKZN350E□□331MH20D,1960
35,390,0.408,10,16,0.12,0.12,0.038,EKZN350E□□391MJ16S,2000
35,470,0.339,10,20,0.12,0.084,0.028,EKZN350E□□471MJ20S,2500
35,560,0.284,12.5,16,0.12,0.11,0.035,EKZN350E□□561MK16S,2400
35,680,0.234,10,25,0.12,0.072,0.026,EKZN350E□□681MJ25S,2900
35,820,0.194,12.5,20,0.12,0.075,0.025,EKZN350E□□821MK20S,2600
35,1200,0.133,12.5,25,0.12,0.057,0.019,EKZN350E□□122MK25S,3200
35,1500,0.106,12.5,30,0.12,0.054,0.018,EKZN350E□□152MK30S,3660
35,1500,0.106,16,20,0.12,0.063,0.021,EKZN350E□□152ML20S,3330
35,1800,0.088,12.5,35,0.12,0.048,0.016,EKZN350E□□182MK35S,4120
35,1800,0.088,16,25,0.12,0.051,0.017,EKZN350E□□182ML25S,3810
35,1800,0.088,18,20,0.12,0.06,0.02,EKZN350E□□182MM20S,3450
35,2700,0.059,16,31.5,0.12,0.048,0.016,EKZN350E□□272MLN3S,4100
35,2700,0.059,18,25,0.12,0.048,0.016,EKZN350E□□272MM25S,3880
35,3300,0.048,16,35.5,0.12,0.042,0.014,EKZN350E□□332MLP1S,4280
35,3300,0.048,18,31.5,0.12,0.042,0.014,EKZN350E□□332MMN3S,4190
35,3900,0.041,16,40,0.12,0.039,0.013,EKZN350E□□392ML40S,4580
35,3900,0.041,18,35.5,0.12,0.036,0.012,EKZN350E□□392MMP1S,4380
35,4700,0.034,18,40,0.12,0.033,0.011,EKZN350E□□472MM40S,4960
