Voltage,Capacitance,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,ESR(est.) 20°C@120Hz,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@100kHz,Status,Vibration resistant,Weight (g)
2.5,560,0.005,8,11.5,-55,105,0.15,0.355,2000,350,2000,RR50E561MDN1,Uni-Polar,Radial Lead,Ultra-Lo-ESR,6630,MP,Normal,0.93
2.5,680,0.005,8,11.5,-55,105,0.15,0.293,2000,425,2000,RR50E681MDN1,Uni-Polar,Radial Lead,Ultra-Lo-ESR,6630,MP,Normal,0.93
2.5,820,0.005,8,11.5,-55,105,0.15,0.243,2000,512,2000,RR50E821MDN1,Uni-Polar,Radial Lead,Ultra-Lo-ESR,6630,MP,Normal,0.93
2.5,1000,0.005,8,11.5,-55,105,0.15,0.225,2000,625,2000,RR50E102MDN1,Uni-Polar,Radial Lead,Ultra-Lo-ESR,6630,MP,Normal,0.93
2.5,1500,0.005,10,12.5,-55,105,0.15,0.15,2000,937,1600,RR50E152MDN1,Uni-Polar,Radial Lead,Ultra-Lo-ESR,7220,MP,Normal,1.35
4,560,0.005,8,11.5,-55,105,0.15,0.355,2000,560,2000,RR50G561MDN1,Uni-Polar,Radial Lead,Ultra-Lo-ESR,6630,MP,Normal,0.93
4,820,0.005,10,12.5,-55,105,0.15,0.243,2000,820,1600,RR50G821MDN1,Uni-Polar,Radial Lead,Ultra-Lo-ESR,7220,MP,Normal,1.35
4,1200,0.005,10,12.5,-55,105,0.15,0.188,2000,1200,1600,RR50G122MDN1,Uni-Polar,Radial Lead,Ultra-Lo-ESR,7220,MP,Normal,1.35
6.3,390,0.005,8,11.5,-55,105,0.15,0.51,2000,614,2000,RR50J391MDN1,Uni-Polar,Radial Lead,Ultra-Lo-ESR,6630,MP,Normal,0.93
6.3,470,0.005,8,11.5,-55,105,0.15,0.423,2000,592,2000,RR50J471MDN1,Uni-Polar,Radial Lead,Ultra-Lo-ESR,6630,MP,Normal,0.93
6.3,680,0.005,10,12.5,-55,105,0.15,0.293,2000,1071,1600,RR50J681MDN1,Uni-Polar,Radial Lead,Ultra-Lo-ESR,7220,MP,Normal,1.35
6.3,820,0.005,10,12.5,-55,105,0.15,0.243,2000,1291,1600,RR50J821MDN1,Uni-Polar,Radial Lead,Ultra-Lo-ESR,7220,MP,Normal,1.35
