Voltage,Capacitance,Dissipation Factor,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),ESR(est.) 20°C@120Hz,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 85°C@10kHz,Ripple Current 85°C@120Hz,Ripple Current 85°C@1kHz,Ripple Current 85°C@300Hz,Ripple Current 85°C@50Hz,Status,VC,Vibration resistant,Weight (g)
6.3,6800,0.36,18,35.5,-40,85,0.094,2000,1285,250,UVP0J682MHD,Bi-Polar,Radial Lead,Bi-Polar Standard,2990,2600,2938,2860,2210,MP,42840,Normal,14.2
10,22,0.24,5,11,-40,85,14.469,2000,7,6000,UVP1A220MDD,Bi-Polar,Radial Lead,Bi-Polar Standard,114,57,89.49,76.95,42.75,EOL,220,Normal,0.44
10,33,0.24,5,11,-40,85,9.646,2000,10,6000,UVP1A330MDD,Bi-Polar,Radial Lead,Bi-Polar Standard,128,64,100.48,86.4,48,EOL,330,Normal,0.44
10,47,0.24,5,11,-40,85,6.773,2000,14,6000,UVP1A470MDD,Bi-Polar,Radial Lead,Bi-Polar Standard,152,76,119.32,102.6,57,EOL,470,Normal,0.44
10,100,0.24,6.3,11,-40,85,3.183,2000,30,4000,UVP1A101MED,Bi-Polar,Radial Lead,Bi-Polar Standard,187.5,125,167.5,153.75,100,EOL,1000,Normal,0.59
10,220,0.24,8,11.5,-40,85,1.447,2000,66,3000,UVP1A221MPD,Bi-Polar,Radial Lead,Bi-Polar Standard,322.5,215,288.1,264.45,172,MP,2200,Normal,1.19
10,330,0.24,10,16,-40,85,0.965,2000,99,1800,UVP1A331MPD,Bi-Polar,Radial Lead,Bi-Polar Standard,517.5,345,462.3,424.35,276,MP,3300,Normal,1.77
10,470,0.24,10,16,-40,85,0.677,2000,141,1800,UVP1A471MPD,Bi-Polar,Radial Lead,Bi-Polar Standard,615,410,549.4,504.3,328,MP,4700,Normal,1.77
10,1000,0.24,12.5,20,-40,85,0.345,2000,300,1000,UVP1A102MHD,Bi-Polar,Radial Lead,Bi-Polar Standard,828,720,813.6,792,612,MP,10000,Normal,3.43
10,2200,0.26,16,25,-40,85,0.181,2000,660,400,UVP1A222MHD,Bi-Polar,Radial Lead,Bi-Polar Standard,1472,1280,1446.4,1408,1088,MP,22000,Normal,8.2
10,3300,0.28,16,30.5,-40,85,0.137,2000,990,300,UVP1A332MHD,Bi-Polar,Radial Lead,Bi-Polar Standard,1943.5,1690,1909.7,1859,1436.5,MP,33000,Normal,9.6
10,4700,0.3,18,35.5,-40,85,0.107,2000,1410,250,UVP1A472MHD,Bi-Polar,Radial Lead,Bi-Polar Standard,2484,2160,2440.8,2376,1836,MP,47000,Normal,14.2
16,10,0.22,5,11,-40,85,29.178,2000,5,6000,UVP1C100MDD,Bi-Polar,Radial Lead,Bi-Polar Standard,84,42,65.94,56.7,31.5,EOL,160,Normal,0.44
16,22,0.22,5,11,-40,85,13.263,2000,11,6000,UVP1C220MDD,Bi-Polar,Radial Lead,Bi-Polar Standard,114,57,89.49,76.95,42.75,EOL,352,Normal,0.44
16,33,0.22,5,11,-40,85,8.842,2000,16,6000,UVP1C330MDD,Bi-Polar,Radial Lead,Bi-Polar Standard,140,70,109.9,94.5,52.5,EOL,528,Normal,0.44
16,47,0.22,6.3,11,-40,85,6.208,2000,23,4000,UVP1C470MED,Bi-Polar,Radial Lead,Bi-Polar Standard,190,95,149.15,128.25,71.25,EOL,752,Normal,0.59
16,100,0.22,8,11.5,-40,85,2.918,2000,48,3000,UVP1C101MPD,Bi-Polar,Radial Lead,Bi-Polar Standard,240,160,214.4,196.8,128,MP,1600,Normal,1.19
16,220,0.22,10,12.5,-40,85,1.326,2000,106,2000,UVP1C221MPD,Bi-Polar,Radial Lead,Bi-Polar Standard,412.5,275,368.5,338.25,220,MP,3520,Normal,1.49
16,330,0.22,10,16,-40,85,0.884,2000,158,1800,UVP1C331MPD,Bi-Polar,Radial Lead,Bi-Polar Standard,562.5,375,502.5,461.25,300,MP,5280,Normal,1.77
16,470,0.22,10,20,-40,85,0.621,2000,226,1400,UVP1C471MPD,Bi-Polar,Radial Lead,Bi-Polar Standard,727.5,485,649.9,596.55,388,MP,7520,Normal,2.34
16,1000,0.22,12.5,25,-40,85,0.318,2000,480,800,UVP1C102MHD,Bi-Polar,Radial Lead,Bi-Polar Standard,983.25,855,966.15,940.5,726.75,MP,16000,Normal,4.56
16,2200,0.24,16,30.5,-40,85,0.169,2000,1056,300,UVP1C222MHD,Bi-Polar,Radial Lead,Bi-Polar Standard,1736.5,1510,1706.3,1661,1283.5,MP,35200,Normal,9.6
16,3300,0.26,18,35.5,-40,85,0.129,2000,1584,250,UVP1C332MHD,Bi-Polar,Radial Lead,Bi-Polar Standard,2277,1980,2237.4,2178,1683,MP,52800,Normal,14.2
25,10,0.2,5,11,-40,85,26.526,2000,8,6000,UVP1E100MDD,Bi-Polar,Radial Lead,Bi-Polar Standard,84,42,65.94,56.7,31.5,EOL,250,Normal,0.44
25,22,0.2,6.3,11,-40,85,12.057,2000,17,4000,UVP1E220MED,Bi-Polar,Radial Lead,Bi-Polar Standard,130,65,102.05,87.75,48.75,EOL,550,Normal,0.59
25,33,0.2,6.3,11,-40,85,8.038,2000,25,4000,UVP1E330MED,Bi-Polar,Radial Lead,Bi-Polar Standard,160,80,125.6,108,60,EOL,825,Normal,0.59
25,47,0.2,6.3,11,-40,85,5.644,2000,35,4000,UVP1E470MED,Bi-Polar,Radial Lead,Bi-Polar Standard,190,95,149.15,128.25,71.25,EOL,1175,Normal,0.59
25,100,0.2,8,11.5,-40,85,2.653,2000,75,3000,UVP1E101MPD,Bi-Polar,Radial Lead,Bi-Polar Standard,240,160,214.4,196.8,128,MP,2500,Normal,1.19
25,220,0.2,10,16,-40,85,1.206,2000,165,1800,UVP1E221MPD,Bi-Polar,Radial Lead,Bi-Polar Standard,457.5,305,408.7,375.15,244,MP,5500,Normal,1.77
25,330,0.2,12.5,20,-40,85,0.804,2000,248,1000,UVP1E331MHD,Bi-Polar,Radial Lead,Bi-Polar Standard,675,450,603,553.5,360,MP,8250,Normal,3.43
25,470,0.2,12.5,20,-40,85,0.564,2000,353,1000,UVP1E471MHD,Bi-Polar,Radial Lead,Bi-Polar Standard,810,540,723.6,664.2,432,MP,11750,Normal,3.43
25,1000,0.2,16,25,-40,85,0.292,2000,750,400,UVP1E102MHD,Bi-Polar,Radial Lead,Bi-Polar Standard,1092.5,950,1073.5,1045,807.5,MP,25000,Normal,8.2
25,2200,0.22,18,35.5,-40,85,0.157,2000,1650,250,UVP1E222MHD,Bi-Polar,Radial Lead,Bi-Polar Standard,1863,1620,1830.6,1782,1377,MP,55000,Normal,14.2
35,4.7,0.16,5,11,-40,85,45.15,2000,5,6000,UVP1V4R7MDD,Bi-Polar,Radial Lead,Bi-Polar Standard,,34,,,,EOL,164.5,Normal,0.44
35,10,0.16,5,11,-40,85,21.221,2000,11,6000,UVP1V100MDD,Bi-Polar,Radial Lead,Bi-Polar Standard,86,43,67.51,58.05,32.25,EOL,350,Normal,0.44
35,22,0.16,6.3,11,-40,85,9.646,2000,23,4000,UVP1V220MED,Bi-Polar,Radial Lead,Bi-Polar Standard,146,73,114.61,98.55,54.75,EOL,770,Normal,0.59
35,33,0.16,8,11.5,-40,85,6.431,2000,35,3000,UVP1V330MPD,Bi-Polar,Radial Lead,Bi-Polar Standard,200,100,157,135,75,MP,1155,Normal,1.19
35,47,0.16,8,11.5,-40,85,4.515,2000,49,3000,UVP1V470MPD,Bi-Polar,Radial Lead,Bi-Polar Standard,240,120,188.4,162,90,MP,1645,Normal,1.19
35,100,0.16,10,16,-40,85,2.122,2000,105,1800,UVP1V101MPD,Bi-Polar,Radial Lead,Bi-Polar Standard,345,230,308.2,282.9,184,MP,3500,Normal,1.77
35,220,0.16,12.5,20,-40,85,0.965,2000,231,1000,UVP1V221MHD,Bi-Polar,Radial Lead,Bi-Polar Standard,615,410,549.4,504.3,328,MP,7700,Normal,3.43
35,330,0.16,12.5,20,-40,85,0.643,2000,347,1000,UVP1V331MHD,Bi-Polar,Radial Lead,Bi-Polar Standard,757.5,505,676.7,621.15,404,MP,11550,Normal,3.43
35,470,0.16,12.5,25,-40,85,0.452,2000,494,800,UVP1V471MHD,Bi-Polar,Radial Lead,Bi-Polar Standard,982.5,655,877.7,805.65,524,MP,16450,Normal,4.56
35,1000,0.16,16,30.5,-40,85,0.239,2000,1050,300,UVP1V102MHD,Bi-Polar,Radial Lead,Bi-Polar Standard,1311,1140,1288.2,1254,969,MP,35000,Normal,9.6
50,1,0.14,5,11,-40,85,185.681,2000,3,6000,UVP1H010MDD,Bi-Polar,Radial Lead,Bi-Polar Standard,,17,,,,EOL,50,Normal,0.44
50,2.2,0.14,5,11,-40,85,84.4,2000,3,6000,UVP1H2R2MDD,Bi-Polar,Radial Lead,Bi-Polar Standard,,25,,,,EOL,110.00000000000001,Normal,0.44
50,3.3,0.14,5,11,-40,85,56.267,2000,5,6000,UVP1H3R3MDD,Bi-Polar,Radial Lead,Bi-Polar Standard,,27,,,,EOL,165,Normal,0.44
50,4.7,0.14,5,11,-40,85,39.507,2000,7,6000,UVP1H4R7MDD,Bi-Polar,Radial Lead,Bi-Polar Standard,,34,,,,EOL,235,Normal,0.44
50,10,0.14,6.3,11,-40,85,18.568,2000,15,4000,UVP1H100MED,Bi-Polar,Radial Lead,Bi-Polar Standard,104,52,81.64,70.2,39,EOL,500,Normal,0.59
50,22,0.14,8,11.5,-40,85,8.44,2000,33,3000,UVP1H220MPD,Bi-Polar,Radial Lead,Bi-Polar Standard,178,89,139.73,120.15,66.75,MP,1100,Normal,1.19
50,33,0.14,8,11.5,-40,85,5.627,2000,50,3000,UVP1H330MPD,Bi-Polar,Radial Lead,Bi-Polar Standard,210,105,164.85,141.75,78.75,MP,1650,Normal,1.19
50,47,0.14,10,12.5,-40,85,3.951,2000,71,2000,UVP1H470MPD,Bi-Polar,Radial Lead,Bi-Polar Standard,300,150,235.5,202.5,112.5,MP,2350,Normal,1.49
50,100,0.14,10,20,-40,85,1.857,2000,150,1400,UVP1H101MPD,Bi-Polar,Radial Lead,Bi-Polar Standard,397.5,265,355.1,325.95,212,MP,5000,Normal,2.34
50,220,0.14,12.5,25,-40,85,0.844,2000,330,800,UVP1H221MHD,Bi-Polar,Radial Lead,Bi-Polar Standard,720,480,643.2,590.4,384,MP,11000,Normal,4.56
50,330,0.14,16,25,-40,85,0.563,2000,495,400,UVP1H331MHD,Bi-Polar,Radial Lead,Bi-Polar Standard,975,650,871,799.5,520,MP,16500,Normal,8.2
50,470,0.14,16,30.5,-40,85,0.395,2000,705,300,UVP1H471MHD,Bi-Polar,Radial Lead,Bi-Polar Standard,1252.5,835,1118.9,1027.05,668,MP,23500,Normal,9.6
63,3.3,0.12,5,11,-40,85,48.229,2000,6,6000,UVP1J3R3MDD,Bi-Polar,Radial Lead,Bi-Polar Standard,,28,,,,EOL,207.89999999999998,Normal,0.44
63,4.7,0.12,6.3,11,-40,85,33.863,2000,9,4000,UVP1J4R7MED,Bi-Polar,Radial Lead,Bi-Polar Standard,,34,,,,EOL,296.1,Normal,0.59
63,10,0.12,6.3,11,-40,85,15.916,2000,19,4000,UVP1J100MED,Bi-Polar,Radial Lead,Bi-Polar Standard,114,57,89.49,76.95,42.75,EOL,630,Normal,0.59
63,22,0.12,8,11.5,-40,85,7.234,2000,42,3000,UVP1J220MPD,Bi-Polar,Radial Lead,Bi-Polar Standard,190,95,149.15,128.25,71.25,MP,1386,Normal,1.19
63,33,0.12,10,12.5,-40,85,4.823,2000,62,2000,UVP1J330MPD,Bi-Polar,Radial Lead,Bi-Polar Standard,270,135,211.95,182.25,101.25,MP,2079,Normal,1.49
63,47,0.12,10,16,-40,85,3.386,2000,89,1800,UVP1J470MPD,Bi-Polar,Radial Lead,Bi-Polar Standard,360,180,282.6,243,135,MP,2961,Normal,1.77
63,100,0.12,12.5,20,-40,85,1.592,2000,189,1000,UVP1J101MHD,Bi-Polar,Radial Lead,Bi-Polar Standard,480,320,428.8,393.6,256,MP,6300,Normal,3.43
63,220,0.12,16,25,-40,85,0.723,2000,416,400,UVP1J221MHD,Bi-Polar,Radial Lead,Bi-Polar Standard,862.5,575,770.5,707.25,460,MP,13860,Normal,8.2
63,330,0.12,16,30.5,-40,85,0.482,2000,624,300,UVP1J331MHD,Bi-Polar,Radial Lead,Bi-Polar Standard,982.5,655,877.7,805.65,524,MP,20790,Normal,9.6
63,470,0.12,18,35.5,-40,85,0.339,2000,888,250,UVP1J471MHD,Bi-Polar,Radial Lead,Bi-Polar Standard,1447.5,965,1293.1,1186.95,772,MP,29610,Normal,14.2
100,1,0.1,5,11,-40,85,132.629,2000,3,6000,UVP2A010MDD,Bi-Polar,Radial Lead,Bi-Polar Standard,,21,,,,EOL,100,Normal,0.44
100,2.2,0.1,6.3,11,-40,85,60.286,2000,7,4000,UVP2A2R2MED,Bi-Polar,Radial Lead,Bi-Polar Standard,,34,,,,EOL,220.00000000000003,Normal,0.59
100,3.3,0.1,6.3,11,-40,85,40.191,2000,10,4000,UVP2A3R3MED,Bi-Polar,Radial Lead,Bi-Polar Standard,,39,,,,EOL,330,Normal,0.59
100,4.7,0.1,6.3,11,-40,85,28.219,2000,14,4000,UVP2A4R7MED,Bi-Polar,Radial Lead,Bi-Polar Standard,,47,,,,EOL,470,Normal,0.59
100,10,0.1,8,11.5,-40,85,13.263,2000,30,3000,UVP2A100MPD,Bi-Polar,Radial Lead,Bi-Polar Standard,142,71,111.47,95.85,53.25,MP,1000,Normal,1.19
100,22,0.1,10,16,-40,85,6.029,2000,66,1800,UVP2A220MPD,Bi-Polar,Radial Lead,Bi-Polar Standard,270,135,211.95,182.25,101.25,MP,2200,Normal,1.77
100,33,0.1,12.5,20,-40,85,4.019,2000,99,1000,UVP2A330MHD,Bi-Polar,Radial Lead,Bi-Polar Standard,440,220,345.4,297,165,MP,3300,Normal,3.43
100,47,0.1,12.5,20,-40,85,2.822,2000,141,1000,UVP2A470MHD,Bi-Polar,Radial Lead,Bi-Polar Standard,480,240,376.8,324,180,MP,4700,Normal,3.43
100,100,0.1,16,25,-40,85,1.326,2000,300,400,UVP2A101MHD,Bi-Polar,Radial Lead,Bi-Polar Standard,637.5,425,569.5,522.75,340,MP,10000,Normal,8.2
100,220,0.1,18,35.5,-40,85,0.603,2000,660,250,UVP2A221MHD,Bi-Polar,Radial Lead,Bi-Polar Standard,1080,720,964.8,885.6,576,MP,22000,Normal,14.2
