Voltage,Capacitance,Dissipation Factor,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),ESR(est.) 20°C@120Hz,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 85°C@10kHz,Ripple Current 85°C@120Hz,Ripple Current 85°C@1kHz,Ripple Current 85°C@300Hz,Ripple Current 85°C@50Hz,Status,VC,Vibration resistant,Weight (g)
6.3,33,0.26,5,11,-40,85,10.45,2000,6,6000,UVP0J330MDD,Bi-Polar,Radial Lead,Bi-Polar Standard,128,64,100.48,86.4,48,EOL,207.9,Normal,0.44
6.3,47,0.26,5,11,-40,85,7.337,2000,9,6000,UVP0J470MDD,Bi-Polar,Radial Lead,Bi-Polar Standard,152,76,119.32,102.6,57,EOL,296.09999999999997,Normal,0.44
6.3,100,0.26,6.3,11,-40,85,3.448,2000,19,4000,UVP0J101MED,Bi-Polar,Radial Lead,Bi-Polar Standard,187.5,125,167.5,153.75,100,EOL,630,Normal,0.59
6.3,220,0.26,8,11.5,-40,85,1.567,2000,42,3000,UVP0J221MPD,Bi-Polar,Radial Lead,Bi-Polar Standard,322.5,215,288.1,264.45,172,MP,1386,Normal,1.19
6.3,330,0.26,8,11.5,-40,85,1.045,2000,62,3000,UVP0J331MPD,Bi-Polar,Radial Lead,Bi-Polar Standard,397.5,265,355.1,325.95,212,MP,2079,Normal,1.19
6.3,470,0.26,10,12.5,-40,85,0.734,2000,89,2000,UVP0J471MPD,Bi-Polar,Radial Lead,Bi-Polar Standard,555,370,495.8,455.1,296,MP,2961,Normal,1.49
6.3,1000,0.26,10,20,-40,85,0.371,2000,189,1400,UVP0J102MPD,Bi-Polar,Radial Lead,Bi-Polar Standard,747.5,650,734.5,715,552.5,MP,6300,Normal,2.34
6.3,2200,0.28,12.5,25,-40,85,0.193,2000,416,800,UVP0J222MHD,Bi-Polar,Radial Lead,Bi-Polar Standard,1334,1160,1310.8,1276,986,MP,13860,Normal,4.56
6.3,3300,0.3,16,25,-40,85,0.145,2000,624,400,UVP0J332MHD,Bi-Polar,Radial Lead,Bi-Polar Standard,1805.5,1570,1774.1,1727,1334.5,MP,20790,Normal,8.2
6.3,4700,0.32,16,30.5,-40,85,0.113,2000,888,300,UVP0J472MHD,Bi-Polar,Radial Lead,Bi-Polar Standard,2323,2020,2282.6,2222,1717,MP,29610,Normal,9.6
