Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR -10°C@100kHz,ESR(est.) 20°C@120Hz,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@300Hz,Ripple Current 105°C@50Hz,Ripple Current 105°C@60Hz,Size Code,VC
6.3,150,0.82,0.82,0.5,5,11.5,0.22,1,1.945,182,182,118.18,154.82,135.91,100.45,100.45,C11,945
6.3,330,0.373,0.373,0.25,6.3,11.5,0.22,0.5,0.884,295,295,191.56,250.94,220.29,162.82,162.82,D11,2079
6.3,470,0.351,0.351,0.117,8,12,0.22,0.234,0.621,567,567,426.32,511.58,456.16,396.47,396.47,E12,2961
6.3,560,0.295,0.295,0.117,8,12,0.22,0.234,0.521,567,567,426.32,511.58,456.16,396.47,396.47,E12,3528
6.3,680,0.243,0.243,0.117,8,12,0.22,0.234,0.429,567,567,426.32,511.58,456.16,396.47,396.47,E12,4284
6.3,1000,0.18,0.18,0.085,8,15,0.22,0.17,0.318,733,733,551.13,661.35,589.71,512.55,512.55,E15,6300
6.3,1000,0.18,0.18,0.09,10,12.5,0.22,0.18,0.318,764,764,574.44,689.32,614.65,534.23,534.23,F12,6300
6.3,1200,0.191,0.191,0.09,10,12.5,0.22,0.18,0.265,764,764,647.46,725.15,686.31,608.61,608.61,F12,7560
6.3,1200,0.191,0.191,0.068,10,16,0.22,0.136,0.265,1060,1060,898.31,1006.1,952.2,844.41,844.41,F16,7560
6.3,1500,0.152,0.152,0.065,8,20,0.22,0.13,0.212,996,996,844.07,945.36,894.71,793.42,793.42,E20,9450
6.3,1500,0.152,0.152,0.068,10,16,0.22,0.136,0.212,1060,1060,898.31,1006.1,952.2,844.41,844.41,F16,9450
6.3,1800,0.127,0.127,0.062,12.5,15,0.22,0.124,0.177,1210,1210,1025.42,1148.47,1086.95,963.9,963.9,G15,11340
6.3,2200,0.113,0.113,0.052,10,20,0.22,0.104,0.157,1230,1230,1042.37,1167.46,1104.92,979.83,979.83,F20,13860
6.3,2200,0.113,0.113,0.045,10,25,0.22,0.09,0.157,1450,1450,1228.81,1376.27,1302.54,1155.08,1155.08,F25,13860
6.3,2700,0.092,0.092,0.045,10,25,0.22,0.09,0.128,1450,1450,1228.81,1376.27,1302.54,1155.08,1155.08,F25,17010
6.3,3300,0.081,0.081,0.035,10,30,0.22,0.07,0.113,1830,1830,1550.85,1736.95,1643.9,1457.8,1457.8,F30,20790
6.3,3300,0.081,0.081,0.038,12.5,20,0.22,0.076,0.113,1700,1700,1440.68,1613.56,1527.12,1354.24,1354.24,G20,20790
6.3,3900,0.068,0.068,0.03,12.5,25,0.22,0.06,0.095,1950,1950,1652.54,1850.85,1751.69,1553.39,1553.39,G25,24570
