Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 85°C@120Hz,Status,Vibration resistant,Weight (g)
16,220,1.206,6.3,11,-40,85,0.2,2000,106,4000,UVR1C221MED,Uni-Polar,Radial Lead,Standard,260,EOL,Normal,0.59
16,330,0.804,8,11.5,-40,85,0.2,2000,158,3000,UVR1C331MPD,Uni-Polar,Radial Lead,Standard,370,MP,Normal,1.19
16,470,0.564,8,11.5,-40,85,0.2,2000,226,3000,UVR1C471MPD,Uni-Polar,Radial Lead,Standard,440,MP,Normal,1.19
16,1000,0.265,10,16,-40,85,0.2,2000,480,1800,UVR1C102MPD,Uni-Polar,Radial Lead,Standard,790,MP,Normal,1.77
16,2200,0.133,12.5,20,-40,85,0.22,2000,1056,1000,UVR1C222MHD,Uni-Polar,Radial Lead,Standard,1300,MP,Normal,3.43
16,3300,0.096,12.5,25,-40,85,0.24,2000,1584,800,UVR1C332MHD,Uni-Polar,Radial Lead,Standard,1700,MP,Normal,4.56
16,4700,0.073,16,25,-40,85,0.26,2000,2256,400,UVR1C472MHD,Uni-Polar,Radial Lead,Standard,2100,MP,Normal,8.2
16,6800,0.059,16,35.5,-40,85,0.3,2000,3264,300,UVR1C682MHD,Uni-Polar,Radial Lead,Standard,2650,MP,Normal,11.8
16,10000,0.05,18,35.5,-40,85,0.38,2000,4800,250,UVR1C103MHD,Uni-Polar,Radial Lead,Standard,2950,MP,Normal,14.2
16,10000,0.05,20,31,-40,85,0.38,2000,4800,200,UVR1C103MRD6,Uni-Polar,Radial Lead,Standard,3000,EOL,Normal,13.7
16,15000,0.042,20,40,-40,85,0.48,2000,7200,150,UVR1C153MRD,Uni-Polar,Radial Lead,Standard,3400,EOL,Normal,19.6
16,15000,0.042,25,30,-40,85,0.48,2000,7200,160,UVR1C153MRD6,Uni-Polar,Radial Lead,Standard,3300,EOL,Normal,21.5
16,22000,0.037,22,50,-40,85,0.62,2000,10560,250,UVR1C223MRD,Uni-Polar,Radial Lead,Standard,4200,EOL,Normal,27.4
16,22000,0.037,25,40,-40,85,0.62,2000,10560,180,UVR1C223MRD6,Uni-Polar,Radial Lead,Standard,4000,EOL,Normal,27.4
16,33000,0.034,25,50,-40,85,0.84,2000,15840,140,UVR1C333MRD,Uni-Polar,Radial Lead,Standard,4800,EOL,Normal,38.8
25,4.7,45.15,5,11,-40,85,0.16,2000,4,6000,UVR1E4R7MDD,Uni-Polar,Radial Lead,Standard,35,EOL,Normal,0.44
