Voltage,Capacitance,Dissipation Factor,Case Size Diameter,Case Size Length,ESR(est.) 20°C@120Hz,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@500Hz,Ripple Current 105°C@50Hz,Ripple Current 105°C@60Hz,VC
420,47,0.25,14.5,25,7.055,1125,945,450,675,585,360,360,19740
420,47,0.25,16,25,7.055,1100,924,440,660,572,352,352,19740
420,56,0.25,12.5,35,5.921,1275,1071,510,765,663,408,408,23520
420,56,0.25,12.5,40,5.921,1425,1197,570,855,741,456,456,23520
420,56,0.25,14.5,30,5.921,1400,1176,560,840,728,448,448,23520
420,56,0.25,16,25,5.921,1275,1071,510,765,663,408,408,23520
420,56,0.25,18,20,5.921,1200,1008,480,720,624,384,384,23520
420,68,0.25,12.5,45,4.876,1500,1260,600,900,780,480,480,28560
420,68,0.25,12.5,50,4.876,1675,1407,670,1005,871,536,536,28560
420,68,0.25,14.5,35,4.876,1600,1344,640,960,832,512,512,28560
420,68,0.25,16,30,4.876,1400,1176,560,840,728,448,448,28560
420,68,0.25,18,25,4.876,1538,1291.5,615,922.5,799.5,492,492,28560
420,82,0.25,12.5,50,4.044,1725,1449,690,1035,897,552,552,34440
420,82,0.25,14.5,40,4.044,1700,1428,680,1020,884,544,544,34440
420,82,0.25,14.5,45,4.044,1875,1575,750,1125,975,600,600,34440
420,82,0.25,16,30,4.044,1600,1344,640,960,832,512,512,34440
420,82,0.25,16,35,4.044,1725,1449,690,1035,897,552,552,34440
420,82,0.25,18,25,4.044,1600,1344,640,960,832,512,512,34440
420,82,0.25,18,30,4.044,1825,1533,730,1095,949,584,584,34440
420,100,0.25,14.5,45,3.316,1778,1580,790,1185,1027,632,632,42000
420,100,0.25,14.5,50,3.316,1901,1690,845,1267.5,1098.5,676,676,42000
420,100,0.25,16,35,3.316,1643,1460,730,1095,949,584,584,42000
420,100,0.25,16,40,3.316,1800,1600,800,1200,1040,640,640,42000
420,100,0.25,18,30,3.316,1755,1560,780,1170,1014,624,624,42000
420,100,0.25,18,35,3.316,1879,1670,835,1252.5,1085.5,668,668,42000
420,120,0.25,16,40,2.763,1890,1680,840,1260,1092,672,672,50400
420,120,0.25,16,45,2.763,2070,1840,920,1380,1196,736,736,50400
420,120,0.25,18,35,2.763,1913,1700,850,1275,1105,680,680,50400
420,120,0.25,18,40,2.763,2093,1860,930,1395,1209,744,744,50400
420,150,0.25,16,50,2.21,2115,1880,940,1410,1222,752,752,63000
420,150,0.25,18,40,2.21,2250,2000,1000,1500,1300,800,800,63000
420,150,0.25,18,45,2.21,2385,2120,1060,1590,1378,848,848,63000
420,180,0.25,18,45,1.842,2475,2200,1100,1650,1430,880,880,75600
450,10,0.25,10,16,33.157,325,273,130,195,169,104,104,4500
450,15,0.25,10,20,22.105,475,399,190,285,247,152,152,6750
450,15,0.25,16,16,22.105,525,441,210,315,273,168,168,6750
450,18,0.25,10,25,18.421,575,483,230,345,299,184,184,8100
450,22,0.25,10,30,15.072,675,567,270,405,351,216,216,9900
450,22,0.25,12.5,20,15.072,700,588,280,420,364,224,224,9900
450,22,0.25,18,16,15.072,850,714,340,510,442,272,272,9900
450,27,0.25,10,35,12.28,800,672,320,480,416,256,256,12150
450,27,0.25,12.5,25,12.28,850,714,340,510,442,272,272,12150
450,27,0.25,14.5,20,12.28,838,703.5,335,502.5,435.5,268,268,12150
450,33,0.25,10,40,10.048,900,756,360,540,468,288,288,14850
450,33,0.25,12.5,25,10.048,900,756,360,540,468,288,288,14850
450,33,0.25,12.5,30,10.048,1000,840,400,600,520,320,320,14850
450,33,0.25,14.5,25,10.048,1000,840,400,600,520,320,320,14850
450,39,0.25,10,45,8.502,1025,861,410,615,533,328,328,17550
450,39,0.25,12.5,30,8.502,1075,903,430,645,559,344,344,17550
450,39,0.25,12.5,35,8.502,1150,966,460,690,598,368,368,17550
450,39,0.25,14.5,25,8.502,1075,903,430,645,559,344,344,17550
450,39,0.25,16,20,8.502,1000,840,400,600,520,320,320,17550
450,47,0.25,12.5,35,7.055,1200,1008,480,720,624,384,384,21150
450,47,0.25,12.5,40,7.055,1313,1102.5,525,787.5,682.5,420,420,21150
450,47,0.25,14.5,30,7.055,1288,1081.5,515,772.5,669.5,412,412,21150
450,47,0.25,16,25,7.055,1250,1050,500,750,650,400,400,21150
450,47,0.25,18,20,7.055,1150,966,460,690,598,368,368,21150
450,56,0.25,12.5,40,5.921,1350,1134,540,810,702,432,432,25200
450,56,0.25,12.5,45,5.921,1475,1239,590,885,767,472,472,25200
450,56,0.25,14.5,30,5.921,1350,1134,540,810,702,432,432,25200
450,56,0.25,14.5,35,5.921,1450,1218,580,870,754,464,464,25200
450,56,0.25,16,25,5.921,1325,1113,530,795,689,424,424,25200
450,56,0.25,16,30,5.921,1463,1228.5,585,877.5,760.5,468,468,25200
450,56,0.25,18,25,5.921,1400,1176,560,840,728,448,448,25200
450,68,0.25,12.5,45,4.876,1525,1281,610,915,793,488,488,30600
450,68,0.25,12.5,50,4.876,1675,1407,670,1005,871,536,536,30600
450,68,0.25,14.5,35,4.876,1550,1302,620,930,806,496,496,30600
450,68,0.25,14.5,40,4.876,1650,1386,660,990,858,528,528,30600
450,68,0.25,16,30,4.876,1525,1281,610,915,793,488,488,30600
450,68,0.25,16,35,4.876,1650,1386,660,990,858,528,528,30600
450,68,0.25,18,25,4.876,1525,1281,610,915,793,488,488,30600
450,82,0.25,14.5,40,4.044,1675,1407,670,1005,871,536,536,36900
450,82,0.25,14.5,45,4.044,1850,1554,740,1110,962,592,592,36900
450,82,0.25,16,35,4.044,1725,1449,690,1035,897,552,552,36900
450,82,0.25,16,40,4.044,1875,1575,750,1125,975,600,600,36900
450,82,0.25,18,30,4.044,1825,1533,730,1095,949,584,584,36900
450,100,0.25,14.5,50,3.316,1823,1620,810,1215,1053,648,648,45000
450,100,0.25,16,40,3.316,1733,1540,770,1155,1001,616,616,45000
450,100,0.25,16,45,3.316,1890,1680,840,1260,1092,672,672,45000
450,100,0.25,18,30,3.316,1688,1500,750,1125,975,600,600,45000
450,100,0.25,18,35,3.316,1879,1670,835,1252.5,1085.5,668,668,45000
450,120,0.25,16,45,2.763,1980,1760,880,1320,1144,704,704,54000
450,120,0.25,18,35,2.763,1935,1720,860,1290,1118,688,688,54000
450,120,0.25,18,40,2.763,2093,1860,930,1395,1209,744,744,54000
450,150,0.25,18,45,2.21,2250,2000,1000,1500,1300,800,800,67500
450,150,0.25,18,50,2.21,2385,2120,1060,1590,1378,848,848,67500
450,180,0.25,18,50,1.842,2475,2200,1100,1650,1430,880,880,81000
