Voltage,Capacitance,ESR(est.) 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Frequency Coefficient 100kHz,Frequency Coefficient 10kHz,Frequency Coefficient 120Hz,Frequency Coefficient 1kHz,Impedance -10°C,Impedance 20°C,Part Number,Ripple Current 105°C@100kHz,VC
10,10000,0.037,16,35.5,0.19,0.052,1.18,1.15,1.0,1.12,0.042,0.014,EKZN100E□□103MLP1S,4280,100000.0
10,10000,0.037,18,31.5,0.19,0.052,1.18,1.15,1.0,1.12,0.042,0.014,EKZN100E□□103MMN3S,4190,100000.0
10,12000,0.034,16,40,0.19,0.048,1.18,1.15,1.0,1.12,0.039,0.013,EKZN100E□□123ML40S,4580,120000.0
10,12000,0.034,18,35.5,0.19,0.048,1.18,1.15,1.0,1.12,0.036,0.012,EKZN100E□□123MMP1S,4380,120000.0
10,15000,0.031,18,40,0.19,0.043,1.18,1.15,1.0,1.12,0.033,0.011,EKZN100E□□153MM40S,4960,150000.0
16,120,0.283,5,11,0.16,1.768,2.5,2.25,1.0,1.88,1.2,0.38,EKZN160E□□121ME11D,450,1920.0
16,270,0.196,6.3,11,0.16,0.786,2.0,1.88,1.0,1.7,0.51,0.17,EKZN160E□□271MF11D,700,4320.0
16,470,0.113,8,11.5,0.16,0.452,2.0,1.88,1.0,1.7,0.23,0.075,EKZN160E□□471MHB5D,1200,7520.0
16,680,0.112,8,15,0.16,0.312,1.67,1.58,1.0,1.45,0.18,0.059,EKZN160E□□681MH15D,1600,10880.0
16,680,0.112,10,12.5,0.16,0.312,1.67,1.58,1.0,1.45,0.16,0.053,EKZN160E□□681MJC5S,1700,10880.0
16,820,0.093,8,20,0.16,0.259,1.67,1.58,1.0,1.45,0.13,0.041,EKZN160E□□821MH20D,1960,13120.0
16,1000,0.086,10,16,0.16,0.239,1.67,1.58,1.0,1.45,0.12,0.038,EKZN160E□□102MJ16S,2000,16000.0
16,1500,0.057,10,20,0.16,0.159,1.67,1.58,1.0,1.45,0.084,0.028,EKZN160E□□152MJ20S,2500,24000.0
16,1500,0.057,12.5,16,0.16,0.159,1.67,1.58,1.0,1.45,0.11,0.035,EKZN160E□□152MK16S,2400,24000.0
16,1800,0.048,10,25,0.16,0.133,1.67,1.58,1.0,1.45,0.072,0.026,EKZN160E□□182MJ25S,2900,28800.0
16,2200,0.068,12.5,20,0.16,0.121,1.33,1.27,1.0,1.2,0.075,0.025,EKZN160E□□222MK20S,2600,35200.0
16,2700,0.056,12.5,25,0.16,0.098,1.33,1.27,1.0,1.2,0.057,0.019,EKZN160E□□272MK25S,3200,43200.0
16,3300,0.05,12.5,30,0.16,0.088,1.33,1.27,1.0,1.2,0.054,0.018,EKZN160E□□332MK30S,3660,52800.0
16,3900,0.042,12.5,35,0.16,0.075,1.33,1.27,1.0,1.2,0.048,0.016,EKZN160E□□392MK35S,4120,62400.0
