Voltage,Capacitance,ESR(est.) 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Frequency Coefficient 100kHz,Frequency Coefficient 10kHz,Frequency Coefficient 120Hz,Frequency Coefficient 1kHz,Impedance -10°C,Impedance 20°C,Part Number,Ripple Current 105°C@100kHz,VC
80,470,0.063,16,20,0.09,0.254,2.0,1.88,1.0,1.7,0.12,0.036,EKZN800E□□471ML20S,2150,37600.0
80,560,0.053,12.5,35,0.09,0.213,2.0,1.88,1.0,1.7,0.078,0.026,EKZN800E□□561MK35S,2860,44800.0
80,680,0.063,12.5,40,0.09,0.176,1.67,1.58,1.0,1.45,0.078,0.026,EKZN800E□□681MK40S,3150,54400.0
80,680,0.063,16,25,0.09,0.176,1.67,1.58,1.0,1.45,0.084,0.028,EKZN800E□□681ML25S,2620,54400.0
80,680,0.063,18,20,0.09,0.176,1.67,1.58,1.0,1.45,0.096,0.032,EKZN800E□□681MM20S,2280,54400.0
80,820,0.052,16,31.5,0.09,0.146,1.67,1.58,1.0,1.45,0.066,0.022,EKZN800E□□821MLN3S,2900,65600.0
80,820,0.052,18,25,0.09,0.146,1.67,1.58,1.0,1.45,0.081,0.027,EKZN800E□□821MM25S,2750,65600.0
80,1000,0.052,18,25,0.09,0.146,1.67,1.58,1.0,1.45,0.081,0.027,EKZN800E□□102MM25S,2750,80000.0
80,1000,0.052,16,35.5,0.09,0.146,1.67,1.58,1.0,1.45,0.06,0.02,EKZN800E□□102MLP1S,3150,80000.0
80,1200,0.044,16,40,0.09,0.122,1.67,1.58,1.0,1.45,0.054,0.018,EKZN800E□□122ML40S,3710,96000.0
80,1200,0.044,18,31.5,0.09,0.122,1.67,1.58,1.0,1.45,0.06,0.02,EKZN800E□□122MMN3S,3150,96000.0
80,1500,0.035,18,35.5,0.09,0.097,1.67,1.58,1.0,1.45,0.054,0.018,EKZN800E□□152MMP1S,3710,120000.0
80,1800,0.029,18,40,0.09,0.081,1.67,1.58,1.0,1.45,0.051,0.017,EKZN800E□□182MM40S,4060,144000.0
100,8.2,2.07,5,11,0.08,12.939,2.5,2.25,1.0,1.88,3.2,0.72,EKZN101E□□8R2ME11D,235,819.9999999999999
100,18,0.943,6.3,11,0.08,5.895,2.5,2.25,1.0,1.88,1.5,0.34,EKZN101E□□180MF11D,390,1800.0
100,33,0.514,8,11.5,0.08,3.215,2.5,2.25,1.0,1.88,0.9,0.2,EKZN101E□□330MHB5D,650,3300.0
100,47,0.361,8,15,0.08,2.258,2.5,2.25,1.0,1.88,0.63,0.14,EKZN101E□□470MH15D,820,4700.0
100,56,0.303,8,20,0.08,1.895,2.5,2.25,1.0,1.88,0.54,0.12,EKZN101E□□560MH20D,1090,5600.0
100,56,0.303,10,12.5,0.08,1.895,2.5,2.25,1.0,1.88,0.56,0.14,EKZN101E□□560MJC5S,860,5600.0
100,82,0.207,10,16,0.08,1.294,2.5,2.25,1.0,1.88,0.36,0.09,EKZN101E□□820MJ16S,1150,8200.0
100,100,0.17,10,20,0.08,1.061,2.5,2.25,1.0,1.88,0.28,0.068,EKZN101E□□101MJ20S,1570,10000.0
100,120,0.141,10,20,0.08,0.884,2.5,2.25,1.0,1.88,0.28,0.068,EKZN101E□□121MJ20S,1570,12000.0
100,120,0.141,12.5,16,0.08,0.884,2.5,2.25,1.0,1.88,0.27,0.09,EKZN101E□□121MK16S,1430,12000.0
100,150,0.113,10,25,0.08,0.707,2.5,2.25,1.0,1.88,0.22,0.055,EKZN101E□□151MJ25S,1780,15000.0
100,180,0.094,12.5,20,0.08,0.589,2.5,2.25,1.0,1.88,0.15,0.048,EKZN101E□□181MK20S,1800,18000.0
100,220,0.121,12.5,25,0.08,0.482,2.0,1.88,1.0,1.7,0.12,0.038,EKZN101E□□221MK25S,2210,22000.0
100,270,0.098,12.5,30,0.08,0.393,2.0,1.88,1.0,1.7,0.11,0.033,EKZN101E□□271MK30S,2520,27000.0
100,270,0.098,16,20,0.08,0.393,2.0,1.88,1.0,1.7,0.12,0.036,EKZN101E□□271ML20S,2150,27000.0
100,330,0.08,16,20,0.08,0.322,2.0,1.88,1.0,1.7,0.12,0.036,EKZN101E□□331ML20S,2150,33000.0
100,390,0.068,12.5,35,0.08,0.272,2.0,1.88,1.0,1.7,0.078,0.026,EKZN101E□□391MK35S,2860,39000.0
100,390,0.068,16,25,0.08,0.272,2.0,1.88,1.0,1.7,0.084,0.028,EKZN101E□□391ML25S,2620,39000.0
100,390,0.068,18,20,0.08,0.272,2.0,1.88,1.0,1.7,0.096,0.032,EKZN101E□□391MM20S,2280,39000.0
100,470,0.056,12.5,40,0.08,0.226,2.0,1.88,1.0,1.7,0.078,0.026,EKZN101E□□471MK40S,3150,47000.0
100,470,0.056,16,31.5,0.08,0.226,2.0,1.88,1.0,1.7,0.066,0.022,EKZN101E□□471MLN3S,2900,47000.0
100,560,0.047,16,31.5,0.08,0.189,2.0,1.88,1.0,1.7,0.066,0.022,EKZN101E□□561MLN3S,2900,56000.0
100,560,0.047,16,35.5,0.08,0.189,2.0,1.88,1.0,1.7,0.06,0.02,EKZN101E□□561MLP1S,3150,56000.0
100,560,0.047,18,25,0.08,0.189,2.0,1.88,1.0,1.7,0.081,0.027,EKZN101E□□561MM25S,2750,56000.0
100,680,0.056,16,35.5,0.08,0.156,1.67,1.58,1.0,1.45,0.06,0.02,EKZN101E□□681MLP1S,3150,68000.0
100,680,0.056,16,40,0.08,0.156,1.67,1.58,1.0,1.45,0.054,0.018,EKZN101E□□681ML40S,3710,68000.0
100,680,0.056,18,31.5,0.08,0.156,1.67,1.58,1.0,1.45,0.06,0.02,EKZN101E□□681MMN3S,3150,68000.0
100,820,0.046,16,40,0.08,0.129,1.67,1.58,1.0,1.45,0.054,0.018,EKZN101E□□821ML40S,3710,82000.0
100,820,0.046,18,35.5,0.08,0.129,1.67,1.58,1.0,1.45,0.054,0.018,EKZN101E□□821MMP1S,3710,82000.0
100,1000,0.048,18,40,0.08,0.133,1.67,1.58,1.0,1.45,0.051,0.017,EKZN101E□□102MM40S,4060,100000.0
