Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Dissipation Factor,Part Number,Ripple Current 105°C@120Hz
200,82,1.941,10,30,0.12,EPAG201E□□820MJ30S,440
200,100,1.592,10,35,0.12,EPAG201E□□101MJ35S,510
200,120,1.326,10,40,0.12,EPAG201E□□121MJ40S,590
200,150,1.061,12.5,30,0.12,EPAG201E□□151MK30S,650
200,180,0.884,12.5,35,0.12,EPAG201E□□181MK35S,750
200,220,0.723,12.5,40,0.12,EPAG201E□□221MK40S,830
200,220,0.723,14.5,30,0.12,EPAG201E□□221MU30S,830
200,270,0.589,14.5,35,0.12,EPAG201E□□271MU35S,960
200,270,0.589,16,30,0.12,EPAG201E□□271ML30S,960
200,330,0.482,16,35,0.12,EPAG201E□□331ML35S,1100
200,330,0.482,18,30,0.12,EPAG201E□□331MM30S,1100
200,390,0.408,16,40,0.12,EPAG201E□□391ML40S,1240
200,390,0.408,18,35,0.12,EPAG201E□□391MM35S,1240
200,470,0.339,18,40,0.12,EPAG201E□□471MM40S,1390
200,560,0.284,18,45,0.12,EPAG201E□□561MM45S,1560
400,27,7.368,10,30,0.15,EPAG401E□□270MJ30S,260
400,33,6.029,10,35,0.15,EPAG401E□□330MJ35S,300
400,39,5.101,10,40,0.15,EPAG401E□□390MJ40S,340
400,47,4.233,12.5,30,0.15,EPAG401E□□470MK30S,370
400,56,3.553,12.5,35,0.15,EPAG401E□□560MK35S,420
400,68,2.926,12.5,40,0.15,EPAG401E□□680MK40S,480
400,68,2.926,14.5,30,0.15,EPAG401E□□680MU30S,480
400,82,2.426,14.5,35,0.15,EPAG401E□□820MU35S,530
400,100,1.989,14.5,40,0.15,EPAG401E□□101MU40S,580
400,100,1.989,16,30,0.15,EPAG401E□□101ML30S,580
400,120,1.658,16,35,0.15,EPAG401E□□121ML35S,670
400,120,1.658,18,30,0.15,EPAG401E□□121MM30S,670
400,150,1.326,16,40,0.15,EPAG401E□□151ML40S,770
400,150,1.326,18,35,0.15,EPAG401E□□151MM35S,770
400,180,1.105,18,40,0.15,EPAG401E□□181MM40S,880
400,220,0.904,18,45,0.15,EPAG401E□□221MM45S,1000
420,22,12.057,10,30,0.2,EPAG421E□□220MJ30S,230
420,27,9.824,10,35,0.2,EPAG421E□□270MJ35S,270
420,33,8.038,10,40,0.2,EPAG421E□□330MJ40S,310
420,39,6.801,12.5,30,0.2,EPAG421E□□390MK30S,330
420,47,5.644,12.5,35,0.2,EPAG421E□□470MK35S,390
420,56,4.737,12.5,40,0.2,EPAG421E□□560MK40S,430
420,56,4.737,14.5,30,0.2,EPAG421E□□560MU30S,430
420,68,3.901,14.5,35,0.2,EPAG421E□□680MU35S,510
420,68,3.901,16,30,0.2,EPAG421E□□680ML30S,510
420,82,3.235,14.5,40,0.2,EPAG421E□□820MU40S,570
420,82,3.235,16,35,0.2,EPAG421E□□820ML35S,570
420,100,2.653,16,40,0.2,EPAG421E□□101ML40S,610
420,100,2.653,18,30,0.2,EPAG421E□□101MM30S,610
420,120,2.21,18,35,0.2,EPAG421E□□121MM35S,690
420,150,1.768,18,40,0.2,EPAG421E□□151MM40S,790
450,18,14.737,10,30,0.2,EPAG451E□□180MJ30S,210
450,22,12.057,10,35,0.2,EPAG451E□□220MJ35S,240
450,27,9.824,10,40,0.2,EPAG451E□□270MJ40S,280
450,33,8.038,12.5,30,0.2,EPAG451E□□330MK30S,310
450,39,6.801,12.5,35,0.2,EPAG451E□□390MK35S,350
450,47,5.644,12.5,40,0.2,EPAG451E□□470MK40S,390
450,47,5.644,14.5,30,0.2,EPAG451E□□470MU30S,390
450,56,4.737,14.5,35,0.2,EPAG451E□□560MU35S,440
450,56,4.737,16,30,0.2,EPAG451E□□560ML30S,440
450,68,3.901,14.5,40,0.2,EPAG451E□□680MU40S,500
450,68,3.901,16,35,0.2,EPAG451E□□680ML35S,500
450,82,3.235,16,40,0.2,EPAG451E□□820ML40S,550
450,82,3.235,18,30,0.2,EPAG451E□□820MM30S,550
450,100,2.653,18,35,0.2,EPAG451E□□101MM35S,650
450,120,2.21,18,40,0.2,EPAG451E□□121MM40S,740
450,150,1.768,18,45,0.2,EPAG451E□□151MM45S,810
