Voltage,Capacitance,Dissipation Factor,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,ESR(est.) 20°C@120Hz,Impedance -10°C@100kHz,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,VC
25,100,0.14,0.4,5,11,1.857,1.2,250,237.76,174.83,211.54,2500
25,220,0.14,0.22,6.3,11,0.844,0.87,400,380.42,279.72,338.46,5500
25,330,0.14,0.13,8,11.5,0.563,0.52,640,608.67,447.55,541.54,8250
25,470,0.14,0.08,10,12.5,0.395,0.32,865,851.99,650.38,780.45,11750
25,1000,0.14,0.046,10,20,0.212,0.18,1400,1378.95,1052.63,1263.16,25000
25,2200,0.14,0.032,12.5,25,0.109,0.11,2230,2230,1784,2122.96,55000
25,3300,0.14,0.021,16,25,0.08,0.06,2930,2930,2344,2789.36,82500
25,4700,0.14,0.019,16,31.5,0.062,0.056,3450,3450,2760,3284.4,117500
35,33,0.12,0.4,5,11,4.823,1.2,250,225.27,137.36,186.81,1155
35,47,0.12,0.4,5,11,3.386,1.2,250,225.27,137.36,186.81,1645
35,100,0.12,0.22,6.3,11,1.592,0.87,400,380.42,279.72,338.46,3500
35,220,0.12,0.13,8,11.5,0.723,0.52,640,608.67,447.55,541.54,7700
35,330,0.12,0.08,10,12.5,0.482,0.32,865,822.66,604.9,731.92,11550
35,470,0.12,0.062,10,16,0.339,0.25,1210,1191.8,909.77,1091.73,16450
35,1000,0.12,0.041,12.5,20,0.186,0.14,1900,1871.43,1428.57,1714.29,35000
35,2200,0.12,0.021,16,25,0.096,0.06,2930,2930,2344,2789.36,77000
35,3300,0.12,0.019,16,31.5,0.072,0.056,3450,3450,2760,3284.4,115500
50,1,0.1,4,5,11,132.629,8,30,24.02,10.49,17.94,50
50,2.2,0.1,2.5,5,11,60.286,6,43,34.33,18.07,25.84,110.00000000000001
50,3.3,0.1,2.2,5,11,40.191,5.6,53,42.31,22.27,31.84,165
50,4.7,0.1,1.9,5,11,28.219,5,88,70.25,36.97,52.87,235
50,10,0.1,1.5,5,11,13.263,4,100,79.83,42.02,60.08,500
50,22,0.1,0.7,5,11,6.029,2.8,180,162.2,98.9,134.51,1100
50,33,0.1,0.7,5,11,4.019,2.8,250,225.27,137.36,186.81,1650
50,47,0.1,0.3,6.3,11,2.822,1.2,295,265.82,162.09,220.44,2350
50,100,0.1,0.17,8,11.5,1.326,0.68,555,527.83,388.11,469.62,5000
50,220,0.1,0.084,10,16,0.603,0.34,1050,998.6,734.27,888.46,11000
50,330,0.1,0.06,10,20,0.402,0.24,1220,1160.28,853.15,1032.31,16500
50,470,0.1,0.045,12.5,20,0.282,0.15,1660,1635.04,1248.12,1497.74,23500
50,1000,0.1,0.032,16,25,0.159,0.096,2730,2688.95,2052.63,2463.16,50000
50,2200,0.1,0.019,16,35.5,0.084,0.057,3150,3150,2520,2998.8,110000
63,10,0.09,0.88,5,11,11.937,3.5,173,,,,630
63,22,0.09,0.88,5,11,5.426,3.5,173,,,,1386
63,33,0.09,0.35,6.3,11,3.617,1.4,278,,,,2079
63,47,0.09,0.35,6.3,11,2.54,1.4,278,,,,2961
63,100,0.09,0.15,10,12.5,1.194,0.6,725,578.78,304.62,435.61,6300
63,220,0.09,0.078,10,20,0.543,0.31,1200,,,,13860
63,330,0.09,0.06,12.5,20,0.362,0.19,1570,,,,20790
63,470,0.09,0.043,12.5,25,0.254,0.14,1990,,,,29610
63,1000,0.09,0.032,16,25,0.146,0.096,2730,,,,63000
100,1,0.08,4.5,5,11,106.103,15,20,,,,100
100,2.2,0.08,3,5,11,48.229,13,30,,,,220.00000000000003
100,3.3,0.08,2.7,5,11,32.153,11,40,,,,330
100,4.7,0.08,2.5,5,11,22.575,10,65,,,,470
100,10,0.08,0.57,6.3,11,10.61,2.3,267,,,,1000
100,22,0.08,0.57,6.3,11,4.823,2.3,267,,,,2200
100,33,0.08,0.36,8,11.5,3.215,1.4,462,,,,3300
100,47,0.08,0.25,8,16,2.258,1,585,,,,4700
100,100,0.08,0.12,10,20,1.061,0.52,1040,830.25,436.97,624.87,10000
100,220,0.08,0.06,12.5,25,0.482,0.23,1620,,,,22000
100,330,0.08,0.044,16,25,0.322,0.16,2210,,,,33000
