Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,ESR(est.) 20°C@120Hz,Endurance,Frequency Coefficient 100kHz,Frequency Coefficient 10kHz,Frequency Coefficient 120Hz,Frequency Coefficient 1kHz,Impedance -10°C@100kHz,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@100kHz,Status,VC,Vibration resistant,Weight (g)
10,680,0.141,0.126,0.059,8,11.5,-40,105,0.18,0.351,6000,1.67,1.58,1.0,1.45,0.181,68,3000,UHV1A681MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,990,MP,6800.0,Normal,1.19
10,820,0.117,0.104,0.043,10,12.5,-40,105,0.18,0.291,6000,1.67,1.58,1.0,1.45,0.133,82,2000,UHV1A821MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1250,MP,8200.0,Normal,1.49
10,1000,0.106,0.095,0.046,8,15,-40,105,0.18,0.265,6000,1.67,1.58,1.0,1.45,0.143,100,2000,UHV1A102MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1330,MP,10000.0,Normal,1.36
10,1000,0.106,0.095,0.043,10,12.5,-40,105,0.18,0.265,6000,1.67,1.58,1.0,1.45,0.133,100,2000,UHV1A102MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1360,MP,10000.0,Normal,1.49
10,1200,0.089,0.079,0.03,10,16,-40,105,0.18,0.221,6000,1.67,1.58,1.0,1.45,0.095,120,1800,UHV1A122MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1650,MP,12000.0,Normal,1.77
10,1500,0.071,0.063,0.031,8,20,-40,105,0.18,0.177,6000,1.67,1.58,1.0,1.45,0.105,150,2000,UHV1A152MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1550,MP,15000.0,Normal,1.66
10,1500,0.071,0.063,0.03,10,16,-40,105,0.18,0.177,6000,1.67,1.58,1.0,1.45,0.095,150,1800,UHV1A152MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1815,MP,15000.0,Normal,1.77
10,1800,0.059,0.053,0.019,10,20,-40,105,0.18,0.147,6000,1.67,1.58,1.0,1.45,0.057,180,1400,UHV1A182MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2160,MP,18000.0,Normal,2.34
10,2200,0.09,0.082,0.017,10,25,-40,105,0.2,0.145,6000,1.33,1.27,1.0,1.2,0.051,220,1200,UHV1A222MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2475,MP,22000.0,Normal,3.07
10,2700,0.073,0.067,0.016,12.5,20,-40,105,0.2,0.118,6000,1.33,1.27,1.0,1.2,0.041,270,1000,UHV1A272MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2475,MP,27000.0,Normal,3.43
10,3300,0.07,0.064,0.016,12.5,20,-40,105,0.22,0.113,6000,1.33,1.27,1.0,1.2,0.041,330,1000,UHV1A332MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2725,MP,33000.0,Normal,3.43
10,3900,0.059,0.054,0.014,12.5,25,-40,105,0.22,0.095,6000,1.33,1.27,1.0,1.2,0.036,390,800,UHV1A392MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3190,MP,39000.0,Normal,4.56
10,4700,0.068,0.065,0.012,12.5,30.5,-40,105,0.24,0.09,6000,1.18,1.15,1.0,1.12,0.031,470,600,UHV1A472MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3795,MP,47000.0,Normal,6.01
10,4700,0.068,0.065,0.014,16,20,-40,105,0.24,0.09,6000,1.18,1.15,1.0,1.12,0.036,470,600,UHV1A472MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3575,MP,47000.0,Normal,6.6
10,5600,0.064,0.061,0.011,12.5,35.5,-40,105,0.26,0.085,6000,1.18,1.15,1.0,1.12,0.029,560,500,UHV1A562MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3975,MP,56000.0,Normal,7.06
10,6800,0.059,0.056,0.012,16,25,-40,105,0.28,0.078,6000,1.18,1.15,1.0,1.12,0.033,680,400,UHV1A682MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3990,MP,68000.0,Normal,8.2
