Voltage,Capacitance,Dissipation Factor,Case Size Diameter,Case Size Length,ESR(est.) 20°C@120Hz,Leakage Current,Part Number,Ripple Current 105°C@100kHz,Surge Voltage,Z 20°C@100kHz
6.3,150,22,5,11,194.523,9.5,ESC157M6R3AC3(1),200,8,0.42
6.3,220,22,6.3,11,132.629,13.9,ESC227M6R3AE3(1),250,8,0.32
6.3,270,22,6.3,11,108.068,17,ESC277M6R3AE3(1),250,8,0.22
6.3,330,22,6.3,11,88.419,20.8,ESC337M6R3AE3(1),250,8,0.23
6.3,330,22,8,11,88.419,20.8,ESC337M6R3AG3(1),400,8,0.18
6.3,470,22,6.3,11,62.082,29.6,ESC477M6R3AE3(1),440,8,0.18
6.3,470,22,8,11,62.082,29.6,ESC477M6R3AG3(1),550,8,0.14
6.3,680,22,8,11,42.909,42.8,ESC687M6R3AG3(1),580,8,0.12
6.3,680,22,8,15,42.909,42.8,ESC687M6R3AG4(1),700,8,0.1
6.3,820,22,8,20,35.583,51.7,ESC827M6R3AG6(1),750,8,0.085
6.3,1000,22,8,11,29.205,63,ESC108M6R3AG3(1),580,8,0.15
6.3,1000,22,8,15,29.205,63,ESC108M6R3AG4(1),700,8,0.085
6.3,1000,22,8,20,29.205,63,ESC108M6R3AG6(1),800,8,0.069
6.3,1000,22,10,12.5,29.205,63,ESC108M6R3AH9(1),690,8,0.08
6.3,1200,22,10,16,24.337,75.6,ESC128M6R3AH8(1),1000,8,0.064
6.3,1500,22,8,15,19.47,94.5,ESC158M6R3AG4(1),980,8,0.085
6.3,1500,22,8,20,19.47,94.5,ESC158M6R3AG6(1),800,8,0.051
6.3,1500,22,10,16,19.47,94.5,ESC158M6R3AH8(1),1070,8,0.055
6.3,1500,22,10,20,19.47,94.5,ESC158M6R3AH4(1),1250,8,0.044
6.3,2200,22,10,20,13.287,138.6,ESC228M6R3AH4(1),1220,8,0.051
6.3,2200,22,10,25,13.287,138.6,ESC228M6R3AH5(1),1310,8,0.048
6.3,2200,22,13,20,13.287,138.6,ESC228M6R3AL3(1),1450,8,0.043
6.3,3300,22,10,25,8.866,207.9,ESC338M6R3AH5(1),1400,8,0.043
6.3,3300,22,13,25,8.866,207.9,ESC338M6R3AL4(1),1700,8,0.035
6.3,3900,22,13,25,7.502,245.7,ESC398M6R3AL4(1),1750,8,0.032
6.3,4700,22,13,25,6.231,296.1,ESC478M6R3AL4(1),1520,8,0.032
6.3,4700,22,13,30,6.231,296.1,ESC478M6R3AL8(1),1570,8,0.033
6.3,4700,22,16,25,6.231,296.1,ESC478M6R3AM7(1),1800,8,0.028
6.3,6800,22,16,32,4.314,428.4,ESC688M6R3AM2(1),2000,8,0.024
6.3,8200,22,16,32,3.584,516.6,ESC828M6R3AM2(1),2350,8,0.019
6.3,10000,22,16,36,2.944,630,ESC109M6R3AM3(1),2550,8,0.019
6.3,15000,22,18,36,1.972,945,ESC159M6R3AN2(1),3000,8,0.019
10,100,19,5,11,251.996,10,ESC107M010AC3(1),150,13,0.42
10,120,19,5,11,209.996,12,ESC127M010AC3(1),200,13,0.37
10,150,19,6.3,11,167.997,15,ESC157M010AE3(1),250,13,0.32
10,220,19,6.3,11,114.543,22,ESC227M010AE3(1),300,13,0.22
10,330,19,8,11,76.362,33,ESC337M010AG3(1),550,13,0.14
10,470,19,8,11,53.616,47,ESC477M010AG3(1),550,13,0.12
10,470,19,8,15,53.616,47,ESC477M010AG4(1),750,13,0.1
10,680,19,8,11,37.058,68,ESC687M010AG3(1),640,13,0.11
10,680,19,10,12.5,37.058,68,ESC687M010AH9(1),800,13,0.085
10,820,19,10,16,30.731,82,ESC827M010AH8(1),1050,13,0.064
10,1000,19,8,20,25.226,100,ESC108M010AG6(1),1080,13,0.065
