Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Dissipation Factor,Ripple Current @100kHz,Ripple Current @120Hz
400,15,22.105,10,20,0.25,0.5,0.2
400,18,18.421,10,25,0.25,0.588,0.235
400,22,15.072,10,30,0.25,0.688,0.275
400,22,15.072,12.5,20,0.25,0.65,0.26
400,27,12.28,10,35,0.25,0.8,0.32
400,27,12.28,12.5,25,0.25,0.775,0.31
400,27,12.28,14.5,20,0.25,0.775,0.31
400,33,10.048,10,40,0.25,0.925,0.37
400,33,10.048,10,45,0.25,0.95,0.38
400,33,10.048,16,20,0.25,0.888,0.355
400,39,8.502,10,50,0.25,1.063,0.425
400,39,8.502,12.5,30,0.25,0.988,0.395
400,39,8.502,14.5,25,0.25,0.988,0.395
400,47,7.055,12.5,35,0.25,1.138,0.455
400,47,7.055,14.5,30,0.25,1.15,0.46
400,47,7.055,16,25,0.25,1.125,0.45
400,47,7.055,18,20,0.25,1.088,0.435
400,56,5.921,12.5,40,0.25,1.288,0.515
400,56,5.921,12.5,45,0.25,1.338,0.535
400,56,5.921,14.5,35,0.25,1.313,0.525
400,68,4.876,12.5,50,0.25,1.513,0.605
400,68,4.876,14.5,40,0.25,1.488,0.595
400,68,4.876,16,30,0.25,1.413,0.565
400,68,4.876,18,25,0.25,1.375,0.55
400,82,4.044,14.5,45,0.25,1.7,0.68
400,82,4.044,16,35,0.25,1.613,0.645
400,82,4.044,16,40,0.25,1.688,0.675
400,82,4.044,18,30,0.25,1.6,0.64
400,100,3.316,14.5,50,0.25,1.733,0.77
400,100,3.316,16,45,0.25,1.733,0.77
400,100,3.316,18,35,0.25,1.665,0.74
400,120,2.763,16,50,0.25,1.946,0.865
400,120,2.763,18,40,0.25,1.879,0.835
400,120,2.763,18,45,0.25,1.958,0.87
400,150,2.21,18,50,0.25,2.239,0.995
420,12,27.631,10,20,0.25,0.438,0.175
420,15,22.105,10,25,0.25,0.525,0.21
420,18,18.421,10,30,0.25,0.6,0.24
420,18,18.421,12.5,20,0.25,0.575,0.23
420,22,15.072,10,35,0.25,0.7,0.28
420,22,15.072,14.5,20,0.25,0.688,0.275
420,27,12.28,10,40,0.25,0.775,0.31
420,27,12.28,10,45,0.25,0.838,0.335
420,27,12.28,12.5,25,0.25,0.75,0.3
420,27,12.28,16,20,0.25,0.775,0.31
420,33,10.048,10,50,0.25,0.963,0.385
420,33,10.048,12.5,30,0.25,0.888,0.355
420,33,10.048,14.5,25,0.25,0.888,0.355
420,39,8.502,12.5,35,0.25,1.013,0.405
420,39,8.502,16,25,0.25,1.0,0.4
420,39,8.502,18,20,0.25,0.975,0.39
420,47,7.055,12.5,40,0.25,1.15,0.46
420,47,7.055,12.5,45,0.25,1.2,0.48
420,47,7.055,14.5,30,0.25,1.113,0.445
420,56,5.921,12.5,50,0.25,1.338,0.535
420,56,5.921,14.5,35,0.25,1.275,0.51
420,56,5.921,16,30,0.25,1.25,0.5
420,56,5.921,18,25,0.25,1.238,0.495
420,68,4.876,14.5,40,0.25,1.45,0.58
420,68,4.876,14.5,45,0.25,1.5,0.6
420,68,4.876,16,35,0.25,1.45,0.58
420,68,4.876,18,30,0.25,1.438,0.575
420,82,4.044,14.5,50,0.25,1.7,0.68
420,82,4.044,16,40,0.25,1.65,0.66
420,82,4.044,16,45,0.25,1.713,0.685
420,82,4.044,18,35,0.25,1.638,0.655
420,100,3.316,16,50,0.25,1.744,0.775
420,100,3.316,18,40,0.25,1.688,0.75
420,120,2.763,18,45,0.25,1.89,0.84
420,120,2.763,18,50,0.25,1.969,0.875
450,12,27.631,10,20,0.25,0.438,0.175
450,15,22.105,10,25,0.25,0.525,0.21
450,18,18.421,10,30,0.25,0.6,0.24
450,18,18.421,12.5,20,0.25,0.588,0.235
450,22,15.072,10,35,0.25,0.7,0.28
450,22,15.072,12.5,25,0.25,0.688,0.275
450,22,15.072,14.5,20,0.25,0.688,0.275
450,27,12.28,10,40,0.25,0.813,0.325
450,27,12.28,10,45,0.25,0.838,0.335
450,27,12.28,12.5,30,0.25,0.813,0.325
450,27,12.28,16,20,0.25,0.788,0.315
450,33,10.048,10,50,0.25,0.963,0.385
450,33,10.048,12.5,35,0.25,0.938,0.375
450,33,10.048,14.5,25,0.25,0.888,0.355
450,39,8.502,12.5,40,0.25,1.063,0.425
450,39,8.502,14.5,30,0.25,1.025,0.41
450,39,8.502,16,25,0.25,1.0,0.4
450,39,8.502,18,20,0.25,0.975,0.39
450,47,7.055,12.5,45,0.25,1.2,0.48
450,47,7.055,14.5,35,0.25,1.175,0.47
450,47,7.055,16,30,0.25,1.163,0.465
450,47,7.055,18,25,0.25,1.15,0.46
450,56,5.921,12.5,50,0.25,1.35,0.54
450,56,5.921,14.5,40,0.25,1.325,0.53
450,56,5.921,16,35,0.25,1.325,0.53
450,68,4.876,14.5,45,0.25,1.45,0.58
450,68,4.876,14.5,50,0.25,1.563,0.625
450,68,4.876,16,40,0.25,1.513,0.605
450,68,4.876,18,30,0.25,1.438,0.575
450,82,4.044,16,45,0.25,1.713,0.685
450,82,4.044,18,35,0.25,1.65,0.66
450,100,3.316,16,50,0.25,1.744,0.775
450,100,3.316,18,40,0.25,1.665,0.74
450,100,3.316,18,45,0.25,1.766,0.785
450,120,2.763,18,50,0.25,1.98,0.88
500,8.2,45.288,10,20,0.28,0.338,0.135
500,12,30.947,10,25,0.28,0.45,0.18
500,12,30.947,12.5,20,0.28,0.45,0.18
500,15,24.757,10,30,0.28,0.525,0.21
500,18,20.631,10,35,0.28,0.613,0.245
500,18,20.631,10,40,0.28,0.638,0.255
500,18,20.631,12.5,25,0.28,0.588,0.235
500,18,20.631,14.5,20,0.28,0.588,0.235
500,22,16.88,10,45,0.28,0.7,0.28
500,22,16.88,12.5,30,0.28,0.7,0.28
500,22,16.88,14.5,25,0.28,0.7,0.28
500,22,16.88,16,20,0.28,0.675,0.27
500,27,13.754,10,50,0.28,0.825,0.33
500,27,13.754,12.5,35,0.28,0.8,0.32
500,27,13.754,14.5,30,0.28,0.813,0.325
500,27,13.754,16,25,0.28,0.8,0.32
500,27,13.754,18,20,0.28,0.788,0.315
500,33,11.253,12.5,40,0.28,0.925,0.37
500,33,11.253,12.5,45,0.28,0.963,0.385
500,39,9.522,12.5,50,0.28,1.075,0.43
500,39,9.522,14.5,35,0.28,1.025,0.41
500,39,9.522,14.5,40,0.28,1.063,0.425
500,39,9.522,16,30,0.28,1.013,0.405
500,39,9.522,18,25,0.28,1.0,0.4
500,47,7.901,14.5,45,0.28,1.213,0.485
500,47,7.901,16,35,0.28,1.15,0.46
500,47,7.901,18,30,0.28,1.15,0.46
500,56,6.631,14.5,50,0.28,1.363,0.545
500,56,6.631,16,40,0.28,1.313,0.525
500,56,6.631,16,45,0.28,1.363,0.545
500,56,6.631,18,35,0.28,1.313,0.525
500,68,5.461,16,50,0.28,1.538,0.615
500,68,5.461,18,40,0.28,1.5,0.6
500,82,4.529,18,45,0.28,1.7,0.68
500,82,4.529,18,50,0.28,1.75,0.7
