Voltage,Capacitance,Dissipation Factor,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),ESR(est.) 20°C@120Hz,Endurance,Impedance -10°C@100kHz,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@300Hz,Ripple Current 105°C@50Hz,Status,VC,Vibration resistant,Weight (g)
16,180,0.16,0.23,6.3,15,-55,105,1.179,2000,0.46,86,4000,UPW1C181MED,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,430,430,279.22,365.78,321.1,237.34,EOL,2880,Normal,0.72
16,220,0.16,0.117,8,11.5,-55,105,0.965,3000,0.234,106,3000,UPW1C221MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,555,555,360.39,472.11,414.45,306.33,MP,3520,Normal,1.19
16,330,0.16,0.117,8,11.5,-55,105,0.643,3000,0.234,158,3000,UPW1C331MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,555,555,360.39,472.11,414.45,306.33,MP,5280,Normal,1.19
16,470,0.16,0.085,8,15,-55,105,0.452,3000,0.17,226,2000,UPW1C471MPD6,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,730,730,548.87,658.65,587.29,510.45,MP,7520,Normal,1.36
16,470,0.16,0.09,10,12.5,-55,105,0.452,5000,0.18,226,2000,UPW1C471MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,760,760,571.43,685.71,611.43,531.43,MP,7520,Normal,1.49
16,680,0.16,0.065,8,20,-55,105,0.312,3000,0.13,326,2000,UPW1C681MPD6,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,995,995,748.12,897.74,800.49,695.75,MP,10880,Normal,1.66
16,680,0.16,0.068,10,16,-55,105,0.312,5000,0.136,326,1800,UPW1C681MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1050,1050,789.47,947.37,844.74,734.21,MP,10880,Normal,1.77
16,820,0.16,0.052,10,20,-55,105,0.259,5000,0.104,394,1400,UPW1C821MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1220,1220,917.29,1100.75,981.5,853.08,MP,13120,Normal,2.34
16,1000,0.16,0.052,10,20,-55,105,0.239,5000,0.104,480,1400,UPW1C102MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1220,1220,917.29,1100.75,981.5,853.08,MP,16000,Normal,2.34
16,1200,0.16,0.045,10,25,-55,105,0.199,5000,0.09,576,1200,UPW1C122MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1440,1440,1220.34,1366.78,1293.56,1147.12,MP,19200,Normal,3.07
16,1500,0.16,0.035,10,30.5,-55,105,0.159,5000,0.07,720,1000,UPW1C152MPD6,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1815,1815,1538.14,1722.71,1630.42,1445.85,MP,24000,Normal,3.21
16,1500,0.16,0.038,12.5,20,-55,105,0.159,7000,0.076,720,1000,UPW1C152MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1655,1655,1402.54,1570.85,1486.69,1318.39,MP,24000,Normal,3.43
16,2200,0.18,0.03,12.5,25,-55,105,0.133,7000,0.06,1056,800,UPW1C222MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1945,1945,1648.31,1846.1,1747.2,1549.41,MP,35200,Normal,4.56
16,2700,0.18,0.025,12.5,30.5,-55,105,0.108,7000,0.05,1296,600,UPW1C272MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,2310,2310,1957.63,2192.54,2075.08,1840.17,MP,43200,Normal,6.01
16,2700,0.18,0.029,16,20,-55,105,0.108,8000,0.058,1296,600,UPW1C272MHD6,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,2210,2210,1872.88,2097.63,1985.25,1760.51,MP,43200,Normal,6.6
16,3300,0.2,0.022,12.5,35.5,-55,105,0.104,7000,0.044,1584,500,UPW1C332MHD6,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,2510,2510,2127.12,2382.37,2254.75,1999.49,MP,52800,Normal,7.06
16,3300,0.2,0.022,16,25,-55,105,0.104,8000,0.044,1584,400,UPW1C332MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,2555,2555,2165.25,2425.08,2295.17,2035.34,MP,52800,Normal,8.2
16,3900,0.2,0.022,16,25,-55,105,0.088,8000,0.044,1872,400,UPW1C392MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,2560,2560,2169.49,2429.83,2299.66,2039.32,MP,62400,Normal,8.2
16,3900,0.2,0.028,18,20,-55,105,0.088,8000,0.056,1872,400,UPW1C392MHD6,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,2490,2490,2110.17,2363.39,2236.78,1983.56,MP,62400,Normal,9
16,4700,0.22,0.018,16,30.5,-55,105,0.085,8000,0.036,2256,300,UPW1C472MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,3010,3010,2550.85,2856.95,2703.9,2397.8,MP,75200,Normal,9.6
16,4700,0.22,0.02,18,25,-55,105,0.085,8000,0.04,2256,300,UPW1C472MHD6,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,2740,2740,2322.03,2600.68,2461.36,2182.71,MP,75200,Normal,10.6
16,5600,0.24,0.016,16,35.5,-55,105,0.081,8000,0.032,2688,300,UPW1C562MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,3150,3150,2669.49,2989.83,2829.66,2509.32,MP,89600,Normal,11.8
16,5600,0.24,0.016,18,30.5,-55,105,0.081,8000,0.032,2688,300,UPW1C562MHD6,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,3635,3635,3080.51,3450.17,3265.34,2895.68,MP,89600,Normal,13.1
16,6800,0.26,0.015,18,35.5,-55,105,0.074,8000,0.03,3264,250,UPW1C682MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,3680,3680,3118.64,3492.88,3305.76,2931.53,MP,108800,Normal,14.2
16,8200,0.3,0.015,18,35.5,-55,105,0.074,8000,0.03,3936,250,UPW1C822MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,3680,3680,3118.64,3492.88,3305.76,2931.53,MP,131200,Normal,14.2
16,10000,0.34,0.014,18,40,-55,105,0.072,8000,0.028,4800,200,UPW1C103MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,3800,3800,3220.34,3606.78,3413.56,3027.12,MP,160000,Normal,17.7
25,4.7,0.14,0.6,5,11,-55,105,39.507,2000,1.2,4,6000,UPW1E4R7MDD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,180,,,,,,EOL,117.5,Normal,0.44
25,10,0.14,0.6,5,11,-55,105,18.568,2000,1.2,8,6000,UPW1E100MDD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,180,,,,,,EOL,250,Normal,0.44
25,22,0.14,0.6,5,11,-55,105,8.44,2000,1.2,17,6000,UPW1E220MDD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,180,180,54.05,144.32,90.27,36.22,EOL,550,Normal,0.44
25,33,0.14,0.6,5,11,-55,105,5.627,2000,1.2,25,6000,UPW1E330MDD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,180,180,54.05,144.32,90.27,36.22,EOL,825,Normal,0.44
25,39,0.14,0.6,5,11,-55,105,4.761,2000,1.2,29,6000,UPW1E390MDD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,180,180,54.05,144.32,90.27,36.22,EOL,975,Normal,0.44
25,47,0.14,0.6,5,11,-55,105,3.951,2000,1.2,35,6000,UPW1E470MDD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,180,180,54.05,144.32,90.27,36.22,EOL,1175,Normal,0.44
