Voltage,Capacitance,ESR 20°C@120Hz,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR -40°C@100kHz,Ripple Current
16,1200,0.177,0.084,10,16,0.16,0.76,1180
16,1800,0.118,0.062,10,20,0.16,0.55,1470
16,2400,0.088,0.047,10,25,0.16,0.41,1810
16,2700,0.079,0.042,12.5,20,0.16,0.29,1590
16,3900,0.054,0.03,12.5,25,0.16,0.21,2280
16,4700,0.045,0.025,12.5,30,0.16,0.17,2760
25,820,0.226,0.084,10,16,0.14,0.76,1180
25,1200,0.155,0.062,10,20,0.14,0.55,1470
25,1600,0.116,0.047,10,25,0.14,0.41,1810
25,1800,0.103,0.042,12.5,20,0.14,0.29,1590
25,2700,0.069,0.03,12.5,25,0.14,0.21,2280
25,3300,0.056,0.025,12.5,30,0.14,0.17,2760
25,3300,0.056,0.034,16,20,0.14,0.14,1890
25,4300,0.043,0.033,18,20,0.14,0.12,1930
25,4700,0.04,0.025,16,25,0.14,0.1,3030
25,5600,0.033,0.02,16,30,0.14,0.08,3330
25,6200,0.03,0.024,18,25,0.14,0.086,3200
25,7500,0.025,0.02,18,30,0.14,0.07,3480
35,510,0.312,0.084,10,16,0.12,0.76,1180
35,750,0.212,0.062,10,20,0.12,0.55,1470
35,1000,0.159,0.047,10,25,0.12,0.41,1810
35,1100,0.145,0.042,12.5,20,0.12,0.29,1590
35,1500,0.106,0.03,12.5,25,0.12,0.21,2280
35,2000,0.08,0.025,12.5,30,0.12,0.17,2760
35,2000,0.08,0.034,16,20,0.12,0.14,1890
35,2700,0.059,0.033,18,20,0.12,0.12,1930
35,3000,0.053,0.025,16,25,0.12,0.1,3030
35,3600,0.044,0.02,16,30,0.12,0.08,3330
35,3900,0.041,0.024,18,25,0.12,0.086,3200
35,4700,0.034,0.02,18,30,0.12,0.07,3480
