Voltage,Capacitance,ESR 20°C@120Hz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current,Status,Vibration resistant,Weight (g)
10,220,1.206,260,8,11.5,-40,125,0.2,2000,66,3000,UBT1A221MPD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,340,EOL,Normal,1.19
10,220,1.206,260,8,11.5,-40,125,0.2,2000,66,3000,UBT1A221MPD8,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,340,MP,Normal,1.19
10,330,0.804,150,10,12.5,-40,125,0.2,5000,99,2000,UBT1A331MPD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,620,EOL,Normal,1.49
10,330,0.804,150,10,12.5,-40,125,0.2,5000,99,2000,UBT1A331MPD8,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,620,MP,Normal,1.49
10,470,0.564,100,10,12.5,-40,125,0.2,5000,141,2000,UBT1A471MPD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,680,EOL,Normal,1.49
10,470,0.564,100,10,12.5,-40,125,0.2,5000,141,2000,UBT1A471MPD8,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,680,MP,Normal,1.49
10,1000,0.265,57,10,20,-40,125,0.2,5000,300,1400,UBT1A102MPD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,1100,EOL,Normal,2.34
10,1000,0.265,57,10,20,-40,125,0.2,5000,300,1400,UBT1A102MPD8,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,1100,MP,Normal,2.34
10,2200,0.133,33,12.5,25,-40,125,0.22,10000,660,800,UBT1A222MHD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,1750,EOL,Normal,4.56
10,2200,0.133,33,12.5,25,-40,125,0.22,10000,660,800,UBT1A222MHD8,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,1750,MP,Normal,4.56
10,3300,0.096,24,16,25,-40,125,0.24,10000,990,400,UBT1A332MHD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,2300,EOL,Normal,8.2
10,3300,0.096,24,16,25,-40,125,0.24,10000,990,400,UBT1A332MHD8,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,2300,MP,Normal,8.2
10,4700,0.073,20,16,30.5,-40,125,0.26,10000,1410,300,UBT1A472MHD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,2710,EOL,Normal,9.6
10,4700,0.073,20,16,30.5,-40,125,0.26,10000,1410,300,UBT1A472MHD8,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,2710,MP,Normal,9.6
16,100,2.122,320,8,11.5,-40,125,0.16,2000,48,3000,UBT1C101MPD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,340,EOL,Normal,1.19
16,100,2.122,320,8,11.5,-40,125,0.16,2000,48,3000,UBT1C101MPD8,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,340,MP,Normal,1.19
16,220,0.965,150,10,12.5,-40,125,0.16,5000,106,2000,UBT1C221MPD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,620,EOL,Normal,1.49
16,220,0.965,150,10,12.5,-40,125,0.16,5000,106,2000,UBT1C221MPD8,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,620,MP,Normal,1.49
16,330,0.643,100,10,12.5,-40,125,0.16,5000,158,2000,UBT1C331MPD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,680,EOL,Normal,1.49
16,330,0.643,100,10,12.5,-40,125,0.16,5000,158,2000,UBT1C331MPD8,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,680,MP,Normal,1.49
16,470,0.452,75,10,16,-40,125,0.16,5000,226,1800,UBT1C471MPD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,945,EOL,Normal,1.77
16,470,0.452,75,10,16,-40,125,0.16,5000,226,1800,UBT1C471MPD8,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,945,MP,Normal,1.77
16,1000,0.212,42,12.5,20,-40,125,0.16,10000,480,1000,UBT1C102MHD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,1490,EOL,Normal,3.43
16,1000,0.212,42,12.5,20,-40,125,0.16,10000,480,1000,UBT1C102MHD8,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,1490,MP,Normal,3.43
16,2200,0.109,24,16,25,-40,125,0.18,10000,1056,400,UBT1C222MHD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,2300,EOL,Normal,8.2
16,2200,0.109,24,16,25,-40,125,0.18,10000,1056,400,UBT1C222MHD8,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,2300,MP,Normal,8.2
16,3300,0.08,20,16,30.5,-40,125,0.2,10000,1584,300,UBT1C332MHD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,2710,EOL,Normal,9.6
16,3300,0.08,20,16,30.5,-40,125,0.2,10000,1584,300,UBT1C332MHD8,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,2710,MP,Normal,9.6
16,4700,0.062,18,18,30.5,-40,125,0.22,10000,2256,300,UBT1C472MHD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,3270,EOL,Normal,13.1
16,4700,0.062,18,18,30.5,-40,125,0.22,10000,2256,300,UBT1C472MHD8,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,3270,MP,Normal,13.1
25,100,1.857,130,8,11.5,-40,125,0.14,2000,75,3000,UBT1E101MPD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,500,EOL,Normal,1.19
25,100,1.857,130,8,11.5,-40,125,0.14,2000,75,3000,UBT1E101MPD8,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,500,MP,Normal,1.19
25,220,0.844,100,10,12.5,-40,125,0.14,5000,165,2000,UBT1E221MPD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,680,EOL,Normal,1.49
25,220,0.844,100,10,12.5,-40,125,0.14,5000,165,2000,UBT1E221MPD8,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,680,MP,Normal,1.49
25,330,0.563,75,10,16,-40,125,0.14,5000,248,1800,UBT1E331MPD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,945,EOL,Normal,1.77
25,330,0.563,75,10,16,-40,125,0.14,5000,248,1800,UBT1E331MPD8,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,945,MP,Normal,1.77
25,470,0.395,57,10,20,-40,125,0.14,5000,353,1400,UBT1E471MPD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,1100,EOL,Normal,2.34
25,470,0.395,57,10,20,-40,125,0.14,5000,353,1400,UBT1E471MPD8,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,1100,MP,Normal,2.34
25,1000,0.186,33,12.5,25,-40,125,0.14,10000,750,800,UBT1E102MHD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,1750,EOL,Normal,4.56
25,1000,0.186,33,12.5,25,-40,125,0.14,10000,750,800,UBT1E102MHD8,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,1750,MP,Normal,4.56
25,2200,0.096,20,16,30.5,-40,125,0.16,10000,1650,300,UBT1E222MHD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,2710,EOL,Normal,9.6
25,2200,0.096,20,16,30.5,-40,125,0.16,10000,1650,300,UBT1E222MHD8,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,2710,MP,Normal,9.6
25,3300,0.072,17,18,30.5,-40,125,0.18,10000,2475,300,UBT1E332MHD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,3310,EOL,Normal,13.1
25,3300,0.072,17,18,30.5,-40,125,0.18,10000,2475,300,UBT1E332MHD8,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,3310,MP,Normal,13.1
35,100,1.592,150,10,12.5,-40,125,0.12,5000,105,2000,UBT1V101MPD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,620,EOL,Normal,1.49
