Rated voltage (V),Capacitance (μF),Case size øD (mm),Case size L (mm),Ripple current (mA rms) 105°C@120Hz,tan δ,Endurance (h),Lead dia. (ød),Lead space Straight,Lead space Taping ✽B,Lead space Taping ✽H,Part No.,Straight leads,Taping
200,68.0,12.5,25.0,750.0,0.15,5000,0.6,5.0,5.0,—,EEUEB2D680(),200,500
200,68.0,16.0,20.0,750.0,0.15,5000,0.8,7.5,7.5,—,EEUEB2D680S(),100,250
200,100.0,16.0,25.0,1060.0,0.15,5000,0.8,7.5,7.5,—,EEUEB2D101(),100,250
200,100.0,18.0,20.0,1060.0,0.15,5000,0.8,7.5,7.5,—,EEUEB2D101S(),100,250
200,150.0,16.0,31.5,1280.0,0.15,5000,0.8,7.5,—,—,EEUEB2D151,100,—
200,150.0,18.0,25.0,1280.0,0.15,5000,0.8,7.5,7.5,—,EEUEB2D151S(),100,250
200,220.0,18.0,31.5,1690.0,0.15,5000,0.8,7.5,—,—,EEUEB2D221,50,—
250,22.0,12.5,20.0,560.0,0.15,5000,0.6,5.0,5.0,—,EEUEB2E220(),200,500
250,33.0,12.5,20.0,560.0,0.15,5000,0.6,5.0,5.0,—,EEUEB2E330(),200,500
250,47.0,12.5,25.0,710.0,0.15,5000,0.6,5.0,5.0,—,EEUEB2E470(),200,500
250,47.0,16.0,20.0,710.0,0.15,5000,0.8,7.5,7.5,—,EEUEB2E470S(),100,250
250,68.0,16.0,25.0,990.0,0.15,5000,0.8,7.5,7.5,—,EEUEB2E680(),100,250
250,68.0,18.0,20.0,990.0,0.15,5000,0.8,7.5,7.5,—,EEUEB2E680S(),100,250
250,100.0,16.0,31.5,1200.0,0.15,5000,0.8,7.5,—,—,EEUEB2E101,100,—
250,100.0,18.0,25.0,1200.0,0.15,5000,0.8,7.5,7.5,—,EEUEB2E101S(),100,250
250,150.0,18.0,31.5,1470.0,0.15,5000,0.8,7.5,—,—,EEUEB2E151,50,—
350,10.0,10.0,20.0,270.0,0.2,5000,0.6,5.0,5.0,—,EEUEB2V100(),200,500
350,22.0,12.5,20.0,350.0,0.2,5000,0.6,5.0,5.0,—,EEUEB2V220(),200,500
350,33.0,16.0,20.0,480.0,0.2,5000,0.8,7.5,7.5,—,EEUEB2V330S(),100,250
350,47.0,16.0,25.0,640.0,0.2,5000,0.8,7.5,7.5,—,EEUEB2V470(),100,250
350,47.0,18.0,20.0,640.0,0.2,5000,0.8,7.5,7.5,—,EEUEB2V470S(),100,250
350,68.0,16.0,31.5,780.0,0.2,5000,0.8,7.5,—,—,EEUEB2V680,100,—
350,68.0,18.0,25.0,780.0,0.2,5000,0.8,7.5,7.5,—,EEUEB2V680S(),100,250
350,100.0,18.0,31.5,970.0,0.2,5000,0.8,7.5,—,—,EEUEB2V101,50,—
400,10.0,10.0,20.0,250.0,0.24,5000,0.6,5.0,5.0,—,EEUEB2G100(),200,500
400,22.0,12.5,25.0,410.0,0.24,5000,0.6,5.0,5.0,—,EEUEB2G220(),200,500
400,22.0,16.0,20.0,410.0,0.24,5000,0.8,7.5,7.5,—,EEUEB2G220S(),100,250
400,33.0,16.0,25.0,600.0,0.24,5000,0.8,7.5,7.5,—,EEUEB2G330(),100,250
400,33.0,18.0,20.0,600.0,0.24,5000,0.8,7.5,7.5,—,EEUEB2G330S(),100,250
400,47.0,16.0,31.5,730.0,0.24,5000,0.8,7.5,—,—,EEUEB2G470,100,—
400,47.0,18.0,25.0,730.0,0.24,5000,0.8,7.5,7.5,—,EEUEB2G470S(),100,250
450,10.0,12.5,20.0,310.0,0.24,5000,0.6,5.0,5.0,—,EEUEB2W100(),200,500
450,22.0,16.0,25.0,560.0,0.24,5000,0.8,7.5,7.5,—,EEUEB2W220(),100,250
450,22.0,18.0,20.0,560.0,0.24,5000,0.8,7.5,7.5,—,EEUEB2W220S(),100,250
450,33.0,16.0,31.5,680.0,0.24,5000,0.8,7.5,—,—,EEUEB2W330(),100,—
450,33.0,18.0,25.0,680.0,0.24,5000,0.8,7.5,7.5,—,EEUEB2W330S(),100,250
450,47.0,18.0,31.5,850.0,0.24,5000,0.8,7.5,—,—,EEUEB2W470,50,—
