Rated voltage (V),Capacitance (μF),Case size øD,Case size L,Ripple current (mA rms),tan δ,Lead dia (ød),Lead space Straight,Lead space Taping ✽B,Lead space Taping ✽i,Part No.,Straight leads,Taping
6.3,220.0,5.0,11.0,240,0.28,0.5,2.0,5.0,2.5,ECA0JM221( ),200,2000
6.3,470.0,6.3,11.2,380,0.28,0.5,2.5,5.0,2.5,ECA0JM471( ),200,2000
6.3,1000.0,8.0,11.5,580,0.28,0.6,3.5,5.0,—,ECA0JM102( ),200,1000
6.3,2200.0,10.0,16.0,890,0.3,0.6,5.0,5.0,—,ECA0JM222( ),200,500
6.3,3300.0,10.0,20.0,1020,0.32,0.6,5.0,5.0,—,ECA0JM332( ),200,500
6.3,4700.0,12.5,20.0,1170,0.34,0.6,5.0,5.0,—,ECA0JM472( ),200,500
6.3,6800.0,12.5,25.0,1270,0.38,0.6,5.0,5.0,—,ECA0JM682( ),200,500
6.3,10000.0,16.0,25.0,1450,0.46,0.8,7.5,7.5,—,ECA0JM103( ),100,250
6.3,15000.0,16.0,31.5,1700,0.56,0.8,7.5,—,—,ECA0JM153,100,—
6.3,22000.0,18.0,35.5,1900,0.7,0.8,7.5,—,—,ECA0JM223,50,—
10.0,330.0,6.3,11.2,330,0.24,0.5,2.5,5.0,2.5,ECA1AM331( ),200,2000
10.0,1000.0,10.0,12.5,630,0.24,0.6,5.0,5.0,—,ECA1AM102( ),200,500
10.0,2200.0,10.0,20.0,920,0.26,0.6,5.0,5.0,—,ECA1AM222( ),200,500
10.0,3300.0,12.5,20.0,1090,0.28,0.6,5.0,5.0,—,ECA1AM332( ),200,500
10.0,4700.0,12.5,25.0,1200,0.3,0.6,5.0,5.0,—,ECA1AM472( ),200,500
10.0,6800.0,16.0,25.0,1400,0.34,0.8,7.5,7.5,—,ECA1AM682( ),100,250
10.0,10000.0,16.0,31.5,1600,0.42,0.8,7.5,—,—,ECA1AM103,100,—
10.0,15000.0,18.0,35.5,1850,0.52,0.8,7.5,—,—,ECA1AM153,50,—
16.0,10.0,5.0,11.0,30,0.2,0.5,2.0,5.0,2.5,ECA1CM100( ),200,2000
16.0,22.0,5.0,11.0,75,0.2,0.5,2.0,5.0,2.5,ECA1CM220( ),200,2000
16.0,33.0,5.0,11.0,110,0.2,0.5,2.0,5.0,2.5,ECA1CM330( ),200,2000
16.0,47.0,5.0,11.0,130,0.2,0.5,2.0,5.0,2.5,ECA1CM470( ),200,2000
16.0,100.0,5.0,11.0,180,0.2,0.5,2.0,5.0,2.5,ECA1CM101( ),200,2000
16.0,220.0,6.3,11.2,280,0.2,0.5,2.5,5.0,2.5,ECA1CM221( ),200,2000
16.0,470.0,8.0,11.5,440,0.2,0.6,3.5,5.0,—,ECA1CM471( ),200,1000
16.0,1000.0,10.0,16.0,680,0.2,0.6,5.0,5.0,—,ECA1CM102( ),200,500
16.0,2200.0,12.5,20.0,1000,0.22,0.6,5.0,5.0,—,ECA1CM222( ),200,500
