Rated voltage (V),Capacitance (±20 %) (μF),tan δ*2
6.3,330.0,0.3
6.3,470.0,0.3
6.3,1000.0,0.3
6.3,2200.0,0.32
6.3,3300.0,0.34
6.3,4700.0,0.36
6.3,6800.0,0.4
6.3,47.0,0.25
6.3,100.0,0.25
6.3,220.0,0.25
10.0,330.0,0.25
10.0,470.0,0.25
10.0,1000.0,0.25
10.0,2200.0,0.27
10.0,3300.0,0.29
10.0,4700.0,0.31
10.0,10.0,0.2
10.0,22.0,0.2
10.0,33.0,0.2
10.0,47.0,0.2
16.0,220.0,0.2
16.0,330.0,0.2
16.0,470.0,0.2
16.0,1000.0,0.2
16.0,2200.0,0.22
16.0,3300.0,0.24
16.0,10.0,0.15
16.0,22.0,0.15
16.0,33.0,0.15
16.0,47.0,0.15
25.0,100.0,0.15
25.0,220.0,0.15
25.0,330.0,0.15
25.0,470.0,0.15
25.0,1000.0,0.15
25.0,2200.0,0.17
25.0,10.0,0.15
25.0,22.0,0.15
25.0,33.0,0.15
35.0,47.0,0.15
35.0,100.0,0.15
35.0,220.0,0.15
35.0,330.0,0.15
35.0,470.0,0.15
50.0,2.2,0.15
50.0,3.3,0.15
50.0,4.7,0.15
50.0,10.0,0.15
50.0,22.0,0.15
50.0,33.0,0.15
50.0,47.0,0.15
50.0,100.0,0.15
50.0,220.0,0.15
50.0,330.0,0.15
50.0,470.0,0.15
