Cap. (μF),60 Hz,120 Hz,1 kHz,10 kHz,100 kHz
4.7 to 33,0.45,0.55,0.75,0.9,1.0
47 to 330,0.6,0.7,0.85,0.95,1.0
390 to 1000,0.65,0.75,0.9,0.98,1.0
1200 to 8200,0.75,0.8,0.95,1.0,1.0
