Cap.(μF),60 Hz,120 Hz,1 kHz,10 kHz,100 kHz
2.2 to 10,0.75,1.00,1.40,1.55,1.65
22 to 470,0.85,1.00,1.20,1.25,1.3
1000 to 3300,0.95,1.00,1.05,1.10,1.15
R. volt.(V),120 Hz,1 kHz,10 kHz to 30 kHz,30 kHz to 100 kHz,
160 to 250,0.55,0.85,0.90,1.00,
350 to 450,0.50,0.80,0.90,1.00,
