Rated Voltage (V),Capacitance (μF),Case Size øD (mm),Case Size L (mm),Ripple Current 125°C@100kHz (mA rms),Ripple Current 135°C@100kHz (mA rms),ESR 20℃@100kHz (Ω),tan δ,Endurance 125°C (h),Endurance 135°C (h),Lead dia (ød),Lead Space Straight,Lead Space Taping,Part No.,Min Packaging Qty Straight,Min Packaging Qty Taping
25,220,10.0,12.5,580,500,0.19,0.14,3000,2000,0.6,5.0,5.0,EEUTP1E221( ),200,500
25,330,10.0,16.0,1100,945,0.13,0.14,3000,2000,0.6,5.0,5.0,EEUTP1E331( ),200,500
25,470,8.0,20.0,1060,760,0.067,0.14,2000,1000,0.6,3.5,5.0,EEUTP1E471L( ),200,1000
25,470,10.0,16.0,1100,945,0.13,0.14,3000,2000,0.6,5.0,5.0,EEUTP1E471( ),200,500
25,510,10.0,16.0,1100,945,0.13,0.14,3000,2000,0.6,5.0,5.0,EEUTP1E511( ),200,500
25,820,10.0,20.0,1540,1100,0.052,0.14,3000,2000,0.6,5.0,5.0,EEUTP1E821( ),200,500
25,1000,12.5,20.0,1860,1490,0.038,0.14,4000,2000,0.6,5.0,5.0,EEUTP1E102( ),200,500
25,1200,12.5,20.0,1860,1490,0.038,0.14,4000,2000,0.6,5.0,5.0,EEUTP1E122( ),200,500
25,1800,12.5,25.0,2180,1750,0.03,0.14,4000,2000,0.6,5.0,5.0,EEUTP1E182( ),200,500
25,1800,16.0,20.0,2380,1985,0.029,0.14,5000,2000,0.8,7.5,7.5,EEUTP1E182S( ),100,250
25,2000,16.0,20.0,2380,1985,0.029,0.16,5000,2000,0.8,7.5,7.5,EEUTP1E202S( ),100,250
25,2200,16.0,25.0,2760,2300,0.022,0.16,5000,2000,0.8,7.5,7.5,EEUTP1E222( ),100,250
25,2200,18.0,20.0,2700,2250,0.028,0.16,5000,2000,0.8,7.5,7.5,EEUTP1E222S( ),100,250
25,2700,16.0,25.0,2760,2300,0.022,0.16,5000,2000,0.8,7.5,7.5,EEUTP1E272( ),100,250
25,2700,18.0,20.0,2700,2250,0.028,0.16,5000,2000,0.8,7.5,7.5,EEUTP1E272S( ),100,250
25,3300,16.0,31.5,3250,2710,0.018,0.18,5000,2000,0.8,7.5,-,EEUTP1E332,100,-
25,3300,18.0,25.0,2960,2470,0.02,0.18,5000,2000,0.8,7.5,7.5,EEUTP1E332S( ),100,250
25,3900,16.0,31.5,3250,2710,0.018,0.18,5000,2000,0.8,7.5,-,EEUTP1E392,100,-
25,3900,18.0,25.0,2960,2470,0.02,0.18,5000,2000,0.8,7.5,7.5,EEUTP1E392S( ),100,250
25,4700,18.0,31.5,3480,2900,0.016,0.2,5000,2000,0.8,7.5,-,EEUTP1E472,50,-
25,5100,18.0,31.5,3480,2900,0.016,0.22,5000,2000,0.8,7.5,-,EEUTP1E512,50,-
35,100,10.0,12.5,580,500,0.19,0.12,3000,2000,0.6,5.0,5.0,EEUTP1V101( ),200,500
35,120,10.0,12.5,580,500,0.19,0.12,3000,2000,0.6,5.0,5.0,EEUTP1V121( ),200,500
35,220,8.0,20.0,1060,760,0.067,0.12,2000,1000,0.6,3.5,5.0,EEUTP1V221L( ),200,1000
35,220,10.0,16.0,1100,945,0.13,0.12,3000,2000,0.6,5.0,5.0,EEUTP1V221( ),200,500
35,270,8.0,16.0,1060,760,0.067,0.12,2000,1000,0.6,3.5,5.0,EEUTP1V271L( ),200,1000
35,270,10.0,16.0,1100,945,0.13,0.12,3000,2000,0.6,5.0,5.0,EEUTP1V271( ),200,500
35,330,10.0,20.0,1540,1100,0.052,0.12,3000,2000,0.6,5.0,5.0,EEUTP1V331( ),200,500
35,390,10.0,20.0,1540,1100,0.052,0.12,3000,2000,0.6,5.0,5.0,EEUTP1V391( ),200,500
35,470,12.5,20.0,1860,1490,0.038,0.12,4000,2000,0.6,5.0,5.0,EEUTP1V471( ),200,500
35,560,12.5,20.0,1860,1490,0.038,0.12,4000,2000,0.6,5.0,5.0,EEUTP1V561( ),200,500
35,620,12.5,20.0,1860,1490,0.038,0.12,4000,2000,0.6,5.0,5.0,EEUTP1V621( ),200,500
35,820,12.5,25.0,2180,1750,0.03,0.12,4000,2000,0.6,5.0,5.0,EEUTP1V821( ),200,500
35,1000,16.0,20.0,2380,1985,0.029,0.12,5000,2000,0.8,7.5,7.5,EEUTP1V102( ),100,250
35,1200,16.0,20.0,2380,1985,0.029,0.12,5000,2000,0.8,7.5,7.5,EEUTP1V122( ),100,250
35,1500,16.0,25.0,2760,2300,0.022,0.12,5000,2000,0.8,7.5,7.5,EEUTP1V152( ),100,250
35,1500,18.0,20.0,2700,2250,0.028,0.12,5000,2000,0.8,7.5,7.5,EEUTP1V152S( ),100,250
35,1600,16.0,25.0,2760,2300,0.022,0.12,5000,2000,0.8,7.5,7.5,EEUTP1V162( ),100,250
35,1800,16.0,31.5,3250,2710,0.018,0.12,5000,2000,0.8,7.5,-,EEUTP1V182,100,-
35,1800,18.0,25.0,2960,2470,0.02,0.12,5000,2000,0.8,7.5,7.5,EEUTP1V182S( ),100,250
35,2000,16.0,31.5,3250,2710,0.018,0.14,5000,2000,0.8,7.5,-,EEUTP1V202,100,-
35,2000,18.0,25.0,2960,2470,0.02,0.14,5000,2000,0.8,7.5,7.5,EEUTP1V202S( ),100,250
35,2200,18.0,31.5,3480,2900,0.016,0.14,5000,2000,0.8,7.5,-,EEUTP1V222,50,-
35,2700,18.0,31.5,3480,2900,0.016,0.14,5000,2000,0.8,7.5,-,EEUTP1V272,50,-
35,100,10.0,12.5,580,500,0.19,0.12,3000,2000,0.6,5.0,5.0,EEUTP1V101( ),200,500
