Rated voltage (V),Capacitance (±20 %) (μF),Case size (mm) øD,Case size (mm) L,Ripple current 105C@100kHz (mA rms),Impedance (Ω) 20C@100kHz,Endurance (h),Lead dia. (ød),Lead space Straight,Lead space Taping ✽B,Lead space Taping ✽H,Part No.,Straight leads,Taping
10.0,1800.0,10.0,20.0,2180,0.02,10000,0.6,5.0,5.0,—,EEUFR1A182( ),200,500
10.0,2200.0,10.0,25.0,2470,0.018,10000,0.6,5.0,5.0,—,EEUFR1A222L( ),200,500
10.0,3300.0,12.5,20.0,2600,0.018,10000,0.6,5.0,5.0,—,EEUFR1A332( ),200,500
10.0,3900.0,12.5,25.0,3190,0.015,10000,0.6,5.0,5.0,—,EEUFR1A392( ),200,500
10.0,4700.0,12.5,30.0,3630,0.013,10000,0.8,5.0,—,—,EEUFR1A472L,100,—
10.0,4700.0,16.0,20.0,3300,0.017,10000,0.8,7.5,7.5,—,EEUFR1A472S( ),100,250
10.0,5600.0,12.5,35.0,3750,0.012,10000,0.8,5.0,—,—,EEUFR1A562L,100,—
10.0,6800.0,12.5,35.0,3750,0.012,10000,0.8,5.0,—,—,EEUFR1A682L,100,—
10.0,6800.0,16.0,25.0,3820,0.014,10000,0.8,7.5,7.5,—,EEUFR1A682( ),100,250
16.0,47.0,5.0,11.0,280,0.3,5000,0.5,2.0,5.0,2.5,EEUFR1C470( ),200,2000
16.0,68.0,5.0,11.0,280,0.3,5000,0.5,2.0,5.0,2.5,EEUFR1C680( ),200,2000
16.0,100.0,5.0,11.0,280,0.3,5000,0.5,2.0,5.0,2.5,EEUFR1C101( ),200,2000
16.0,120.0,6.3,11.2,455,0.13,5000,0.5,2.5,5.0,2.5,EEUFR1C121( ),200,2000
16.0,220.0,6.3,11.2,455,0.13,5000,0.5,2.5,5.0,2.5,EEUFR1C221( ),200,2000
16.0,470.0,8.0,11.5,950,0.056,6000,0.6,3.5,5.0,—,EEUFR1C471( ),200,1000
16.0,680.0,8.0,15.0,1240,0.041,8000,0.6,3.5,5.0,—,EEUFR1C681L( ),200,1000
16.0,680.0,10.0,12.5,1290,0.043,6000,0.6,5.0,5.0,—,EEUFR1C681( ),200,500
16.0,1000.0,8.0,20.0,1560,0.03,9000,0.6,3.5,5.0,—,EEUFR1C102L( ),200,1000
16.0,1000.0,10.0,16.0,1790,0.028,8000,0.6,5.0,5.0,—,EEUFR1C102( ),200,500
16.0,1500.0,10.0,20.0,2180,0.02,10000,0.6,5.0,5.0,—,EEUFR1C152( ),200,500
16.0,1500.0,10.0,25.0,2470,0.018,10000,0.6,5.0,5.0,—,EEUFR1C152L( ),200,500
16.0,1800.0,10.0,25.0,2470,0.018,10000,0.6,5.0,5.0,—,EEUFR1C182L( ),200,500
16.0,2200.0,12.5,20.0,2600,0.018,10000,0.6,5.0,5.0,—,EEUFR1C222( ),200,500
16.0,2700.0,12.5,25.0,3190,0.015,10000,0.6,5.0,5.0,—,EEUFR1C272( ),200,500
16.0,3300.0,12.5,30.0,3630,0.013,10000,0.8,5.0,—,—,EEUFR1C332L,100,—
16.0,3300.0,16.0,20.0,3300,0.017,10000,0.8,7.5,7.5,—,EEUFR1C332S( ),100,250
16.0,3900.0,12.5,35.0,3750,0.012,10000,0.8,5.0,—,—,EEUFR1C392L,100,—
16.0,3900.0,16.0,20.0,3300,0.017,10000,0.8,7.5,7.5,—,EEUFR1C392S( ),100,250
16.0,4700.0,12.5,35.0,3750,0.012,10000,0.8,5.0,—,—,EEUFR1C472L,100,—
16.0,4700.0,16.0,25.0,3820,0.014,10000,0.8,7.5,7.5,—,EEUFR1C472( ),100,250
16.0,5600.0,16.0,25.0,3820,0.014,10000,0.8,7.5,7.5,—,EEUFR1C562( ),100,250
25.0,4.7,5.0,11.0,185,0.62,5000,0.5,2.0,5.0,2.5,EEUFR1E4R7( ),200,2000
25.0,10.0,5.0,11.0,250,0.34,5000,0.5,2.0,5.0,2.5,EEUFR1E100( ),200,2000
25.0,22.0,5.0,11.0,250,0.34,5000,0.5,2.0,5.0,2.5,EEUFR1E220( ),200,2000
25.0,47.0,6.3,11.2,405,0.14,5000,0.5,2.5,5.0,—,EEUFR1E470( ),200,2000
25.0,56.0,6.3,11.2,405,0.14,5000,0.5,2.5,5.0,2.5,EEUFR1E560( ),200,2000
25.0,100.0,8.0,11.5,870,0.061,6000,0.6,3.5,5.0,—,EEUFR1E101( ),200,1000
25.0,120.0,8.0,15.0,1140,0.045,8000,0.6,3.5,5.0,—,EEUFR1E121L( ),200,1000
25.0,150.0,10.0,12.5,1170,0.042,6000,0.6,5.0,5.0,—,EEUFR1E151( ),200,500
25.0,180.0,8.0,20.0,1430,0.033,9000,0.6,3.5,5.0,—,EEUFR1E181L( ),200,1000
25.0,220.0,10.0,16.0,1650,0.03,8000,0.6,5.0,5.0,—,EEUFR1E221( ),200,500
25.0,270.0,10.0,20.0,1890,0.023,10000,0.6,5.0,5.0,—,EEUFR1E271( ),200,500
25.0,330.0,10.0,25.0,2150,0.022,10000,0.6,5.0,5.0,—,EEUFR1E331L( ),200,500
25.0,470.0,12.5,20.0,2260,0.022,10000,0.6,5.0,5.0,—,EEUFR1E471( ),200,500
25.0,560.0,12.5,25.0,2660,0.018,10000,0.6,5.0,5.0,—,EEUFR1E561( ),200,500
