Rated voltage (V),Capacitance (μF),øD,L,Ripple current (mA rms),tan δ,Endurance (h),Lead dia (ød),Lead space Straight,Lead space Taping ✽B,Lead space Taping ✽i,Part No.,Straight leads,Taping
100.0,470.0,16.0,25.0,715,0.08,2000,0.8,7.5,7.5,—,ECA2AHG471( ),100,250
100.0,1000.0,18.0,35.5,985,0.08,2000,0.8,7.5,—,—,ECA2AHG102,50,—
160.0,2.2,6.3,11.2,25,0.15,2000,0.5,2.5,5.0,2.5,ECA2CHG2R2( ),200,2000
160.0,3.3,6.3,11.2,36,0.15,2000,0.5,2.5,5.0,2.5,ECA2CHG3R3( ),200,2000
160.0,4.7,6.3,11.2,43,0.15,2000,0.5,2.5,5.0,2.5,ECA2CHG4R7( ),200,2000
160.0,10.0,10.0,12.5,70,0.15,2000,0.6,5.0,5.0,—,ECA2CHG100( ),200,500
160.0,22.0,10.0,20.0,130,0.15,2000,0.6,5.0,5.0,—,ECA2CHG220( ),200,500
160.0,33.0,10.0,20.0,180,0.15,2000,0.6,5.0,5.0,—,ECA2CHG330( ),200,500
160.0,47.0,12.5,20.0,220,0.15,2000,0.6,5.0,5.0,—,ECA2CHG470( ),200,500
160.0,100.0,16.0,25.0,335,0.15,2000,0.8,7.5,7.5,—,ECA2CHG101( ),100,250
160.0,220.0,16.0,31.5,540,0.15,2000,0.8,7.5,—,—,ECA2CHG221,100,—
160.0,330.0,18.0,31.5,705,0.15,2000,0.8,7.5,—,—,ECA2CHG331,50,—
200.0,2.2,6.3,11.2,25,0.15,2000,0.5,2.5,5.0,2.5,ECA2DHG2R2( ),200,2000
200.0,3.3,6.3,11.2,36,0.15,2000,0.5,2.5,5.0,2.5,ECA2DHG3R3( ),200,2000
200.0,4.7,8.0,11.5,50,0.15,2000,0.6,3.5,5.0,—,ECA2DHG4R7( ),200,1000
200.0,10.0,10.0,16.0,80,0.15,2000,0.6,5.0,5.0,—,ECA2DHG100( ),200,500
200.0,22.0,10.0,20.0,140,0.15,2000,0.6,5.0,5.0,—,ECA2DHG220( ),200,500
200.0,33.0,12.5,20.0,190,0.15,2000,0.6,5.0,5.0,—,ECA2DHG330( ),200,500
200.0,47.0,12.5,20.0,220,0.15,2000,0.6,5.0,5.0,—,ECA2DHG470( ),200,500
200.0,100.0,16.0,25.0,335,0.15,2000,0.8,7.5,7.5,—,ECA2DHG101( ),100,250
200.0,220.0,18.0,31.5,575,0.15,2000,0.8,7.5,—,—,ECA2DHG221,50,—
250.0,2.2,6.3,11.2,29,0.15,2000,0.5,2.5,5.0,2.5,ECA2EHG2R2( ),200,2000
250.0,3.3,8.0,11.5,42,0.15,2000,0.6,3.5,5.0,—,ECA2EHG3R3,200,1000
250.0,4.7,8.0,11.5,50,0.15,2000,0.6,3.5,5.0,—,ECA2EHG4R7( ),200,1000
250.0,10.0,10.0,16.0,88,0.15,2000,0.6,5.0,5.0,—,ECA2EHG100( ),200,500
250.0,22.0,12.5,20.0,155,0.15,2000,0.6,5.0,5.0,—,ECA2EHG220( ),200,500
250.0,33.0,12.5,20.0,190,0.15,2000,0.6,5.0,5.0,—,ECA2EHG330( ),200,500
250.0,47.0,12.5,25.0,230,0.15,2000,0.6,5.0,5.0,—,ECA2EHG470( ),200,500
250.0,100.0,16.0,31.5,365,0.15,2000,0.8,7.5,—,—,ECA2EHG101,100,—
350.0,2.2,8.0,11.5,31,0.2,2000,0.6,3.5,5.0,—,ECA2VHG2R2( ),200,1000
350.0,3.3,10.0,12.5,38,0.2,2000,0.6,5.0,5.0,—,ECA2VHG3R3( ),200,500
350.0,4.7,10.0,16.0,50,0.2,2000,0.6,5.0,5.0,—,ECA2VHG4R7( ),200,500
350.0,10.0,10.0,20.0,82,0.2,2000,0.6,5.0,5.0,—,ECA2VHG100( ),200,500
350.0,22.0,12.5,20.0,130,0.2,2000,0.6,5.0,5.0,—,ECA2VHG220( ),200,500
350.0,33.0,16.0,25.0,195,0.2,2000,0.8,7.5,7.5,—,ECA2VHG330( ),100,250
350.0,47.0,16.0,25.0,230,0.2,2000,0.8,7.5,7.5,—,ECA2VHG470( ),100,250
350.0,100.0,18.0,31.5,375,0.2,2000,0.8,7.5,—,—,ECA2VHG101,50,—
400.0,2.2,8.0,11.5,30,0.24,2000,0.6,3.5,5.0,—,ECA2GHG2R2( ),200,1000
400.0,3.3,10.0,12.5,40,0.24,2000,0.6,5.0,5.0,—,ECA2GHG3R3( ),200,500
400.0,4.7,10.0,16.0,50,0.24,2000,0.6,5.0,5.0,—,ECA2GHG4R7( ),200,500
400.0,10.0,10.0,20.0,80,0.24,2000,0.6,5.0,5.0,—,ECA2GHG100( ),200,500
400.0,22.0,12.5,25.0,145,0.24,2000,0.6,5.0,5.0,—,ECA2GHG220( ),200,500
400.0,33.0,16.0,25.0,195,0.24,2000,0.8,7.5,7.5,—,ECA2GHG330( ),100,250
400.0,47.0,16.0,31.5,250,0.24,2000,0.8,7.5,—,—,ECA2GHG470,100,—
450.0,2.2,10.0,12.5,29,0.24,2000,0.6,5.0,5.0,—,ECA2WHG2R2( ),200,500
450.0,3.3,10.0,16.0,41,0.24,2000,0.6,5.0,5.0,—,ECA2WHG3R3( ),200,500
450.0,4.7,10.0,20.0,49,0.24,2000,0.6,5.0,5.0,—,ECA2WHG4R7( ),200,500
450.0,10.0,12.5,20.0,75,0.24,2000,0.6,5.0,5.0,—,ECA2WHG100( ),200,500
450.0,22.0,16.0,25.0,115,0.24,2000,0.8,7.5,7.5,—,ECA2WHG220( ),100,250
450.0,33.0,16.0,31.5,155,0.24,2000,0.8,7.5,—,—,ECA2WHG330,100,—
