Cap. (μF),60Hz,120Hz,1kHz,10kHz,≥100kHz
27 to 33,0.45,0.55,0.75,0.9,1.0
47 to 330,0.6,0.7,0.85,0.95,1.0
390 to 1000,0.65,0.75,0.9,0.98,1.0
1200 to 10000,0.75,0.8,0.95,1.0,1.0
