Rated voltage (V),Capacitance (μF),øD,L,Ripple current (mA rms) 105C @120Hz,tan δ,Endurance (h),Lead dia. (ød),Lead space Straight,Lead space Taping ✽B,Lead space Taping ✽H,Part No.,Straight leads,Taping
10,330.0,6.3,11.2,200,0.24,1000,0.5,2.5,5.0,2.5,EEUHD1A331( ),200,2000
10,470.0,8.0,11.5,250,0.24,1000,0.6,3.5,5.0,—,EEUHD1A471( ),200,1000
10,1000.0,10.0,12.5,460,0.24,2000,0.6,5.0,5.0,—,EEUHD1A102( ),200,500
10,2200.0,10.0,16.0,760,0.26,2000,0.6,5.0,5.0,—,EEUHD1A222( ),200,500
10,4700.0,12.5,20.0,1260,0.3,2000,0.6,5.0,5.0,—,EEUHD1A472( ),200,500
10,6800.0,12.5,25.0,1570,0.34,2000,0.6,5.0,5.0,—,EEUHD1A682( ),200,500
10,10000.0,16.0,25.0,1890,0.42,2000,0.8,7.5,7.5,—,EEUHD1A103( ),100,250
10,15000.0,16.0,31.5,2180,0.52,2000,0.8,7.5,—,—,EEUHD1A153,100,—
10,22000.0,18.0,35.5,2400,0.66,2000,0.8,7.5,—,—,EEUHD1A223,50,—
10,330.0,6.3,11.2,200,0.24,1000,0.5,2.5,5.0,2.5,EEUHD1A331( ),200,2000
10,470.0,8.0,11.5,250,0.24,1000,0.6,3.5,5.0,—,EEUHD1A471( ),200,1000
10,1000.0,10.0,12.5,460,0.24,2000,0.6,5.0,5.0,—,EEUHD1A102( ),200,500
10,2200.0,10.0,16.0,760,0.26,2000,0.6,5.0,5.0,—,EEUHD1A222( ),200,500
10,4700.0,12.5,20.0,1260,0.3,2000,0.6,5.0,5.0,—,EEUHD1A472( ),200,500
10,6800.0,12.5,25.0,1570,0.34,2000,0.6,5.0,5.0,—,EEUHD1A682( ),200,500
10,10000.0,16.0,25.0,1890,0.42,2000,0.8,7.5,7.5,—,EEUHD1A103( ),100,250
10,15000.0,16.0,31.5,2180,0.52,2000,0.8,7.5,—,—,EEUHD1A153,100,—
10,22000.0,18.0,35.5,2400,0.66,2000,0.8,7.5,—,—,EEUHD1A223,50,—
16,100.0,5.0,11.0,110,0.2,1000,0.5,2.0,5.0,2.5,EEUHD1C101( ),200,2000
16,220.0,6.3,11.2,180,0.2,1000,0.5,2.5,5.0,2.5,EEUHD1C221( ),200,2000
16,330.0,8.0,11.5,260,0.2,1000,0.6,3.5,5.0,—,EEUHD1C331( ),200,1000
16,470.0,8.0,11.5,310,0.2,1000,0.6,3.5,5.0,—,EEUHD1C471( ),200,1000
16,3300.0,12.5,20.0,1170,0.24,2000,0.6,5.0,5.0,—,EEUHD1C332( ),200,500
16,4700.0,12.5,25.0,1480,0.26,2000,0.6,5.0,5.0,—,EEUHD1C472( ),200,500
16,6800.0,16.0,25.0,1780,0.3,2000,0.8,7.5,7.5,—,EEUHD1C682( ),100,250
16,8200.0,16.0,25.0,1780,0.34,2000,0.8,7.5,7.5,—,EEUHD1C822( ),100,250
16,10000.0,16.0,31.5,2060,0.38,2000,0.8,7.5,—,—,EEUHD1C103,100,—
16,15000.0,18.0,35.5,2210,0.48,2000,0.8,7.5,—,—,EEUHD1C153,50,—
25,47.0,5.0,11.0,91,0.16,1000,0.5,2.0,5.0,2.5,EEUHD1E470( ),200,2000
25,68.0,5.0,11.0,91,0.16,1000,0.5,2.0,5.0,2.5,EEUHD1E680( ),200,2000
25,100.0,6.3,11.2,130,0.16,1000,0.5,2.5,5.0,2.5,EEUHD1E101( ),200,2000
25,220.0,8.0,11.5,230,0.16,1000,0.6,3.5,5.0,—,EEUHD1E221( ),200,1000
25,330.0,8.0,11.5,310,0.16,1000,0.6,3.5,5.0,—,EEUHD1E331( ),200,1000
25,470.0,10.0,12.5,380,0.16,2000,0.6,5.0,5.0,—,EEUHD1E471( ),200,500
