Cap. (μF),50 Hz,120 Hz,300 Hz,1 kHz,10 kHz,100 kHz to
10 to 82,0.3,0.4,0.55,0.7,0.9,1.0
100 to 330,0.35,0.45,0.6,0.75,0.9,1.0
